Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cailin Bartlett,Geoffrey Capp,Michael Cormican,Jim Hillyer,Mark Sandilands,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Lethbridge/Lethbridge"," 1","Barons",11,1,9,127,32,0,180,344
48019,"Lethbridge/Lethbridge"," 2","Iron Springs",1,1,5,26,7,0,40,248
48019,"Lethbridge/Lethbridge"," 3","Turin",3,4,2,54,10,1,74,195
48019,"Lethbridge/Lethbridge"," 4","Iron Springs",5,29,7,123,28,3,195,324
48019,"Lethbridge/Lethbridge"," 5","Keho",4,74,6,125,22,0,231,346
48019,"Lethbridge/Lethbridge"," 6","Nobleford",2,24,3,54,20,0,103,244
48019,"Lethbridge/Lethbridge"," 7A","Nobleford",10,14,8,124,32,0,188,295
48019,"Lethbridge/Lethbridge"," 7B","Nobleford",7,21,11,87,21,1,148,238
48019,"Lethbridge/Lethbridge"," 8","Monarch",8,55,2,190,36,0,291,440
48019,"Lethbridge/Lethbridge"," 9","Shaughnessy",2,34,8,57,8,1,110,187
48019,"Lethbridge/Lethbridge"," 9-1","Diamond City",3,29,11,104,19,0,166,299
48019,"Lethbridge/Lethbridge"," 10","Shaughnessy",10,20,7,124,43,0,204,432
48019,"Lethbridge/Lethbridge"," 11","Picture Butte",12,8,5,53,25,1,104,282
48019,"Lethbridge/Lethbridge"," 11-1","Picture Butte",12,15,6,67,24,1,125,227
48019,"Lethbridge/Lethbridge"," 12","Picture Butte",8,12,10,108,45,1,184,300
48019,"Lethbridge/Lethbridge"," 13","Picture Butte",8,13,6,84,28,2,141,264
48019,"Lethbridge/Lethbridge"," 14","Coalhurst",10,34,14,137,29,2,226,357
48019,"Lethbridge/Lethbridge"," 14-1","Coalhurst",4,5,10,60,35,1,115,195
48019,"Lethbridge/Lethbridge"," 15A","Coalhurst",5,2,6,70,34,0,117,257
48019,"Lethbridge/Lethbridge"," 15B","Coalhurst",4,5,1,59,39,1,109,226
48019,"Lethbridge/Lethbridge"," 15-1","Coalhurst",3,8,9,101,41,1,163,319
48019,"Lethbridge/Lethbridge"," 15-2","Coalhurst",6,8,5,63,26,2,110,204
48019,"Lethbridge/Lethbridge"," 16","Coalhurst",7,7,3,94,32,1,144,229
48019,"Lethbridge/Lethbridge"," 16-1","Coalhurst",4,11,3,55,29,0,102,196
48019,"Lethbridge/Lethbridge"," 17","Diamond City",6,4,8,80,16,3,117,202
48019,"Lethbridge/Lethbridge"," 18","Broxburn",6,5,7,123,11,0,152,212
48019,"Lethbridge/Lethbridge"," 19","Coaldale",14,53,12,136,23,1,239,444
48019,"Lethbridge/Lethbridge"," 20","Tempest",12,59,9,105,28,1,214,365
48019,"Lethbridge/Lethbridge"," 21","Judson",2,7,1,40,2,0,52,250
48019,"Lethbridge/Lethbridge"," 22","Tempest",8,15,10,68,23,0,124,240
48019,"Lethbridge/Lethbridge"," 23","Wilson",16,10,13,109,23,0,171,343
48019,"Lethbridge/Lethbridge"," 24A","Stewart",9,11,15,99,38,0,172,369
48019,"Lethbridge/Lethbridge"," 24B","Stewart",6,15,5,95,36,0,157,329
48019,"Lethbridge/Lethbridge"," 25A","Coaldale",4,10,3,75,31,1,124,287
48019,"Lethbridge/Lethbridge"," 25B","Coaldale",3,5,3,83,28,0,122,281
48019,"Lethbridge/Lethbridge"," 26","Coaldale",7,16,4,125,35,0,187,400
48019,"Lethbridge/Lethbridge"," 27","Coaldale",5,18,18,107,33,1,182,392
