Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Baranyi,Ralph Lee,Scott Reid,David Remington,Doug Smyth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 1","Weslemkoon",1,0,14,2,3,0,20,26
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 2","Denbigh--Abinger--Ashby",1,0,109,35,27,0,172,357
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 3","Vennachar",2,1,49,7,26,1,86,214
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 4","Massanoga",13,2,103,23,34,0,175,428
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 5","Flinton",8,2,153,20,38,2,223,454
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 6","Northbrook",4,0,147,21,47,0,219,484
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 7","Kaladar",2,1,74,6,26,0,109,219
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 8","North Frontenac",6,2,57,27,28,0,120,214
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 9","North Frontenac",8,0,82,14,19,0,123,225
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 10","North Frontenac",5,1,77,19,21,2,125,190
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 11","North Frontenac",7,0,127,22,29,1,186,304
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 12","North Frontenac",9,0,88,18,16,0,131,233
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 13","Kennebec",4,3,123,9,45,0,184,337
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 14","Arden",6,1,148,33,58,0,246,381
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 15","Olden",3,3,82,22,41,1,152,395
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 16","Oconto",5,0,65,20,33,0,123,264
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 17","Oso",11,0,80,26,18,1,136,301
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 18","Sharbot Lake",13,0,81,30,24,0,148,372
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 18-1","Central Frontenac",0,0,19,3,7,0,29,89
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 19","Crow Lake",11,3,37,43,97,0,191,396
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 20","Hinchinbrooke",8,0,71,22,13,0,114,258
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 21","Parham",6,0,163,46,41,0,256,433
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 22","Godfrey",12,2,126,36,42,0,218,394
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 23","Lanark",5,0,68,12,18,1,104,168
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 24","French Line",8,1,128,9,15,0,161,286
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 25","Lloyd",32,0,191,20,50,0,293,481
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 26","Lanark Highlands",12,2,108,15,34,0,171,347
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 26-1","Lanark Highlands",1,1,80,7,22,0,111,239
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 27","Hopetown",20,2,132,9,35,0,198,393
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 28","Lanark Highlands",17,1,112,16,38,0,184,393
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 29","Lanark Highlands",7,2,63,10,23,0,105,247
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 30","Clyde Forks",5,0,77,8,25,0,115,195
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 31","Watson's Corners",32,2,129,25,50,1,239,397
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 31-1","Lanark Highlands",7,0,30,3,16,0,56,174
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 32","Dalhousie Lake",7,0,88,20,14,1,130,251
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 33","North Sherbrooke",29,1,140,34,36,2,242,458
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 34","Fallbrook",28,0,153,21,44,1,247,433
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 35","Harper",14,1,119,26,40,0,200,353
35040,"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 36","Brooke",23,0,102,13,29,0,167,328
