Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Hamilton,Donna Marlis Montgomery,Jennifer Pollock,Lee Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Centre/Calgary-Centre"," 1","Calgary",21,21,16,93,1,152,347
48006,"Calgary Centre/Calgary-Centre"," 2","Calgary",20,26,36,133,0,215,376
48006,"Calgary Centre/Calgary-Centre"," 3","Calgary",17,22,30,119,0,188,348
48006,"Calgary Centre/Calgary-Centre"," 4","Calgary",9,23,20,63,2,117,292
48006,"Calgary Centre/Calgary-Centre"," 5","Calgary",12,18,14,86,0,130,346
48006,"Calgary Centre/Calgary-Centre"," 6","Calgary",5,12,5,72,0,94,257
48006,"Calgary Centre/Calgary-Centre"," 7","Calgary",12,22,30,123,0,187,327
48006,"Calgary Centre/Calgary-Centre"," 8","Calgary",15,25,18,132,1,191,325
48006,"Calgary Centre/Calgary-Centre"," 9","Calgary",18,24,18,110,1,171,327
48006,"Calgary Centre/Calgary-Centre"," 10","Calgary",10,45,24,122,1,202,383
48006,"Calgary Centre/Calgary-Centre"," 11","Calgary",14,23,16,99,0,152,340
48006,"Calgary Centre/Calgary-Centre"," 12","Calgary",13,18,15,73,0,119,273
48006,"Calgary Centre/Calgary-Centre"," 13","Calgary",12,30,17,78,1,138,353
48006,"Calgary Centre/Calgary-Centre"," 14","Calgary",6,11,7,31,1,56,210
48006,"Calgary Centre/Calgary-Centre"," 15","Calgary",19,18,18,156,1,212,384
48006,"Calgary Centre/Calgary-Centre"," 16","Calgary",26,34,31,165,0,256,458
48006,"Calgary Centre/Calgary-Centre"," 17","Calgary",8,26,16,129,1,180,363
48006,"Calgary Centre/Calgary-Centre"," 18","Calgary",12,25,30,133,1,201,365
48006,"Calgary Centre/Calgary-Centre"," 19","Calgary",28,29,28,180,0,265,413
48006,"Calgary Centre/Calgary-Centre"," 20","Calgary",14,22,29,118,1,184,317
48006,"Calgary Centre/Calgary-Centre"," 21","Calgary",28,21,18,124,1,192,356
48006,"Calgary Centre/Calgary-Centre"," 22","Calgary",14,23,18,90,3,148,382
48006,"Calgary Centre/Calgary-Centre"," 23","Calgary",6,24,15,50,1,96,354
48006,"Calgary Centre/Calgary-Centre"," 24A","Calgary",14,34,26,161,4,239,435
48006,"Calgary Centre/Calgary-Centre"," 24B","Calgary",2,5,3,78,0,88,57
48006,"Calgary Centre/Calgary-Centre"," 25","Calgary",7,31,7,127,0,172,390
48006,"Calgary Centre/Calgary-Centre"," 26","Calgary",11,23,22,154,1,211,395
48006,"Calgary Centre/Calgary-Centre"," 27","Calgary",22,34,15,92,0,163,353
48006,"Calgary Centre/Calgary-Centre"," 28","Calgary",14,18,10,100,0,142,272
48006,"Calgary Centre/Calgary-Centre"," 29","Calgary",18,29,22,79,0,148,346
48006,"Calgary Centre/Calgary-Centre"," 30","Calgary",15,34,22,92,2,165,409
48006,"Calgary Centre/Calgary-Centre"," 31","Calgary",12,24,15,71,1,123,273
48006,"Calgary Centre/Calgary-Centre"," 32","Calgary",3,24,16,128,0,171,393
48006,"Calgary Centre/Calgary-Centre"," 33","Calgary",17,36,19,100,0,172,303
48006,"Calgary Centre/Calgary-Centre"," 34","Calgary",36,45,35,114,1,231,510
48006,"Calgary Centre/Calgary-Centre"," 35","Calgary",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 36","Calgary",22,35,48,175,1,281,536
48006,"Calgary Centre/Calgary-Centre"," 37","Calgary",11,32,18,83,0,144,333
48006,"Calgary Centre/Calgary-Centre"," 38","Calgary",20,27,34,132,1,214,407
48006,"Calgary Centre/Calgary-Centre"," 39","Calgary",19,27,23,66,1,136,229
48006,"Calgary Centre/Calgary-Centre"," 40","Calgary",19,34,29,92,1,175,413
48006,"Calgary Centre/Calgary-Centre"," 41","Calgary",15,31,21,100,0,167,421
48006,"Calgary Centre/Calgary-Centre"," 42","Calgary",25,22,18,83,0,148,351
48006,"Calgary Centre/Calgary-Centre"," 43","Calgary",23,17,11,72,1,124,255
48006,"Calgary Centre/Calgary-Centre"," 44","Calgary",18,24,29,104,1,176,420
48006,"Calgary Centre/Calgary-Centre"," 45","Calgary",15,38,47,109,0,209,396
48006,"Calgary Centre/Calgary-Centre"," 46","Calgary",10,18,24,78,0,130,334
48006,"Calgary Centre/Calgary-Centre"," 47","Calgary",16,19,22,119,1,177,391
48006,"Calgary Centre/Calgary-Centre"," 48","Calgary",13,21,28,89,0,151,338
48006,"Calgary Centre/Calgary-Centre"," 49","Calgary",17,33,27,115,2,194,452
48006,"Calgary Centre/Calgary-Centre"," 50","Calgary",13,32,39,118,0,202,408
48006,"Calgary Centre/Calgary-Centre"," 51","Calgary",17,23,24,129,0,193,350
48006,"Calgary Centre/Calgary-Centre"," 52","Calgary",19,32,38,122,1,212,374
48006,"Calgary Centre/Calgary-Centre"," 53","Calgary",16,23,46,88,0,173,347
48006,"Calgary Centre/Calgary-Centre"," 54","Calgary",7,17,17,60,0,101,221
48006,"Calgary Centre/Calgary-Centre"," 54-1","Calgary",18,29,34,86,1,168,385
48006,"Calgary Centre/Calgary-Centre"," 55","Calgary",18,33,20,52,1,124,339
48006,"Calgary Centre/Calgary-Centre"," 56","Calgary",18,31,36,54,0,139,353
48006,"Calgary Centre/Calgary-Centre"," 57","Calgary",23,42,30,55,1,151,415
48006,"Calgary Centre/Calgary-Centre"," 58","Calgary",22,44,32,60,0,158,416
48006,"Calgary Centre/Calgary-Centre"," 59","Calgary",12,25,21,38,0,96,273
48006,"Calgary Centre/Calgary-Centre"," 60","Calgary",19,35,16,51,1,122,335
48006,"Calgary Centre/Calgary-Centre"," 61","Calgary",19,27,19,51,1,117,270
48006,"Calgary Centre/Calgary-Centre"," 62","Calgary",2,40,20,57,0,119,326
48006,"Calgary Centre/Calgary-Centre"," 63","Calgary",50,68,89,127,1,335,443
48006,"Calgary Centre/Calgary-Centre"," 64","Calgary",14,27,28,46,0,115,286
48006,"Calgary Centre/Calgary-Centre"," 65","Calgary",28,21,49,105,3,206,403
48006,"Calgary Centre/Calgary-Centre"," 66","Calgary",20,14,48,155,1,238,414
48006,"Calgary Centre/Calgary-Centre"," 67","Calgary",38,35,38,90,2,203,401
48006,"Calgary Centre/Calgary-Centre"," 68","Calgary",Merged with No. 75/Fusionné avec le nº 75,,,,,,254
48006,"Calgary Centre/Calgary-Centre"," 69","Calgary",21,23,33,111,0,188,311
48006,"Calgary Centre/Calgary-Centre"," 70","Calgary",26,40,52,103,1,222,248
48006,"Calgary Centre/Calgary-Centre"," 71","Calgary",21,28,35,68,0,152,369
48006,"Calgary Centre/Calgary-Centre"," 72","Calgary",25,39,40,118,0,222,444
48006,"Calgary Centre/Calgary-Centre"," 73","Calgary",30,34,45,123,1,233,402
48006,"Calgary Centre/Calgary-Centre"," 74","Calgary",33,27,24,81,1,166,370
48006,"Calgary Centre/Calgary-Centre"," 75","Calgary",26,53,72,145,0,296,425
48006,"Calgary Centre/Calgary-Centre"," 76","Calgary",25,27,49,112,1,214,412
48006,"Calgary Centre/Calgary-Centre"," 77","Calgary",8,25,16,112,0,161,429
48006,"Calgary Centre/Calgary-Centre"," 78","Calgary",5,16,14,67,1,103,374
48006,"Calgary Centre/Calgary-Centre"," 78-1","Calgary",13,7,33,147,0,200,505
48006,"Calgary Centre/Calgary-Centre"," 79A","Calgary",13,18,33,60,1,125,315
48006,"Calgary Centre/Calgary-Centre"," 79B","Calgary",7,15,26,80,2,130,316
