Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,William Munsey,Matthew Sokalski,Ray A Stone,Ron Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 171","Killam",205,4,2,22,3,0,236,347
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 172","Killam",164,8,0,17,5,0,194,301
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 173","Sedgewick",159,16,4,26,8,0,213,341
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 174","Sedgewick",254,7,1,24,10,2,298,490
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 175","Lougheed",195,15,0,26,6,0,242,403
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 176","Hardisty",194,10,0,15,0,0,219,356
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 177","Hardisty",215,10,4,37,5,0,271,490
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 178","Bellshill",130,7,2,3,1,0,143,241
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 179","Galahad",113,22,0,17,5,0,157,250
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 180","Alliance",148,7,1,23,8,0,187,326
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 181","Jarrow",206,5,0,6,0,0,217,383
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 182","Irma",280,16,0,29,2,0,327,473
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 183","Gilt Edge",148,6,0,5,0,0,159,324
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 184","Fabyan",221,10,1,16,8,0,256,554
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 185","Greenshields",293,18,2,13,5,0,331,524
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 186","Edgerton",267,11,0,23,4,0,305,530
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 187","Dunn",89,8,0,6,4,0,107,224
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 188","Chauvin",138,5,2,16,2,0,163,257
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 189","Chauvin",127,0,0,10,4,0,141,264
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 190","Wainwright",119,8,0,21,5,0,153,399
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 191","Wainwright",76,7,0,20,3,0,106,222
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 192","Wainwright",154,11,1,24,8,0,198,404
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 193A","Wainwright",265,20,0,29,12,0,326,584
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 193B","Mobile poll/Bureau itinérant",Merged with No. 508/Fusionné avec le nº 508,,,,,,,9
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 194","Wainwright",112,8,0,12,6,0,138,309
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 195","Wainwright",146,10,0,23,4,0,183,403
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 196","Wainwright",110,5,0,12,5,0,132,341
