Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,William Munsey,Matthew Sokalski,Ray A Stone,Ron Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 105","Innisfree",124,10,1,20,5,0,160,305
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 106","Minburn",100,2,3,8,2,0,115,245
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 107","Mannville",169,25,2,10,5,1,212,395
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 108","Mannville",146,9,1,9,5,0,170,309
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 109","Mannville",114,3,3,11,1,0,132,270
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 110","Northern Valley",41,5,0,6,1,1,54,161
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 111","Clandonald",110,2,0,13,0,0,125,254
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 112","Clandonald",103,5,4,6,2,0,120,206
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 113","Vermilion",141,6,1,7,7,0,162,284
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 114","Borradaile",186,7,0,9,3,0,205,362
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 115","Vermilion",181,18,2,17,7,0,225,494
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 116","Vermilion",49,11,0,10,3,0,73,138
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 117","Vermilion",133,11,1,20,5,1,171,407
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 118","Vermilion",163,11,1,31,10,0,216,501
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 119","Vermilion",151,17,2,12,3,0,185,351
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 120","Vermilion",130,17,2,11,2,0,162,391
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 121","Vermilion",32,3,0,4,3,0,42,124
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 122","Vermilion",146,8,0,15,4,1,174,397
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 123","Vermilion",194,10,2,23,1,1,231,402
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 124","Vermilion",123,6,1,13,5,0,148,313
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 125","Dewberry",121,10,1,13,2,0,147,362
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 126","Lea Park",63,0,1,3,2,0,69,189
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 127","Streamstown",213,6,3,19,5,2,248,401
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 128","Marwayne",138,4,0,8,0,1,151,269
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 129","Marwayne",197,9,2,25,4,0,237,423
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 130","Islay",165,14,1,14,5,1,200,360
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 131","Kitscoty",195,1,1,13,5,0,215,347
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 132","Kitscoty",199,7,1,14,4,0,225,454
