Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Bergeron,Maxime Bernier,Etienne Doyon Lessard,Claude Morin,Sylvio Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 1","Saint-Isidore",61,89,2,4,7,0,163,319
24005,"Beauce/Beauce"," 2","Saint-Isidore",73,121,3,13,18,5,233,429
24005,"Beauce/Beauce"," 3","Saint-Isidore",86,176,4,8,23,5,302,555
24005,"Beauce/Beauce"," 4","Saint-Isidore",50,82,3,11,10,3,159,289
24005,"Beauce/Beauce"," 5","Saint-Isidore",81,127,3,21,22,4,258,432
24005,"Beauce/Beauce"," 5-1","Saint-Isidore",50,44,1,5,15,3,118,212
24005,"Beauce/Beauce"," 6","Scott",68,78,4,7,12,0,169,318
24005,"Beauce/Beauce"," 7","Scott",50,97,0,6,10,2,165,260
24005,"Beauce/Beauce"," 8","Scott",78,115,3,15,17,3,231,423
24005,"Beauce/Beauce"," 9","Scott",121,206,7,10,9,2,355,628
24005,"Beauce/Beauce"," 10","Sainte-Hénédine",36,74,1,13,12,2,138,249
24005,"Beauce/Beauce"," 11","Sainte-Hénédine",95,129,4,11,11,7,257,462
24005,"Beauce/Beauce"," 12","Sainte-Hénédine",33,83,3,6,7,1,133,235
24005,"Beauce/Beauce"," 13","Sainte-Marguerite",74,151,3,17,22,5,272,477
24005,"Beauce/Beauce"," 14","Sainte-Marguerite",72,119,4,9,18,1,223,362
24005,"Beauce/Beauce"," 15","Saint-Bernard",47,101,0,7,6,4,165,281
24005,"Beauce/Beauce"," 16","Saint-Bernard",72,122,2,11,17,5,229,378
24005,"Beauce/Beauce"," 17","Saint-Bernard",63,74,2,2,9,1,151,305
24005,"Beauce/Beauce"," 18","Saint-Bernard",43,82,0,7,5,2,139,280
24005,"Beauce/Beauce"," 19","Saint-Bernard",27,83,0,7,10,2,129,257
24005,"Beauce/Beauce"," 20","Saint-Elzéar",68,129,5,18,14,1,235,402
24005,"Beauce/Beauce"," 21","Saint-Elzéar",88,169,5,26,21,6,315,497
24005,"Beauce/Beauce"," 22","Saint-Elzéar",21,52,1,3,4,0,81,131
24005,"Beauce/Beauce"," 22-1","Saint-Elzéar",92,205,3,18,10,1,329,541
24005,"Beauce/Beauce"," 23","Sainte-Marie",103,156,6,10,23,2,300,493
24005,"Beauce/Beauce"," 24","Sainte-Marie",71,123,4,12,9,2,221,335
24005,"Beauce/Beauce"," 25","Sainte-Marie",83,137,2,9,14,2,247,446
24005,"Beauce/Beauce"," 26","Sainte-Marie",39,68,3,8,4,2,124,235
24005,"Beauce/Beauce"," 27","Sainte-Marie",53,78,3,8,2,0,144,259
24005,"Beauce/Beauce"," 28","Sainte-Marie",79,150,3,13,14,2,261,451
24005,"Beauce/Beauce"," 29","Sainte-Marie",75,133,3,19,12,0,242,397
24005,"Beauce/Beauce"," 30","Sainte-Marie",49,85,2,6,6,4,152,275
24005,"Beauce/Beauce"," 31","Sainte-Marie",64,136,2,16,17,4,239,442
24005,"Beauce/Beauce"," 32","Sainte-Marie",86,79,4,6,22,1,198,503
24005,"Beauce/Beauce"," 33","Sainte-Marie",74,142,6,15,12,0,249,452
24005,"Beauce/Beauce"," 33-1","Sainte-Marie",25,75,0,6,11,0,117,198
24005,"Beauce/Beauce"," 34","Sainte-Marie",94,165,3,21,22,4,309,583
24005,"Beauce/Beauce"," 34-1","Sainte-Marie",55,102,1,8,8,0,174,317
24005,"Beauce/Beauce"," 35","Sainte-Marie",88,150,5,16,24,2,285,525
24005,"Beauce/Beauce"," 36","Sainte-Marie",58,62,1,11,12,0,144,406
24005,"Beauce/Beauce"," 37","Sainte-Marie",58,139,2,6,12,2,219,392
24005,"Beauce/Beauce"," 38","Sainte-Marie",27,47,1,8,11,2,96,223
24005,"Beauce/Beauce"," 39","Sainte-Marie",43,66,5,7,11,1,133,329
