Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cardin,Éric Deslauriers,Pierre-Luc Dusseault,Pierre Harvey,Jacques Laberge,Crédible Berlingot Landry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Sherbrooke/Sherbrooke"," 1","Brompton",112,21,153,26,3,1,4,320,526
24070,"Sherbrooke/Sherbrooke"," 2","Brompton",80,10,98,19,2,0,1,210,318
24070,"Sherbrooke/Sherbrooke"," 3","Bromptonville",141,15,175,33,2,3,2,371,640
24070,"Sherbrooke/Sherbrooke"," 4","Bromptonville",56,11,84,20,3,0,2,176,344
24070,"Sherbrooke/Sherbrooke"," 5","Bromptonville",52,17,83,19,6,0,3,180,398
24070,"Sherbrooke/Sherbrooke"," 6","Bromptonville",94,12,132,17,7,0,4,266,512
24070,"Sherbrooke/Sherbrooke"," 6-1","Bromptonville",102,19,132,25,5,0,2,285,417
24070,"Sherbrooke/Sherbrooke"," 7","Bromptonville",66,8,65,15,4,0,5,163,290
24070,"Sherbrooke/Sherbrooke"," 8","Bromptonville",72,5,93,14,2,0,7,193,356
24070,"Sherbrooke/Sherbrooke"," 9","Brompton",40,4,47,9,3,0,0,103,202
24070,"Sherbrooke/Sherbrooke"," 10","Brompton",95,20,117,12,3,0,4,251,407
24070,"Sherbrooke/Sherbrooke"," 10-1","Brompton",35,7,43,4,1,0,3,93,177
24070,"Sherbrooke/Sherbrooke"," 11","Sherbrooke",39,32,70,10,2,0,1,154,235
24070,"Sherbrooke/Sherbrooke"," 11-1","Sherbrooke",47,6,90,18,4,0,2,167,370
24070,"Sherbrooke/Sherbrooke"," 12","Sherbrooke",101,19,96,19,3,2,5,245,393
24070,"Sherbrooke/Sherbrooke"," 13","Sherbrooke",65,11,72,11,4,0,0,163,307
24070,"Sherbrooke/Sherbrooke"," 13-1A","Sherbrooke",68,11,119,13,2,1,2,216,426
24070,"Sherbrooke/Sherbrooke"," 13-1B","Sherbrooke",71,18,103,16,3,1,0,212,423
24070,"Sherbrooke/Sherbrooke"," 13-2","Sherbrooke",49,7,88,15,4,1,3,167,298
24070,"Sherbrooke/Sherbrooke"," 14","Sherbrooke",78,22,90,11,4,1,1,207,384
24070,"Sherbrooke/Sherbrooke"," 15","Sherbrooke",81,23,113,16,3,1,0,237,381
24070,"Sherbrooke/Sherbrooke"," 16","Sherbrooke",58,39,106,38,2,4,2,249,429
24070,"Sherbrooke/Sherbrooke"," 17","Sherbrooke",85,32,94,29,2,0,1,243,532
24070,"Sherbrooke/Sherbrooke"," 18","Sherbrooke",79,21,133,28,2,1,5,269,558
24070,"Sherbrooke/Sherbrooke"," 19","Sherbrooke",83,26,164,8,9,0,4,294,499
24070,"Sherbrooke/Sherbrooke"," 20","Sherbrooke",61,18,70,13,1,1,2,166,321
24070,"Sherbrooke/Sherbrooke"," 20-1","Sherbrooke",62,13,89,5,1,0,2,172,326
24070,"Sherbrooke/Sherbrooke"," 21","Sherbrooke",69,25,121,20,1,0,2,238,507
24070,"Sherbrooke/Sherbrooke"," 22","Sherbrooke",32,14,70,25,1,0,3,145,313
24070,"Sherbrooke/Sherbrooke"," 23","Sherbrooke",67,27,118,21,0,2,1,236,449
24070,"Sherbrooke/Sherbrooke"," 24","Sherbrooke",54,12,81,19,3,1,2,172,416
24070,"Sherbrooke/Sherbrooke"," 25","Sherbrooke",39,23,133,33,2,0,1,231,490
24070,"Sherbrooke/Sherbrooke"," 25-1","Sherbrooke",54,22,76,13,1,1,1,168,348
24070,"Sherbrooke/Sherbrooke"," 26","Sherbrooke",47,11,93,22,2,1,0,176,376
24070,"Sherbrooke/Sherbrooke"," 26-1","Sherbrooke",39,8,45,10,3,1,4,110,225
24070,"Sherbrooke/Sherbrooke"," 27","Sherbrooke",77,45,94,30,6,1,3,256,460
24070,"Sherbrooke/Sherbrooke"," 28","Sherbrooke",52,17,99,8,4,0,0,180,432
24070,"Sherbrooke/Sherbrooke"," 29","Sherbrooke",48,25,95,18,5,2,3,196,423
24070,"Sherbrooke/Sherbrooke"," 30","Sherbrooke",8,6,17,7,1,0,0,39,105
24070,"Sherbrooke/Sherbrooke"," 31","Sherbrooke",52,20,91,29,4,1,2,199,506
24070,"Sherbrooke/Sherbrooke"," 32","Sherbrooke",37,12,64,14,1,0,0,128,298
24070,"Sherbrooke/Sherbrooke"," 33","Sherbrooke",58,16,87,19,6,1,2,189,375
24070,"Sherbrooke/Sherbrooke"," 34","Sherbrooke",57,14,71,13,0,0,5,160,296
24070,"Sherbrooke/Sherbrooke"," 35","Sherbrooke",65,12,90,15,2,0,0,184,410
24070,"Sherbrooke/Sherbrooke"," 36","Sherbrooke",101,11,106,11,1,0,0,230,423
24070,"Sherbrooke/Sherbrooke"," 37","Sherbrooke",107,51,140,25,2,0,2,327,520
24070,"Sherbrooke/Sherbrooke"," 38","Sherbrooke",70,42,105,13,4,0,0,234,420
24070,"Sherbrooke/Sherbrooke"," 39","Sherbrooke",68,52,112,27,5,2,1,267,393
24070,"Sherbrooke/Sherbrooke"," 40","Sherbrooke",88,23,73,20,5,3,1,213,354
24070,"Sherbrooke/Sherbrooke"," 41","Sherbrooke",88,28,94,25,3,0,0,238,358
24070,"Sherbrooke/Sherbrooke"," 42","Sherbrooke",105,12,102,14,4,0,5,242,398
24070,"Sherbrooke/Sherbrooke"," 43","Sherbrooke",51,22,52,23,3,0,0,151,253
24070,"Sherbrooke/Sherbrooke"," 44","Sherbrooke",107,33,103,9,10,1,1,264,407
24070,"Sherbrooke/Sherbrooke"," 45","Sherbrooke",91,20,95,17,9,1,1,234,373
24070,"Sherbrooke/Sherbrooke"," 46","Sherbrooke",65,18,95,15,6,4,5,208,389
24070,"Sherbrooke/Sherbrooke"," 47","Sherbrooke",64,24,123,13,5,2,0,231,392
24070,"Sherbrooke/Sherbrooke"," 48","Sherbrooke",58,22,84,9,4,2,2,181,381
24070,"Sherbrooke/Sherbrooke"," 49","Sherbrooke",63,26,82,8,3,2,3,187,339
24070,"Sherbrooke/Sherbrooke"," 50","Sherbrooke",32,36,53,31,1,0,0,153,345
24070,"Sherbrooke/Sherbrooke"," 51","Sherbrooke",70,37,130,30,8,1,0,276,479
24070,"Sherbrooke/Sherbrooke"," 52","Sherbrooke",82,27,119,11,1,1,0,241,516
24070,"Sherbrooke/Sherbrooke"," 53","Sherbrooke",80,44,161,27,4,1,1,318,524
24070,"Sherbrooke/Sherbrooke"," 54","Sherbrooke",85,45,96,11,0,3,1,241,397
24070,"Sherbrooke/Sherbrooke"," 55","Sherbrooke",63,23,91,18,6,0,1,202,353
24070,"Sherbrooke/Sherbrooke"," 56","Sherbrooke",49,23,43,13,3,0,0,131,257
24070,"Sherbrooke/Sherbrooke"," 57","Fleurimont",93,17,128,19,2,0,2,261,477
24070,"Sherbrooke/Sherbrooke"," 57-1","Fleurimont",101,22,125,18,6,1,0,273,510
24070,"Sherbrooke/Sherbrooke"," 58","Fleurimont",76,10,119,13,0,0,0,218,382
24070,"Sherbrooke/Sherbrooke"," 59","Fleurimont",71,10,93,5,1,1,0,181,392
24070,"Sherbrooke/Sherbrooke"," 60","Fleurimont",64,5,80,17,2,1,0,169,261
24070,"Sherbrooke/Sherbrooke"," 61","Fleurimont",61,5,96,10,4,3,0,179,386
24070,"Sherbrooke/Sherbrooke"," 62","Fleurimont",65,10,73,7,2,0,1,158,277
24070,"Sherbrooke/Sherbrooke"," 62-1","Fleurimont",110,10,105,16,1,0,2,244,421
24070,"Sherbrooke/Sherbrooke"," 63","Fleurimont",109,11,117,16,0,0,0,253,451
24070,"Sherbrooke/Sherbrooke"," 64","Fleurimont",76,16,91,15,8,1,2,209,386
24070,"Sherbrooke/Sherbrooke"," 65","Fleurimont",52,9,74,16,1,0,1,153,383
24070,"Sherbrooke/Sherbrooke"," 66","Fleurimont",92,15,115,22,4,1,3,252,529
24070,"Sherbrooke/Sherbrooke"," 67","Fleurimont",66,15,119,14,7,1,2,224,505
