Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Blaize Barnicoat,Grant Humes,Stephen Leahy,Andrew Moriarity,Bev Oda,Tammy Schoep,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Durham/Durham"," 1","Uxbridge",4,53,17,0,139,48,0,261,414
35014,"Durham/Durham"," 1-1","Uxbridge",1,43,14,0,129,36,1,224,394
35014,"Durham/Durham"," 2","Uxbridge",3,42,20,2,137,30,0,234,414
35014,"Durham/Durham"," 3","Uxbridge",0,34,19,2,148,38,1,242,378
35014,"Durham/Durham"," 4","Uxbridge",1,41,16,0,93,22,1,174,384
35014,"Durham/Durham"," 5","Uxbridge",0,30,19,1,91,36,0,177,346
35014,"Durham/Durham"," 5-1","Uxbridge",1,33,13,0,82,26,0,155,346
35014,"Durham/Durham"," 6","Uxbridge",1,38,18,0,127,39,3,226,443
35014,"Durham/Durham"," 7","Uxbridge",1,43,18,0,130,30,1,223,463
35014,"Durham/Durham"," 8","Uxbridge",1,54,20,2,110,30,0,217,397
35014,"Durham/Durham"," 9","Uxbridge",1,61,22,0,128,41,0,253,461
35014,"Durham/Durham"," 10","Uxbridge",1,65,19,1,160,51,0,297,436
35014,"Durham/Durham"," 11","Uxbridge",0,84,23,3,160,30,0,300,457
35014,"Durham/Durham"," 12","Uxbridge",0,45,20,1,116,38,0,220,422
35014,"Durham/Durham"," 12-1","Uxbridge",1,42,14,1,122,23,2,205,371
35014,"Durham/Durham"," 13","Uxbridge",2,69,27,0,118,31,0,247,429
35014,"Durham/Durham"," 14","Uxbridge",0,43,20,1,93,36,1,194,455
35014,"Durham/Durham"," 14-1","Uxbridge",0,72,10,3,107,42,1,235,459
35014,"Durham/Durham"," 15","Uxbridge",0,51,20,0,135,56,2,264,504
35014,"Durham/Durham"," 16","Uxbridge",1,38,18,0,169,34,0,260,474
35014,"Durham/Durham"," 17","Uxbridge",0,65,17,0,152,38,3,275,463
35014,"Durham/Durham"," 18","Uxbridge",0,42,23,1,106,35,2,209,454
35014,"Durham/Durham"," 19","Uxbridge",0,42,13,0,100,28,0,183,328
35014,"Durham/Durham"," 20","Uxbridge",0,35,17,0,100,33,0,185,355
35014,"Durham/Durham"," 21","Uxbridge",0,49,18,0,114,42,1,224,409
35014,"Durham/Durham"," 22","Uxbridge",1,27,10,2,55,35,0,130,299
35014,"Durham/Durham"," 23","Uxbridge",0,45,15,1,102,26,0,189,356
35014,"Durham/Durham"," 24","Uxbridge",0,51,16,3,172,53,2,297,471
35014,"Durham/Durham"," 25","Uxbridge",1,39,7,0,150,32,0,229,445
35014,"Durham/Durham"," 25-1","Uxbridge",0,45,10,0,103,33,2,193,336
35014,"Durham/Durham"," 25-2","Uxbridge",2,65,10,2,144,33,1,257,482
35014,"Durham/Durham"," 26","Uxbridge",0,27,9,4,108,21,1,170,345
35014,"Durham/Durham"," 27","Uxbridge",0,46,16,0,146,42,1,251,422
