Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eduardo Gonzalo Agurto Catalán,Marie-France Charbonneau,Alain Giguère,Charles Sicotte,Johanne Théorêt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1","Bois-des-Filion",41,78,159,3,31,9,321,546
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1-1A","Bois-des-Filion",8,49,97,9,9,3,175,321
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1-1B","Bois-des-Filion",16,53,105,4,16,2,196,334
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 2","Bois-des-Filion",19,69,200,9,15,9,321,534
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 3A","Bois-des-Filion",11,52,84,2,11,2,162,345
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 3B","Bois-des-Filion",8,60,90,2,7,1,168,336
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 4","Bois-des-Filion",22,87,120,9,28,5,271,485
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 5","Bois-des-Filion",25,84,148,6,22,9,294,457
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 6","Bois-des-Filion",24,96,175,5,27,6,333,535
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 7","Bois-des-Filion",8,90,134,6,24,6,268,455
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 8","Bois-des-Filion",12,101,151,4,21,4,293,482
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 9","Bois-des-Filion",12,61,109,5,20,5,212,441
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 10","Bois-des-Filion",Void/Supprimé,,,,,,,
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 11","Bois-des-Filion",4,71,70,2,15,2,164,319
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 12","Bois-des-Filion",9,62,119,5,17,2,214,452
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 13","Bois-des-Filion",13,74,98,1,9,11,206,359
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 14","Bois-des-Filion",11,83,117,6,22,3,242,419
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 15","Bois-des-Filion",7,65,109,5,11,3,200,402
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 16","Lorraine",21,74,92,3,10,4,204,369
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 17","Lorraine",23,100,167,4,15,2,311,471
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 18","Lorraine",43,44,132,3,30,1,253,366
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 19","Lorraine",22,53,115,4,24,3,221,367
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 20","Lorraine",22,51,158,2,20,1,254,381
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 21","Lorraine",22,64,111,7,9,2,215,352
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22","Lorraine",31,67,132,6,23,1,260,435
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 23","Lorraine",40,38,117,6,43,2,246,418
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 24","Lorraine",51,41,147,12,59,0,310,558
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 25","Lorraine",22,46,109,10,27,1,215,359
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 26","Lorraine",24,57,134,3,18,2,238,397
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 27","Lorraine",49,47,90,6,22,1,215,397
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 28","Lorraine",31,44,117,2,24,2,220,330
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 29","Lorraine",38,59,157,7,41,2,304,498
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 30","Lorraine",20,55,108,5,23,2,213,361
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 31","Lorraine",22,40,89,4,24,1,180,289
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 32","Lorraine",24,48,108,8,35,1,224,348
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 33","Lorraine",53,73,131,12,26,1,296,495
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 34","Laval",30,61,124,4,22,2,243,524
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 35","Laval",23,77,140,2,20,8,270,446
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 36A","Laval",22,54,77,1,15,2,171,304
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 36B","Laval",7,56,92,5,25,2,187,325
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 37","Laval",21,91,130,8,24,3,277,584
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 38","Laval",4,78,116,5,17,10,230,401
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 39","Laval",34,88,109,4,28,5,268,493
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 40","Laval",26,77,83,6,19,2,213,405
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 41","Laval",18,41,103,4,17,3,186,412
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 42","Laval",29,62,156,8,19,2,276,585
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 43A","Laval",23,60,118,8,13,3,225,365
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 43B","Laval",24,58,118,2,13,4,219,366
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 44","Laval",38,92,162,10,28,3,333,551
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45","Laval",33,84,179,6,25,8,335,554
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 46","Laval",53,63,135,6,33,2,292,558
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 47A","Laval",29,52,81,4,16,2,184,317
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 47B","Laval",21,40,92,7,18,4,182,318
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 48","Laval",18,54,131,5,9,1,218,521
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 49","Laval",33,63,120,7,19,8,250,542
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50A","Laval",25,53,82,3,19,1,183,297
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50B","Laval",21,46,94,4,16,1,182,309
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 51A","Laval",20,55,105,1,12,6,199,335
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 51B","Laval",31,49,95,1,15,1,192,341
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 52","Laval",35,63,136,8,21,1,264,477
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 53","Laval",51,84,169,6,23,6,339,593
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 54","Laval",33,37,88,1,24,3,186,381
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 55A","Laval",26,46,114,2,16,4,208,317
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 55B","Laval",30,40,116,4,10,1,201,309
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 56A","Laval",30,34,102,4,8,3,181,286
24040,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 56B","Laval",22,41,95,2,19,2,181,316
