Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Clark,Wendell Fields,David Hart Dyke,Gord Hill,Bob Green Innes,Bob Mann,Wayne Marston,Greg Pattinson,Michelle Stockwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 1","Hamilton ",90,0,16,6,0,0,106,0,22,0,240,430
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 2","Hamilton ",92,0,20,3,0,1,155,2,28,1,302,540
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 3","Hamilton ",17,0,7,2,1,0,77,1,2,1,108,275
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 4","Hamilton ",46,0,6,1,0,0,62,1,10,1,127,268
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 5","Hamilton ",40,1,4,2,0,0,100,1,9,0,157,319
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 6","Hamilton ",47,0,10,3,1,0,93,1,6,2,163,343
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 7","Hamilton ",82,0,4,1,0,0,99,2,9,0,197,398
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 8","Hamilton ",44,0,7,7,0,1,103,2,14,1,179,358
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 9","Hamilton ",50,1,3,3,2,1,95,3,18,7,183,338
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 10","Hamilton ",32,0,4,0,3,0,55,2,2,0,98,392
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 11","Hamilton ",33,0,1,1,0,1,91,0,10,1,138,361
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 12","Hamilton ",8,0,1,0,1,1,70,0,7,1,89,196
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 13","Hamilton ",57,0,5,6,0,0,117,1,11,0,197,369
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 14","Hamilton ",40,0,2,2,0,0,87,0,10,1,142,318
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 15","Hamilton ",27,0,1,1,0,0,73,2,19,2,125,288
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 16","Hamilton ",47,0,6,0,1,0,51,0,23,1,129,289
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 17","Hamilton ",25,0,1,1,0,0,78,3,9,2,119,293
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18","Hamilton ",47,0,2,1,0,0,96,1,9,0,156,321
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 19","Hamilton ",39,0,9,1,1,4,102,0,8,2,166,400
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 20","Hamilton ",57,1,7,1,0,0,98,5,19,3,191,402
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21","Hamilton ",24,0,3,3,0,0,72,1,6,0,109,313
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 22","Hamilton ",14,1,0,1,0,0,64,3,4,2,89,275
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 23","Hamilton ",26,0,5,5,0,0,77,0,10,0,123,327
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 24","Hamilton ",51,0,4,0,0,1,45,0,5,0,106,325
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 25","Hamilton ",30,0,4,3,1,0,50,1,3,1,93,255
