Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ruby Dhalla,Parm Gill,Manjit Grewal,Mark Hoffberg,Elizabeth Rowley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Brampton--Springdale/Brampton--Springdale"," 1","Brampton",64,99,60,3,1,2,229,534
35007,"Brampton--Springdale/Brampton--Springdale"," 2A","Brampton",49,101,28,3,0,1,182,346
35007,"Brampton--Springdale/Brampton--Springdale"," 2B","Brampton",49,72,35,2,1,0,159,316
35007,"Brampton--Springdale/Brampton--Springdale"," 3A","Brampton",72,103,43,2,1,1,222,450
35007,"Brampton--Springdale/Brampton--Springdale"," 3B","Brampton",68,60,49,2,0,0,179,415
35007,"Brampton--Springdale/Brampton--Springdale"," 4A","Brampton",50,55,39,1,4,2,151,341
35007,"Brampton--Springdale/Brampton--Springdale"," 4B","Brampton",43,67,45,2,0,2,159,338
35007,"Brampton--Springdale/Brampton--Springdale"," 5","Brampton",47,91,49,1,0,0,188,442
35007,"Brampton--Springdale/Brampton--Springdale"," 6A","Brampton",49,79,59,5,0,0,192,428
35007,"Brampton--Springdale/Brampton--Springdale"," 6B","Brampton",76,80,66,3,2,4,231,456
35007,"Brampton--Springdale/Brampton--Springdale"," 7","Brampton",60,74,42,2,1,3,182,344
35007,"Brampton--Springdale/Brampton--Springdale"," 8","Brampton",84,87,59,9,0,0,239,507
35007,"Brampton--Springdale/Brampton--Springdale"," 9","Brampton",40,49,41,2,0,0,132,283
35007,"Brampton--Springdale/Brampton--Springdale"," 10","Brampton",94,103,49,1,0,0,247,500
35007,"Brampton--Springdale/Brampton--Springdale"," 11A","Brampton",71,86,33,2,1,2,195,392
35007,"Brampton--Springdale/Brampton--Springdale"," 11B","Brampton",46,55,36,4,0,0,141,322
35007,"Brampton--Springdale/Brampton--Springdale"," 12","Brampton",69,72,44,3,0,3,191,481
35007,"Brampton--Springdale/Brampton--Springdale"," 13","Brampton",62,68,33,2,0,0,165,406
35007,"Brampton--Springdale/Brampton--Springdale"," 14","Brampton",26,46,29,3,0,1,105,224
35007,"Brampton--Springdale/Brampton--Springdale"," 15","Brampton",25,60,26,1,0,3,115,317
35007,"Brampton--Springdale/Brampton--Springdale"," 16","Brampton",77,96,16,2,1,1,193,443
