Province,Valid Votes_Stationary Polls/Votes valides_Bureaux fixes,Valid Votes_Mobile Polls/Votes valides_Bureaux itinérants,Valid Votes_Advance Polls/Votes valides_Bureaux par anticipation,Valid Votes_SVR/Votes valides_RES,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",191695,2552,17269,5820,217336
"Prince Edward Island/Île-du-Prince-Édouard",62189,1004,13201,2651,79045
"Nova Scotia/Nouvelle-Écosse",372332,3583,62976,12459,451350
"New Brunswick/Nouveau-Brunswick",300675,5991,71298,10774,388738
"Quebec/Québec",3128892,36818,569466,66514,3801690
"Ontario",4555506,40248,839515,96209,5531478
"Manitoba",415059,8144,56723,11293,491219
"Saskatchewan",391063,5952,47735,10344,455094
"Alberta",1193101,20066,160199,22519,1395885
"British Columbia/Colombie-Britannique",1556572,18896,259278,37890,1872636
"Yukon",12777,58,1578,1644,16057
"Northwest Territories/Territoires du Nord-Ouest",13321,0,1262,994,15577
"Nunavut",7276,0,355,244,7875
