Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gerard Groenendijk,Omar Harb,Ellen Parker,Konrad Schellenberg,Kevin A Sorenson,John C. Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Crowfoot/Crowfoot"," 1","Hay Lakes",2,8,48,9,260,2,0,329,568
48010,"Crowfoot/Crowfoot"," 2","Miquelon Beach",1,6,25,14,146,2,2,196,400
48010,"Crowfoot/Crowfoot"," 3","Ellswick",1,1,10,1,75,1,0,89,149
48010,"Crowfoot/Crowfoot"," 4","Armena",1,2,21,11,183,3,1,222,396
48010,"Crowfoot/Crowfoot"," 5","Round Hill",1,6,27,10,233,1,1,279,413
48010,"Crowfoot/Crowfoot"," 6","Bittern Lake",1,5,32,4,234,0,1,277,540
48010,"Crowfoot/Crowfoot"," 7","Barlee Junction",0,5,29,12,155,1,0,202,326
48010,"Crowfoot/Crowfoot"," 8","Bawlf Rural",1,3,21,10,200,1,1,237,402
48010,"Crowfoot/Crowfoot"," 9","Bittern Lake",0,3,15,3,117,0,0,138,228
48010,"Crowfoot/Crowfoot"," 10","Ohaton",0,2,25,2,184,1,1,215,425
48010,"Crowfoot/Crowfoot"," 11","New Norway",5,0,39,14,258,3,0,319,507
48010,"Crowfoot/Crowfoot"," 12","Kelsey",1,1,12,6,162,2,0,184,352
48010,"Crowfoot/Crowfoot"," 13","Bawlf",1,3,36,9,177,2,1,229,413
48010,"Crowfoot/Crowfoot"," 14","Ferintosh",1,4,24,20,217,4,0,270,535
48010,"Crowfoot/Crowfoot"," 15","Edberg",0,4,25,6,177,3,0,215,392
48010,"Crowfoot/Crowfoot"," 16","Rosalind",1,2,17,7,191,3,1,222,341
48010,"Crowfoot/Crowfoot"," 17","Bashaw",0,1,6,1,86,3,0,97,170
48010,"Crowfoot/Crowfoot"," 18","Bashaw",2,7,60,19,374,2,2,466,716
48010,"Crowfoot/Crowfoot"," 19","Meeting Creek",1,1,12,2,227,1,0,244,420
48010,"Crowfoot/Crowfoot"," 20","Camrose",0,4,45,8,226,3,0,286,488
48010,"Crowfoot/Crowfoot"," 21","Camrose",4,1,31,8,200,2,3,249,527
48010,"Crowfoot/Crowfoot"," 22","Camrose",1,2,48,13,177,3,1,245,551
48010,"Crowfoot/Crowfoot"," 23","Camrose",0,0,20,5,74,0,0,99,246
48010,"Crowfoot/Crowfoot"," 24","Camrose",0,3,29,3,143,4,0,182,406
48010,"Crowfoot/Crowfoot"," 25","Camrose",0,4,47,9,181,1,0,242,627
48010,"Crowfoot/Crowfoot"," 26","Camrose",1,6,27,7,141,0,1,183,387
48010,"Crowfoot/Crowfoot"," 27","Camrose",1,4,28,9,155,1,0,198,411
48010,"Crowfoot/Crowfoot"," 28","Camrose",0,4,14,4,62,1,0,85,219
48010,"Crowfoot/Crowfoot"," 29","Camrose",0,2,26,1,111,0,0,140,290
48010,"Crowfoot/Crowfoot"," 30","Camrose",1,1,18,12,54,2,0,88,240
48010,"Crowfoot/Crowfoot"," 31","Camrose",1,13,31,9,198,4,0,256,468
48010,"Crowfoot/Crowfoot"," 31-1","Camrose",1,6,19,3,124,1,0,154,312
48010,"Crowfoot/Crowfoot"," 32","Camrose",1,3,21,5,128,4,0,162,368
48010,"Crowfoot/Crowfoot"," 33","Camrose",0,4,42,12,169,0,1,228,427
48010,"Crowfoot/Crowfoot"," 34","Camrose",0,1,28,5,106,1,0,141,407
48010,"Crowfoot/Crowfoot"," 35","Camrose",0,4,30,2,136,2,1,175,365
48010,"Crowfoot/Crowfoot"," 36","Camrose",0,6,43,12,130,0,1,192,393
48010,"Crowfoot/Crowfoot"," 37","Camrose",0,3,50,18,104,4,0,179,426
48010,"Crowfoot/Crowfoot"," 38","Camrose",0,1,29,3,123,2,0,158,304
48010,"Crowfoot/Crowfoot"," 39","Camrose",0,12,47,8,250,4,0,321,626
48010,"Crowfoot/Crowfoot"," 40","Camrose",0,4,41,5,146,1,1,198,371
48010,"Crowfoot/Crowfoot"," 41","Camrose",0,5,49,11,211,3,0,279,454
48010,"Crowfoot/Crowfoot"," 42","Camrose",0,0,19,2,117,0,0,138,275
48010,"Crowfoot/Crowfoot"," 43","Camrose",0,1,29,1,68,1,1,101,229
48010,"Crowfoot/Crowfoot"," 44","Camrose",0,1,31,2,89,1,0,124,213
48010,"Crowfoot/Crowfoot"," 45","Camrose",0,6,51,12,249,3,4,325,581
48010,"Crowfoot/Crowfoot"," 46","Camrose",0,6,34,8,149,2,0,199,387
48010,"Crowfoot/Crowfoot"," 47","Camrose",0,4,29,15,225,2,0,275,473
48010,"Crowfoot/Crowfoot"," 48","Camrose",0,11,76,12,260,3,0,362,670
48010,"Crowfoot/Crowfoot"," 48-1","Camrose",0,1,12,4,155,0,0,172,345
48010,"Crowfoot/Crowfoot"," 49","Donalda",0,2,11,3,142,2,1,161,325
48010,"Crowfoot/Crowfoot"," 50","Donalda",0,1,6,7,102,1,0,117,208
48010,"Crowfoot/Crowfoot"," 51","Rochon Sands",1,3,14,6,106,1,0,131,201
48010,"Crowfoot/Crowfoot"," 52","Red Willow",1,1,8,4,121,0,0,135,230
48010,"Crowfoot/Crowfoot"," 53","Erskine",0,4,28,8,279,3,0,322,609
48010,"Crowfoot/Crowfoot"," 54","Erskine",1,3,9,2,169,2,0,186,313
48010,"Crowfoot/Crowfoot"," 55","Stettler--Warden",1,5,18,9,235,2,0,270,401
48010,"Crowfoot/Crowfoot"," 56","Stettler--Sabine",0,3,15,4,270,6,0,298,473
48010,"Crowfoot/Crowfoot"," 57","Botha",0,2,9,12,172,1,0,196,354
48010,"Crowfoot/Crowfoot"," 58","Gadsby",0,4,10,1,165,2,0,182,390
48010,"Crowfoot/Crowfoot"," 59","Stettler",0,3,12,8,220,0,0,243,518
48010,"Crowfoot/Crowfoot"," 60","Stettler",0,10,24,4,123,2,1,164,318
48010,"Crowfoot/Crowfoot"," 61","Stettler",0,9,24,10,150,2,0,195,405
48010,"Crowfoot/Crowfoot"," 62","Stettler",0,2,18,8,122,3,0,153,321
48010,"Crowfoot/Crowfoot"," 63","Stettler",1,7,17,5,170,1,1,202,395
48010,"Crowfoot/Crowfoot"," 64","Stettler",2,11,21,6,129,1,0,170,313
48010,"Crowfoot/Crowfoot"," 65","Stettler",0,4,15,3,173,1,0,196,349
48010,"Crowfoot/Crowfoot"," 66","Stettler",0,3,22,1,122,2,0,150,335
48010,"Crowfoot/Crowfoot"," 67","Stettler",0,1,18,6,136,1,0,162,355
48010,"Crowfoot/Crowfoot"," 68","Stettler",1,4,18,4,152,3,0,182,349
48010,"Crowfoot/Crowfoot"," 69","Stettler",0,7,18,4,130,2,0,161,260
48010,"Crowfoot/Crowfoot"," 70","Big Valley",3,2,16,9,200,2,1,233,382
48010,"Crowfoot/Crowfoot"," 71","Big Valley",1,0,8,3,149,0,0,161,277
48010,"Crowfoot/Crowfoot"," 72","Endiang",1,2,12,3,180,1,0,199,292
48010,"Crowfoot/Crowfoot"," 73","Halkirk",1,2,14,9,159,0,1,186,373
48010,"Crowfoot/Crowfoot"," 74","Castor",1,2,14,11,227,9,1,265,351
48010,"Crowfoot/Crowfoot"," 75","Castor",1,1,9,7,203,1,0,222,318
48010,"Crowfoot/Crowfoot"," 76","Castor",2,8,31,10,190,6,1,248,430
48010,"Crowfoot/Crowfoot"," 77","Brownfield",0,2,16,4,188,1,1,212,349
48010,"Crowfoot/Crowfoot"," 78","Coronation",0,1,18,2,169,4,0,194,399
48010,"Crowfoot/Crowfoot"," 79","Coronation",3,2,14,2,162,3,1,187,350
48010,"Crowfoot/Crowfoot"," 80","Coronation",0,0,9,5,153,1,0,168,322
48010,"Crowfoot/Crowfoot"," 81","Veteran",3,3,16,7,211,3,1,244,414
48010,"Crowfoot/Crowfoot"," 82","Consort",0,0,8,2,172,1,0,183,258
48010,"Crowfoot/Crowfoot"," 83","Consort",0,6,10,4,90,2,3,115,189
48010,"Crowfoot/Crowfoot"," 84","Consort",0,4,4,3,135,0,0,146,310
48010,"Crowfoot/Crowfoot"," 85","Monitor",0,1,2,1,131,2,0,137,242
48010,"Crowfoot/Crowfoot"," 86","Altario",0,4,6,1,99,0,2,112,178
48010,"Crowfoot/Crowfoot"," 87","Wimborne",4,3,8,6,245,3,1,270,365
48010,"Crowfoot/Crowfoot"," 88","Huxley",0,0,12,6,197,1,0,216,295
48010,"Crowfoot/Crowfoot"," 89","Torrington",0,4,26,8,203,6,0,247,437
48010,"Crowfoot/Crowfoot"," 90","Trochu",2,3,20,12,257,3,2,299,473
