Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Linda Duncan,Andrew Fehr,Ryan Hastman,Kevan Hunter,Kyle Murphy,Matthew Sinclair,Christopher White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 1","Edmonton",167,7,101,0,0,3,0,0,278,424
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 2","Edmonton",110,1,66,0,0,4,0,0,181,290
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 3","Edmonton",101,0,87,0,2,3,1,1,195,288
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 4","Edmonton",18,1,3,0,0,4,0,0,26,61
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 5","Edmonton",1,0,1,0,0,1,0,0,3,57
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 5-1","Edmonton",102,4,33,0,1,5,0,0,145,293
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 6","Edmonton",127,1,64,0,1,10,1,0,204,359
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 7","Edmonton",111,2,35,0,0,3,0,0,151,253
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 8","Edmonton",101,9,42,0,0,5,0,0,157,285
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 9","Edmonton",170,9,82,0,2,13,0,0,276,453
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 10","Edmonton",146,8,62,3,0,9,1,0,229,390
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 11","Edmonton",132,5,18,1,0,9,1,0,166,284
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 12","Edmonton",155,7,91,1,0,10,0,1,265,467
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 13","Edmonton",142,6,69,0,3,3,2,0,225,406
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 14","Edmonton",125,4,32,0,1,5,0,0,167,285
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 15","Edmonton",147,8,35,0,0,7,0,0,197,360
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 16","Edmonton",173,8,32,0,3,4,0,1,221,393
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 17","Edmonton",127,2,33,0,0,4,0,0,166,319
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 18","Edmonton",130,4,53,0,0,3,0,0,190,331
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 19","Edmonton",187,5,49,0,0,2,0,0,243,400
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 20","Edmonton",134,1,29,0,0,0,0,0,164,297
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 21","Edmonton",121,8,72,1,1,4,0,0,207,309
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 22","Edmonton",164,4,49,0,0,1,0,2,220,450
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 23","Edmonton",186,11,66,0,0,10,0,0,273,417
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 24","Edmonton",141,8,80,0,0,9,0,0,238,452
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 25","Edmonton",83,4,41,0,0,4,0,0,132,241
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 26","Edmonton",130,4,42,0,0,4,0,1,181,273
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 27","Edmonton",222,2,56,0,1,6,0,1,288,479
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 28","Edmonton",132,9,51,0,2,7,1,0,202,365
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 29","Edmonton",157,3,50,0,0,1,0,0,211,331
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 30","Edmonton",207,10,50,0,3,3,1,0,274,438
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 31","Edmonton",95,6,29,0,0,0,0,0,130,279
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 32","Edmonton",106,2,45,0,0,4,1,0,158,299
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 33","Edmonton",106,13,106,1,0,9,0,1,236,389
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 34","Edmonton",87,8,87,0,0,6,1,0,189,319
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 35","Edmonton",84,14,106,2,0,8,0,1,215,383
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 36","Edmonton",86,2,92,0,2,6,0,2,190,341
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 37","Edmonton",51,5,83,1,1,4,0,1,146,286
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 38","Edmonton",81,0,121,0,0,8,0,0,210,401
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 39","Edmonton",76,2,104,1,0,6,0,0,189,300
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 40","Edmonton",85,6,98,0,0,5,1,3,198,343
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 41","Edmonton",105,3,69,0,0,11,0,0,188,323
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 42","Edmonton",138,3,152,0,4,4,0,0,301,425
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 43","Edmonton",101,5,164,0,0,5,0,1,276,404
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 44","Edmonton",114,7,156,0,0,7,0,0,284,406
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 45","Edmonton",109,3,144,0,0,3,1,0,260,379
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 46","Edmonton",143,8,137,0,0,1,0,0,289,454
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 47","Edmonton",110,3,128,1,0,6,0,3,251,402
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 48","Edmonton",119,3,164,0,5,4,0,0,295,453
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 49","Edmonton",113,6,170,3,2,5,2,0,301,523
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 50","Edmonton",105,9,158,1,3,6,0,0,282,421
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 51","Edmonton",112,6,155,0,0,5,1,0,279,427
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 52","Edmonton",105,2,126,1,3,5,0,0,242,374
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 53","Edmonton",73,7,133,0,1,3,1,0,218,342
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 54","Edmonton",90,17,166,1,0,2,0,0,276,398
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 55","Edmonton",55,2,105,0,1,3,1,1,168,335
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 56","Edmonton",57,8,59,0,0,4,0,0,128,347
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 57","Edmonton",173,2,107,0,0,10,0,0,292,471
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 57-1","Edmonton",59,10,56,1,1,3,0,0,130,244
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 58","Edmonton",67,2,134,3,0,6,0,2,214,293
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 59","Edmonton",108,4,85,1,0,5,1,0,204,323
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 60","Edmonton",136,4,104,0,1,12,1,0,258,397
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 61","Edmonton",119,11,93,1,3,3,1,0,231,448
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 62","Edmonton",75,1,37,0,1,2,0,0,116,254
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 63","Edmonton",105,4,66,0,0,3,0,2,180,318
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 64","Edmonton",116,4,75,0,0,8,0,2,205,360
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 65","Edmonton",124,3,123,0,3,4,0,0,257,357
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 66","Edmonton",58,2,62,0,0,4,0,0,126,212
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 67","Edmonton",105,3,68,0,0,8,0,2,186,312
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 68","Edmonton",99,5,64,0,0,3,1,0,172,362
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 69","Edmonton",114,7,88,0,1,2,1,0,213,355
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 70","Edmonton",103,5,122,0,1,9,0,0,240,427
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 71","Edmonton",153,1,124,0,2,9,1,0,290,430
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 72","Edmonton",82,4,92,0,0,6,0,0,184,359
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 73","Edmonton",60,5,115,0,0,5,3,0,188,297
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 74","Edmonton",71,3,123,1,1,4,0,0,203,333
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 75","Edmonton",45,3,92,1,0,2,1,0,144,216
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 76","Edmonton",119,7,184,0,3,8,0,0,321,514
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 77","Edmonton",108,6,115,0,2,10,0,2,243,525
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 78","Edmonton",42,5,54,0,0,4,0,1,106,315
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 79","Edmonton",61,2,72,0,0,6,0,0,141,290
