Province,Valid Votes_SVR Group 1/Votes valides_RES Groupe 1,Valid Votes_SVR Group 2/Votes valides_RES Groupe 2,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",1245,4575,5820
"Prince Edward Island/Île-du-Prince-Édouard",329,2322,2651
"Nova Scotia/Nouvelle-Écosse",3290,9169,12459
"New Brunswick/Nouveau-Brunswick",1983,8791,10774
"Quebec/Québec",10714,55800,66514
"Ontario",17069,79140,96209
"Manitoba",2243,9050,11293
"Saskatchewan",1743,8601,10344
"Alberta",3948,18571,22519
"British Columbia/Colombie-Britannique",4938,32952,37890
"Yukon",47,1597,1644
"Northwest Territories/Territoires du Nord-Ouest",194,800,994
"Nunavut",112,132,244
