Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trevor Bardens,Jim Flaherty,Rebecca Harrison,Josh Insang,Trish McAuliffe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Whitby--Oshawa/Whitby--Oshawa"," 1","Whitby",30,144,21,0,33,0,228,421
35099,"Whitby--Oshawa/Whitby--Oshawa"," 2","Whitby",19,142,21,0,49,2,233,378
35099,"Whitby--Oshawa/Whitby--Oshawa"," 3","Whitby",17,140,6,0,33,0,196,369
35099,"Whitby--Oshawa/Whitby--Oshawa"," 4","Whitby",31,110,5,0,36,1,183,350
35099,"Whitby--Oshawa/Whitby--Oshawa"," 5A","Whitby",25,136,7,1,47,1,217,390
35099,"Whitby--Oshawa/Whitby--Oshawa"," 5B","Whitby",31,133,16,0,45,1,226,404
35099,"Whitby--Oshawa/Whitby--Oshawa"," 6","Whitby",30,171,11,0,25,1,238,418
35099,"Whitby--Oshawa/Whitby--Oshawa"," 7","Whitby",32,236,11,3,44,0,326,561
35099,"Whitby--Oshawa/Whitby--Oshawa"," 8A","Whitby",14,131,9,0,47,0,201,382
35099,"Whitby--Oshawa/Whitby--Oshawa"," 8B","Whitby",26,123,7,0,38,0,194,382
35099,"Whitby--Oshawa/Whitby--Oshawa"," 9","Whitby",15,124,12,0,62,1,214,435
35099,"Whitby--Oshawa/Whitby--Oshawa"," 10","Whitby",28,140,10,0,72,1,251,498
35099,"Whitby--Oshawa/Whitby--Oshawa"," 11","Whitby",33,148,13,2,36,0,232,395
35099,"Whitby--Oshawa/Whitby--Oshawa"," 12","Whitby",19,160,12,0,37,0,228,385
35099,"Whitby--Oshawa/Whitby--Oshawa"," 13","Whitby",32,124,7,0,41,2,206,414
35099,"Whitby--Oshawa/Whitby--Oshawa"," 14","Whitby",29,157,13,0,49,0,248,429
35099,"Whitby--Oshawa/Whitby--Oshawa"," 15","Whitby",18,178,8,2,56,1,263,460
35099,"Whitby--Oshawa/Whitby--Oshawa"," 16","Whitby",19,151,11,1,38,0,220,391
35099,"Whitby--Oshawa/Whitby--Oshawa"," 17","Whitby",21,139,7,1,34,0,202,366
35099,"Whitby--Oshawa/Whitby--Oshawa"," 18","Whitby",23,146,6,0,28,1,204,396
35099,"Whitby--Oshawa/Whitby--Oshawa"," 19","Whitby",16,125,10,1,33,2,187,353
35099,"Whitby--Oshawa/Whitby--Oshawa"," 20","Whitby",23,118,15,0,36,0,192,318
35099,"Whitby--Oshawa/Whitby--Oshawa"," 21","Whitby",17,161,12,0,44,1,235,415
35099,"Whitby--Oshawa/Whitby--Oshawa"," 22","Whitby",36,159,10,0,51,0,256,442
