Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Bevan-Baker,Wayne Easter,Rita Jackson,Tim Ogilvie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 1","Baltic",5,93,45,117,1,261,387
11004,"Malpeque/Malpeque"," 2","Irishtown",2,70,31,122,2,227,366
11004,"Malpeque/Malpeque"," 3","Indian River",6,78,19,102,3,208,307
11004,"Malpeque/Malpeque"," 4","Southwest River",6,51,23,119,1,200,310
11004,"Malpeque/Malpeque"," 5","Clinton ",4,78,27,69,1,179,201
11004,"Malpeque/Malpeque"," 6","Founds Mills",6,95,39,147,0,287,413
11004,"Malpeque/Malpeque"," 7","Kelvin Grove North",3,85,38,151,2,279,465
11004,"Malpeque/Malpeque"," 8","Kensington",12,84,28,90,1,215,408
11004,"Malpeque/Malpeque"," 9","Kensington",5,80,32,80,3,200,414
11004,"Malpeque/Malpeque"," 10","Clermont",8,82,31,110,0,231,435
11004,"Malpeque/Malpeque"," 11","New Annan",3,69,36,83,0,191,340
11004,"Malpeque/Malpeque"," 12","Travellers Rest",7,70,35,132,0,244,411
11004,"Malpeque/Malpeque"," 13","North Bedeque",6,110,56,135,0,307,436
11004,"Malpeque/Malpeque"," 14","Mill Valley",7,68,39,102,1,217,363
11004,"Malpeque/Malpeque"," 15","South Freetown",11,82,40,72,2,207,365
11004,"Malpeque/Malpeque"," 16","Central Bedeque",10,101,23,83,0,217,353
11004,"Malpeque/Malpeque"," 17","Lower Bedeque",10,116,47,117,0,290,436
11004,"Malpeque/Malpeque"," 18","KinKora",1,97,26,101,2,227,391
11004,"Malpeque/Malpeque"," 19","Maple Plains",8,81,29,76,2,196,339
11004,"Malpeque/Malpeque"," 20","North Carleton",4,141,33,95,3,276,390
11004,"Malpeque/Malpeque"," 21","Borden-Carleton",11,68,29,90,2,200,326
11004,"Malpeque/Malpeque"," 22","Cape Traverse",13,85,25,96,1,220,363
11004,"Malpeque/Malpeque"," 23","Tryon",18,118,28,111,0,275,359
11004,"Malpeque/Malpeque"," 24","Stanley Bridge",6,108,32,133,1,280,394
11004,"Malpeque/Malpeque"," 25","Cavendish",16,109,41,105,4,275,384
11004,"Malpeque/Malpeque"," 26","North Rustico",7,87,53,95,2,244,322
11004,"Malpeque/Malpeque"," 27","St. Anns",9,108,34,76,0,227,361
11004,"Malpeque/Malpeque"," 28","Fredericton",9,109,45,82,0,245,373
11004,"Malpeque/Malpeque"," 29","Breadalbane",18,100,34,87,0,239,343
11004,"Malpeque/Malpeque"," 30","Springvale",3,102,30,87,1,223,359
11004,"Malpeque/Malpeque"," 31","South Rustico",11,139,35,94,2,281,369
11004,"Malpeque/Malpeque"," 32","Oyster Bed Bridge",6,109,35,88,2,240,366
11004,"Malpeque/Malpeque"," 33","Wheatley River",19,91,30,97,1,238,394
11004,"Malpeque/Malpeque"," 34","Hunter River",6,120,40,89,3,258,400
11004,"Malpeque/Malpeque"," 35","Darlington",12,121,28,77,1,239,364
11004,"Malpeque/Malpeque"," 36","Hampshire",5,73,24,80,3,185,289
11004,"Malpeque/Malpeque"," 37","Emyvale",12,137,53,79,0,281,455
11004,"Malpeque/Malpeque"," 38","Maplewood",19,113,40,74,2,248,411
11004,"Malpeque/Malpeque"," 39","Green Bay",16,124,47,110,3,300,446
11004,"Malpeque/Malpeque"," 40","Victoria",55,111,27,68,1,262,390
11004,"Malpeque/Malpeque"," 41","South Melville",33,94,42,81,3,253,394
11004,"Malpeque/Malpeque"," 42","Argyle Shore",12,114,49,102,0,277,424
11004,"Malpeque/Malpeque"," 43","Stanhope Beach",9,118,43,101,0,271,388
11004,"Malpeque/Malpeque"," 44","Covehead Road",11,130,71,89,0,301,501
11004,"Malpeque/Malpeque"," 45","Suffolk",10,145,56,99,0,310,468
11004,"Malpeque/Malpeque"," 46A","Union",0,30,7,21,0,58,83
11004,"Malpeque/Malpeque"," 46B","Union",5,51,27,78,2,163,271
11004,"Malpeque/Malpeque"," 47","Marshfield",3,73,38,71,0,185,290
11004,"Malpeque/Malpeque"," 48","Harrington",2,81,57,88,0,228,409
11004,"Malpeque/Malpeque"," 49","Brackley Point",9,104,43,79,0,235,396
11004,"Malpeque/Malpeque"," 50","North Winsloe",7,104,40,87,1,239,392
11004,"Malpeque/Malpeque"," 51","Royalty Junction",3,54,23,28,0,108,163
11004,"Malpeque/Malpeque"," 52","Winsloe",9,84,27,58,1,179,283
11004,"Malpeque/Malpeque"," 53","Brackley Beach",2,84,39,62,1,188,318
11004,"Malpeque/Malpeque"," 54","Milton Station",3,77,38,74,2,194,359
11004,"Malpeque/Malpeque"," 55","Warren Grove",2,69,27,43,1,142,243
11004,"Malpeque/Malpeque"," 56","Chateau Estates",3,74,28,50,1,156,344
11004,"Malpeque/Malpeque"," 57","Candlelight Park",4,83,44,66,0,197,336
11004,"Malpeque/Malpeque"," 58","East Wiltshire",6,72,29,71,1,179,333
11004,"Malpeque/Malpeque"," 59","Cornwall",10,80,39,83,1,213,405
11004,"Malpeque/Malpeque"," 60","Cornwall",8,80,55,85,0,228,506
11004,"Malpeque/Malpeque"," 61","Elliot Park",7,142,45,91,1,286,487
11004,"Malpeque/Malpeque"," 62","York Point",6,50,24,58,0,138,228
11004,"Malpeque/Malpeque"," 63","Primrose Point",10,105,38,95,0,248,448
11004,"Malpeque/Malpeque"," 64","Cornwall",8,78,21,53,1,161,349
11004,"Malpeque/Malpeque"," 65","Cornwall",9,86,31,68,0,194,351
11004,"Malpeque/Malpeque"," 66","Kingston",11,89,42,87,0,229,399
11004,"Malpeque/Malpeque"," 67","Stathgartney",9,110,31,94,1,245,386
11004,"Malpeque/Malpeque"," 68","Hyde Point",8,91,38,69,1,207,377
11004,"Malpeque/Malpeque"," 69","New Dominion",8,98,50,87,2,245,374
11004,"Malpeque/Malpeque"," 70","Rocky Point",17,124,39,107,0,287,479
11004,"Malpeque/Malpeque"," 71","Rice Point",22,130,55,117,1,325,453
11004,"Malpeque/Malpeque"," 500","Mobile poll/Bureau itinérant",2,41,5,30,2,80,152
11004,"Malpeque/Malpeque"," 600","Kensington",18,291,59,375,2,745,
11004,"Malpeque/Malpeque"," 601","KinKora",15,159,27,137,1,339,
11004,"Malpeque/Malpeque"," 602","Hunter River",19,209,48,163,0,439,
11004,"Malpeque/Malpeque"," 603","Cornwall",20,249,46,214,2,531,
11004,"Malpeque/Malpeque"," 604","Cornwall East",15,343,83,251,1,693,
11004,"Malpeque/Malpeque"," 605","Brackley",15,269,41,199,0,524,
11004,"Malpeque/Malpeque",,Group 1/Groupe 1,0,24,3,36,5,68,131
11004,"Malpeque/Malpeque",,Group 2/Groupe 2,20,253,35,166,3,477,
