Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Lisa Bennett,Bill Greenberg,Marilyn Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Timmins--James Bay/Timmins--Baie James"," 62","Timmins",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 63","Timmins",92,0,64,37,1,194,394
35092,"Timmins--James Bay/Timmins--Baie James"," 64","Timmins",59,3,70,44,2,178,317
35092,"Timmins--James Bay/Timmins--Baie James"," 65","Timmins",143,7,97,74,0,321,657
35092,"Timmins--James Bay/Timmins--Baie James"," 66","Timmins",53,2,66,37,0,158,355
35092,"Timmins--James Bay/Timmins--Baie James"," 67","Timmins",110,5,121,83,0,319,474
35092,"Timmins--James Bay/Timmins--Baie James"," 68","Timmins",76,2,71,49,0,198,389
35092,"Timmins--James Bay/Timmins--Baie James"," 69","Timmins",60,0,59,50,0,169,318
35092,"Timmins--James Bay/Timmins--Baie James"," 70","Timmins",80,2,90,34,0,206,296
35092,"Timmins--James Bay/Timmins--Baie James"," 71","Timmins",35,0,59,31,0,125,241
35092,"Timmins--James Bay/Timmins--Baie James"," 72","Timmins",81,3,80,67,1,232,391
35092,"Timmins--James Bay/Timmins--Baie James"," 73","Timmins",63,2,79,43,0,187,311
35092,"Timmins--James Bay/Timmins--Baie James"," 74","Timmins",79,3,65,37,0,184,384
35092,"Timmins--James Bay/Timmins--Baie James"," 75","Timmins",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 76","Timmins",102,5,35,19,1,162,440
35092,"Timmins--James Bay/Timmins--Baie James"," 77","Timmins",82,3,47,19,1,152,332
35092,"Timmins--James Bay/Timmins--Baie James"," 78","Timmins",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 79","Timmins",47,2,25,15,0,89,227
35092,"Timmins--James Bay/Timmins--Baie James"," 80","Timmins",69,0,59,42,2,172,441
35092,"Timmins--James Bay/Timmins--Baie James"," 81","Timmins",60,3,53,34,0,150,304
35092,"Timmins--James Bay/Timmins--Baie James"," 82","Timmins",112,3,82,43,3,243,511
35092,"Timmins--James Bay/Timmins--Baie James"," 83","Timmins",99,1,37,23,1,161,361
35092,"Timmins--James Bay/Timmins--Baie James"," 84","Timmins",51,5,60,33,0,149,325
35092,"Timmins--James Bay/Timmins--Baie James"," 85","Timmins",59,2,21,17,2,101,298
35092,"Timmins--James Bay/Timmins--Baie James"," 86","Timmins",75,1,22,16,1,115,348
35092,"Timmins--James Bay/Timmins--Baie James"," 87","Timmins",62,0,40,37,4,143,301
35092,"Timmins--James Bay/Timmins--Baie James"," 88","Timmins",65,1,65,35,0,166,349
35092,"Timmins--James Bay/Timmins--Baie James"," 89","Timmins",70,6,60,31,2,169,338
35092,"Timmins--James Bay/Timmins--Baie James"," 90","Timmins",81,4,44,30,2,161,353
35092,"Timmins--James Bay/Timmins--Baie James"," 91","Timmins",69,2,77,32,1,181,355
35092,"Timmins--James Bay/Timmins--Baie James"," 92","Timmins",60,5,52,26,0,143,354
35092,"Timmins--James Bay/Timmins--Baie James"," 93","Timmins",61,4,31,19,0,115,292
35092,"Timmins--James Bay/Timmins--Baie James"," 94","Timmins",65,1,43,26,3,138,318
35092,"Timmins--James Bay/Timmins--Baie James"," 95","Timmins",53,3,18,14,0,88,309
35092,"Timmins--James Bay/Timmins--Baie James"," 96","Timmins",45,2,35,12,0,94,293
35092,"Timmins--James Bay/Timmins--Baie James"," 97","Timmins",69,3,41,31,0,144,290
35092,"Timmins--James Bay/Timmins--Baie James"," 98","Timmins",77,3,51,24,1,156,352
35092,"Timmins--James Bay/Timmins--Baie James"," 99","Timmins",77,1,37,26,0,141,310
35092,"Timmins--James Bay/Timmins--Baie James"," 100","Timmins",90,6,44,33,2,175,456
35092,"Timmins--James Bay/Timmins--Baie James"," 101","Timmins",75,7,68,29,2,181,313
35092,"Timmins--James Bay/Timmins--Baie James"," 102","Timmins",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 103","Timmins",71,4,44,23,0,142,301
35092,"Timmins--James Bay/Timmins--Baie James"," 104","Timmins",68,3,36,25,1,133,247
35092,"Timmins--James Bay/Timmins--Baie James"," 105","Timmins",43,3,43,17,1,107,239
35092,"Timmins--James Bay/Timmins--Baie James"," 106","Timmins",32,0,18,8,1,59,249
35092,"Timmins--James Bay/Timmins--Baie James"," 107","Timmins",46,0,46,24,2,118,337
35092,"Timmins--James Bay/Timmins--Baie James"," 108","Timmins",52,0,27,7,0,86,279
35092,"Timmins--James Bay/Timmins--Baie James"," 109","Timmins",55,4,26,6,0,91,318
35092,"Timmins--James Bay/Timmins--Baie James"," 110","Timmins",80,3,42,28,1,154,356
35092,"Timmins--James Bay/Timmins--Baie James"," 111","Timmins",68,4,46,11,0,129,297
35092,"Timmins--James Bay/Timmins--Baie James"," 112","Timmins",76,3,40,23,1,143,343
35092,"Timmins--James Bay/Timmins--Baie James"," 113","Timmins",80,2,25,10,1,118,328
35092,"Timmins--James Bay/Timmins--Baie James"," 114","Timmins",68,1,36,17,0,122,304
35092,"Timmins--James Bay/Timmins--Baie James"," 115","Timmins",45,5,25,14,0,89,348
