Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 400","Thunder Bay",0,5,2,12,3,0,22,51
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 401","Thunder Bay",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 402","Thunder Bay",2,59,55,52,5,2,175,233
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 403","Thunder Bay",1,38,51,44,2,1,137,191
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 404","Thunder Bay",0,33,42,67,2,1,145,213
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 500","Mobile poll/Bureau itinérant",0,14,13,15,2,3,47,133
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 501","Mobile poll/Bureau itinérant",0,25,52,46,1,0,124,220
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 502","Mobile poll/Bureau itinérant",0,9,14,16,2,3,44,122
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 503","Mobile poll/Bureau itinérant",1,25,44,42,1,4,117,182
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 504","Mobile poll/Bureau itinérant",0,8,8,19,1,1,37,59
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 505","Mobile poll/Bureau itinérant",1,0,2,2,0,0,5,19
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 506","Mobile poll/Bureau itinérant",0,24,30,38,2,0,94,130
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 507","Mobile poll/Bureau itinérant",0,5,15,11,1,1,33,54
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 600","Armstrong",0,3,17,17,1,0,38,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 601","Nipigon",3,14,120,101,4,1,243,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 602","Beardmore",0,4,18,15,0,0,37,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 603","Nakina",2,6,8,21,1,1,39,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 604","Geraldton",0,27,31,70,3,0,131,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 605","Longlac",2,18,45,73,1,1,140,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 606","Thunder Bay",1,9,42,58,2,0,112,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 607","Thunder Bay",0,34,82,71,1,1,189,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 608","Thunder Bay",0,50,106,122,4,1,283,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 609","Thunder Bay",5,152,264,349,13,3,786,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 610","Thunder Bay",2,34,114,135,8,0,293,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 611","Thunder Bay",3,96,144,190,12,0,445,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 612","Thunder Bay",1,158,229,176,10,0,574,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 613","Red Rock",0,8,43,56,1,2,110,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 614","Thunder Bay",0,76,108,150,17,0,351,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 615","Schreiber",1,35,64,65,7,2,174,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 616","Terrace Bay",0,20,57,65,11,1,154,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 617","Marathon",0,35,71,114,12,0,232,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 618","Thunder Bay",0,53,144,188,12,0,397,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord",,Group 1/Groupe 1,4,45,49,36,10,6,150,244
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord",,Group 2/Groupe 2,7,252,327,407,27,8,1028,
