Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 45","Thunder Bay",2,31,97,107,5,0,242,434
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 46","Thunder Bay",1,24,64,78,2,1,170,294
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 46-1","Thunder Bay",0,29,50,37,4,2,122,227
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 47","Thunder Bay",2,33,70,95,7,1,208,434
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 48","Thunder Bay",0,33,88,98,0,0,219,426
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 49","Thunder Bay",2,24,59,87,6,0,178,397
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 50","Thunder Bay",1,55,71,92,5,1,225,432
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 50-1","Thunder Bay",1,13,41,57,3,1,116,202
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 51","Thunder Bay",2,27,68,80,2,2,181,326
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 52","Thunder Bay",2,31,71,71,6,0,181,396
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 53","Thunder Bay",1,8,29,86,2,0,126,336
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 54","Thunder Bay",1,10,14,80,4,1,110,280
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 55","Thunder Bay",2,42,46,115,1,2,208,453
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 56","Thunder Bay",1,28,45,70,7,0,151,353
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 57","Thunder Bay",0,22,33,120,7,0,182,428
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 58","Thunder Bay",3,25,55,101,3,2,189,410
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 59A","Thunder Bay",0,27,39,63,2,0,131,233
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 59B","Thunder Bay",0,31,36,57,1,0,125,246
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 60","Thunder Bay",0,59,76,87,7,1,230,410
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 61","Thunder Bay",2,39,80,71,7,0,199,366
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 61-1","Thunder Bay",1,43,73,101,6,1,225,436
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 62","Thunder Bay",1,26,77,67,2,3,176,263
