Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louise Boutin,Kimball Cariou,Don Davies,Matt Kadioglu,Trang Nguyen,Donna Petersen,Wendy Yuan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Vancouver Kingsway/Vancouver Kingsway"," 1","Vancouver",31,0,94,0,73,1,46,0,245,436
59032,"Vancouver Kingsway/Vancouver Kingsway"," 2","Vancouver",Void/Supprimé,,,,,,,,,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 3","Vancouver",30,0,163,2,39,0,39,0,273,506
59032,"Vancouver Kingsway/Vancouver Kingsway"," 4","Vancouver",23,1,179,2,63,0,39,0,307,585
59032,"Vancouver Kingsway/Vancouver Kingsway"," 5","Vancouver",36,1,164,2,82,0,46,2,333,655
59032,"Vancouver Kingsway/Vancouver Kingsway"," 6","Vancouver",18,0,89,1,75,0,52,0,235,412
59032,"Vancouver Kingsway/Vancouver Kingsway"," 7","Vancouver",24,0,118,2,33,0,22,0,199,334
59032,"Vancouver Kingsway/Vancouver Kingsway"," 8","Vancouver",10,0,91,1,67,0,41,2,212,408
59032,"Vancouver Kingsway/Vancouver Kingsway"," 9","Vancouver",17,0,90,6,87,0,61,0,261,427
59032,"Vancouver Kingsway/Vancouver Kingsway"," 10","Vancouver",6,0,55,2,62,0,59,1,185,355
59032,"Vancouver Kingsway/Vancouver Kingsway"," 11","Vancouver",9,0,55,1,94,0,54,1,214,433
59032,"Vancouver Kingsway/Vancouver Kingsway"," 12","Vancouver",3,0,25,0,33,0,17,0,78,185
59032,"Vancouver Kingsway/Vancouver Kingsway"," 13","Vancouver",9,1,53,3,119,0,35,0,220,418
59032,"Vancouver Kingsway/Vancouver Kingsway"," 13-1","Vancouver",4,1,47,2,87,0,36,0,177,482
59032,"Vancouver Kingsway/Vancouver Kingsway"," 14","Vancouver",18,2,152,2,52,0,45,1,272,517
59032,"Vancouver Kingsway/Vancouver Kingsway"," 15","Vancouver",18,1,186,3,52,0,49,2,311,529
59032,"Vancouver Kingsway/Vancouver Kingsway"," 16","Vancouver",Void/Supprimé,,,,,,,,,
59032,"Vancouver Kingsway/Vancouver Kingsway"," 17","Vancouver",14,1,114,0,66,0,39,2,236,437
59032,"Vancouver Kingsway/Vancouver Kingsway"," 18","Vancouver",23,2,115,1,70,0,47,2,260,447
59032,"Vancouver Kingsway/Vancouver Kingsway"," 19","Vancouver",10,0,93,2,78,0,38,1,222,441
59032,"Vancouver Kingsway/Vancouver Kingsway"," 20","Vancouver",18,0,119,2,47,0,46,2,234,376
59032,"Vancouver Kingsway/Vancouver Kingsway"," 21","Vancouver",16,0,109,0,27,1,31,2,186,333
59032,"Vancouver Kingsway/Vancouver Kingsway"," 22","Vancouver",17,0,157,2,48,0,46,1,271,427
59032,"Vancouver Kingsway/Vancouver Kingsway"," 23","Vancouver",30,1,165,1,56,0,30,2,285,494
59032,"Vancouver Kingsway/Vancouver Kingsway"," 24","Vancouver",13,1,163,0,64,0,26,2,269,508
59032,"Vancouver Kingsway/Vancouver Kingsway"," 25","Vancouver",7,0,103,1,57,0,29,1,198,418
59032,"Vancouver Kingsway/Vancouver Kingsway"," 26","Vancouver",8,0,130,1,48,0,35,0,222,365
59032,"Vancouver Kingsway/Vancouver Kingsway"," 27","Vancouver",10,1,126,0,47,0,24,0,208,305
59032,"Vancouver Kingsway/Vancouver Kingsway"," 28","Vancouver",23,1,203,2,51,2,35,0,317,478
59032,"Vancouver Kingsway/Vancouver Kingsway"," 29","Vancouver",9,2,135,2,43,0,24,1,216,437
59032,"Vancouver Kingsway/Vancouver Kingsway"," 30","Vancouver",10,3,130,1,70,1,38,3,256,474
59032,"Vancouver Kingsway/Vancouver Kingsway"," 31","Vancouver",9,1,103,1,48,0,30,3,195,383
59032,"Vancouver Kingsway/Vancouver Kingsway"," 32","Vancouver",3,0,103,0,38,0,13,1,158,366
59032,"Vancouver Kingsway/Vancouver Kingsway"," 33","Vancouver",14,3,141,3,75,1,41,3,281,505
59032,"Vancouver Kingsway/Vancouver Kingsway"," 34","Vancouver",10,1,139,1,66,2,53,1,273,508
