Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Heather MacIntosh,Stephen James Randall,Michelle Rempel,Paul Vargis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 1","Calgary",0,6,12,130,16,0,164,356
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 2","Calgary",0,19,17,105,27,0,168,389
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 3","Calgary",1,9,12,79,25,1,127,328
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 4","Calgary",0,12,22,121,28,0,183,357
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 5","Calgary",1,19,12,88,27,0,147,305
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 6","Calgary",1,14,11,82,13,0,121,260
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 7","Calgary",0,18,25,131,34,0,208,441
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 8","Calgary",1,17,16,138,20,0,192,383
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 9","Calgary",2,19,7,90,19,1,138,320
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 10","Calgary",1,6,22,88,9,0,126,251
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 11","Calgary",1,16,15,130,30,0,192,387
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 12","Calgary",0,13,16,129,27,2,187,392
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 13","Calgary",0,19,26,147,38,0,230,432
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 14","Calgary",0,10,6,78,12,2,108,238
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 15","Calgary",2,24,18,67,36,0,147,313
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 16","Calgary",2,17,26,64,21,0,130,338
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 17","Calgary",0,13,14,126,24,2,179,305
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 18","Calgary",1,11,13,108,27,0,160,321
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 19","Calgary",0,18,8,101,25,0,152,226
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 20","Calgary",1,24,18,101,22,1,167,369
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 21","Calgary",0,17,9,147,35,0,208,380
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 22","Calgary",0,20,15,144,19,1,199,342
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 23","Calgary",0,16,22,93,16,1,148,278
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 24","Calgary",1,4,12,91,15,0,123,300
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 25","Calgary",0,6,10,90,12,0,118,217
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 26","Calgary",0,16,15,110,29,0,170,304
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 27","Calgary",1,16,11,74,19,0,121,266
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 28","Calgary",1,24,10,93,28,1,157,359
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 29","Calgary",1,21,10,81,19,0,132,246
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 30","Calgary",0,10,21,99,26,1,157,357
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 31","Calgary",0,7,15,56,24,0,102,261
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 32","Calgary",2,13,8,122,25,0,170,326
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 33","Calgary",0,16,12,60,21,1,110,271
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 34","Calgary",2,13,25,147,29,0,216,363
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 35","Calgary",0,14,19,142,25,0,200,328
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 36","Calgary",2,13,13,86,26,0,140,338
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 37","Calgary",1,17,19,136,21,1,195,382
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 38","Calgary",2,9,11,115,13,1,151,328
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 39","Calgary",0,10,20,129,21,3,183,414
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 40","Calgary",3,14,9,108,20,0,154,373
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 41","Calgary",0,8,8,109,30,0,155,355
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 42","Calgary",2,22,13,154,42,0,233,422
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 43","Calgary",0,17,21,175,28,1,242,419
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 44","Calgary",1,13,11,100,27,1,153,346
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 45","Calgary",0,15,16,107,22,0,160,289
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 46","Calgary",0,8,30,140,17,0,195,328
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 47","Calgary",1,15,11,70,21,0,118,316
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 48","Calgary",1,14,10,103,17,1,146,298
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 49","Calgary",1,19,9,114,26,0,169,335
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 50","Calgary",0,17,12,122,43,0,194,403
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 51","Calgary",1,10,11,148,16,1,187,362
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 52","Calgary",1,13,19,109,31,0,173,358
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 53","Calgary",0,17,8,160,8,0,193,356
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 54","Calgary",0,13,13,75,13,0,114,274
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 55","Calgary",0,11,21,98,21,1,152,329
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 56","Calgary",1,5,8,50,23,2,89,261
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 57","Calgary",0,13,10,83,28,1,135,340
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 58","Calgary",2,7,17,89,14,0,129,319
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 59","Calgary",2,17,27,148,34,0,228,452
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 60","Calgary",1,14,7,51,28,0,101,343
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 61","Calgary",0,8,8,75,26,2,119,295
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 62","Calgary",0,7,9,101,20,0,137,277
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 63","Calgary",1,16,20,92,46,0,175,461
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 64","Calgary",1,16,22,155,23,0,217,333
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 65","Calgary",3,19,24,177,32,1,256,401
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 66","Calgary",0,19,25,147,23,0,214,354
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 67","Calgary",0,15,12,75,23,0,125,265
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 68","Calgary",0,22,18,113,19,0,172,336
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 69","Calgary",0,21,23,97,36,1,178,322
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 70","Calgary",0,25,18,146,22,1,212,299
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 71","Calgary",0,19,21,114,21,0,175,242
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 72","Calgary",0,33,18,120,23,1,195,272
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 73","Calgary",0,22,28,109,32,0,191,322
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 74","Calgary",1,23,25,128,34,1,212,401
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 75","Calgary",1,30,24,126,37,0,218,429
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 76","Calgary",1,34,22,149,20,2,228,382
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 77","Calgary",1,30,18,115,32,0,196,353
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 78","Calgary",1,22,49,166,51,3,292,569
