Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelly Glover,Patrice Miniely,Marc Payette,Raymond Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface/Saint-Boniface"," 22","Winnipeg",124,33,11,72,2,242,463
46009,"Saint Boniface/Saint-Boniface"," 23","Winnipeg",74,30,3,38,0,145,309
46009,"Saint Boniface/Saint-Boniface"," 24","Winnipeg",115,43,7,52,1,218,441
46009,"Saint Boniface/Saint-Boniface"," 25","Winnipeg",54,29,2,31,0,116,293
46009,"Saint Boniface/Saint-Boniface"," 26","Winnipeg",72,32,4,19,0,127,268
46009,"Saint Boniface/Saint-Boniface"," 27","Winnipeg",91,27,3,41,0,162,291
46009,"Saint Boniface/Saint-Boniface"," 28","Winnipeg",117,22,4,35,2,180,321
46009,"Saint Boniface/Saint-Boniface"," 29","Winnipeg",87,38,9,42,2,178,308
46009,"Saint Boniface/Saint-Boniface"," 30","Winnipeg",106,21,9,47,2,185,275
46009,"Saint Boniface/Saint-Boniface"," 31","Winnipeg",101,29,3,55,1,189,365
46009,"Saint Boniface/Saint-Boniface"," 32","Winnipeg",118,36,1,60,0,215,377
46009,"Saint Boniface/Saint-Boniface"," 33","Winnipeg",80,22,4,31,0,137,255
46009,"Saint Boniface/Saint-Boniface"," 34","Winnipeg",81,42,2,16,1,142,333
46009,"Saint Boniface/Saint-Boniface"," 35","Winnipeg",102,40,6,47,0,195,400
46009,"Saint Boniface/Saint-Boniface"," 36","Winnipeg",107,34,6,52,1,200,350
46009,"Saint Boniface/Saint-Boniface"," 37","Winnipeg",115,24,8,57,1,205,349
46009,"Saint Boniface/Saint-Boniface"," 38","Winnipeg",106,34,2,57,2,201,270
46009,"Saint Boniface/Saint-Boniface"," 39","Winnipeg",77,20,4,42,1,144,270
46009,"Saint Boniface/Saint-Boniface"," 40","Winnipeg",80,31,1,59,3,174,310
46009,"Saint Boniface/Saint-Boniface"," 41","Winnipeg",99,17,3,43,3,165,325
46009,"Saint Boniface/Saint-Boniface"," 42","Winnipeg",110,28,6,69,0,213,348
46009,"Saint Boniface/Saint-Boniface"," 43","Winnipeg",102,23,7,51,1,184,354
46009,"Saint Boniface/Saint-Boniface"," 44","Winnipeg",107,25,14,52,1,199,316
46009,"Saint Boniface/Saint-Boniface"," 45","Winnipeg",88,28,8,46,0,170,267
46009,"Saint Boniface/Saint-Boniface"," 46","Winnipeg",79,29,2,49,0,159,290
46009,"Saint Boniface/Saint-Boniface"," 47","Winnipeg",104,22,5,55,0,186,350
46009,"Saint Boniface/Saint-Boniface"," 48","Winnipeg",47,35,5,41,0,128,276
46009,"Saint Boniface/Saint-Boniface"," 49","Winnipeg",47,27,4,71,0,149,311
46009,"Saint Boniface/Saint-Boniface"," 50","Winnipeg",55,20,1,48,0,124,321
46009,"Saint Boniface/Saint-Boniface"," 51","Winnipeg",40,36,7,43,1,127,293
46009,"Saint Boniface/Saint-Boniface"," 52","Winnipeg",60,27,7,53,0,147,364
46009,"Saint Boniface/Saint-Boniface"," 53","Winnipeg",77,44,15,49,3,188,341
46009,"Saint Boniface/Saint-Boniface"," 54","Winnipeg",91,39,10,35,1,176,300
46009,"Saint Boniface/Saint-Boniface"," 55","Winnipeg",72,20,8,68,0,168,313
46009,"Saint Boniface/Saint-Boniface"," 56","Winnipeg",60,29,5,67,0,161,287
46009,"Saint Boniface/Saint-Boniface"," 57","Winnipeg",69,38,9,94,1,211,340
46009,"Saint Boniface/Saint-Boniface"," 58","Winnipeg",73,41,12,82,0,208,350
46009,"Saint Boniface/Saint-Boniface"," 59","Winnipeg",68,40,19,124,1,252,369
46009,"Saint Boniface/Saint-Boniface"," 60","Winnipeg",117,37,15,138,0,307,412
46009,"Saint Boniface/Saint-Boniface"," 61","Winnipeg",83,37,14,97,0,231,328
46009,"Saint Boniface/Saint-Boniface"," 62","Winnipeg",96,30,16,131,0,273,380
46009,"Saint Boniface/Saint-Boniface"," 63","Winnipeg",63,31,7,101,0,202,314
