Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Victor Edward Elkins,Deborah Meredith,Joyce Murray,Laura-Leah Shaw,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Vancouver Quadra/Vancouver Quadra"," 1","University Endowment Lands",8,41,39,5,0,93,304
59033,"Vancouver Quadra/Vancouver Quadra"," 1-1A","University Endowment Lands",14,49,32,8,0,103,261
59033,"Vancouver Quadra/Vancouver Quadra"," 1-1B","University Endowment Lands",17,43,26,7,0,93,214
59033,"Vancouver Quadra/Vancouver Quadra"," 1-2","University Endowment Lands",Merged with No. 2/Fusionné avec le nº 2,,,,,,167
59033,"Vancouver Quadra/Vancouver Quadra"," 1-3","University Endowment Lands",44,17,63,7,1,132,290
59033,"Vancouver Quadra/Vancouver Quadra"," 2","University Endowment Lands",15,26,53,10,1,105,312
59033,"Vancouver Quadra/Vancouver Quadra"," 3","University Endowment Lands",11,85,75,4,0,175,398
59033,"Vancouver Quadra/Vancouver Quadra"," 4","University Endowment Lands",16,71,88,6,0,181,339
59033,"Vancouver Quadra/Vancouver Quadra"," 5","University Endowment Lands",15,25,46,10,0,96,328
59033,"Vancouver Quadra/Vancouver Quadra"," 6","University Endowment Lands",24,21,36,6,0,87,256
59033,"Vancouver Quadra/Vancouver Quadra"," 6-1","University Endowment Lands",22,40,49,5,0,116,347
59033,"Vancouver Quadra/Vancouver Quadra"," 7","University Endowment Lands",21,18,37,11,0,87,314
59033,"Vancouver Quadra/Vancouver Quadra"," 8","University Endowment Lands",48,22,67,7,1,145,368
59033,"Vancouver Quadra/Vancouver Quadra"," 9","University Endowment Lands",48,29,44,6,0,127,347
59033,"Vancouver Quadra/Vancouver Quadra"," 10","University Endowment Lands",20,53,58,1,0,132,315
59033,"Vancouver Quadra/Vancouver Quadra"," 11","University Endowment Lands",11,51,54,6,0,122,408
59033,"Vancouver Quadra/Vancouver Quadra"," 12","University Endowment Lands",18,87,80,8,0,193,421
59033,"Vancouver Quadra/Vancouver Quadra"," 13A","University Endowment Lands",19,50,38,3,0,110,279
59033,"Vancouver Quadra/Vancouver Quadra"," 13B","University Endowment Lands",12,40,44,5,0,101,242
59033,"Vancouver Quadra/Vancouver Quadra"," 13-1A","University Endowment Lands",37,36,57,13,0,143,280
59033,"Vancouver Quadra/Vancouver Quadra"," 13-1B","University Endowment Lands",28,32,52,6,1,119,238
59033,"Vancouver Quadra/Vancouver Quadra"," 13-2","University Endowment Lands",7,2,6,2,0,17,157
59033,"Vancouver Quadra/Vancouver Quadra"," 13-3A","University Endowment Lands",22,38,46,2,0,108,218
59033,"Vancouver Quadra/Vancouver Quadra"," 13-3B","University Endowment Lands",13,46,62,7,0,128,246
59033,"Vancouver Quadra/Vancouver Quadra"," 14","Vancouver",11,109,88,7,0,215,446
59033,"Vancouver Quadra/Vancouver Quadra"," 15","Vancouver",13,60,61,14,1,149,310
59033,"Vancouver Quadra/Vancouver Quadra"," 16","Vancouver",10,87,85,16,1,199,353
59033,"Vancouver Quadra/Vancouver Quadra"," 17","Vancouver",34,82,116,6,0,238,420
59033,"Vancouver Quadra/Vancouver Quadra"," 18","Vancouver",38,52,61,5,1,157,367
59033,"Vancouver Quadra/Vancouver Quadra"," 19","Vancouver",35,54,117,13,0,219,454
59033,"Vancouver Quadra/Vancouver Quadra"," 20","Vancouver",34,76,103,10,0,223,397
59033,"Vancouver Quadra/Vancouver Quadra"," 21","Vancouver",44,48,54,6,0,152,384
59033,"Vancouver Quadra/Vancouver Quadra"," 22","Vancouver",27,35,58,12,2,134,383
59033,"Vancouver Quadra/Vancouver Quadra"," 23","Vancouver",44,74,102,14,1,235,366
59033,"Vancouver Quadra/Vancouver Quadra"," 24","Vancouver",31,75,112,7,1,226,395
59033,"Vancouver Quadra/Vancouver Quadra"," 25","Vancouver",35,68,107,11,0,221,408
59033,"Vancouver Quadra/Vancouver Quadra"," 26","Vancouver",37,56,98,10,0,201,362
59033,"Vancouver Quadra/Vancouver Quadra"," 27","Vancouver",32,67,95,15,0,209,353
59033,"Vancouver Quadra/Vancouver Quadra"," 28","Vancouver",32,62,94,18,0,206,375
59033,"Vancouver Quadra/Vancouver Quadra"," 29","Vancouver",30,75,133,16,1,255,443
59033,"Vancouver Quadra/Vancouver Quadra"," 30","Vancouver",28,78,119,5,0,230,395
59033,"Vancouver Quadra/Vancouver Quadra"," 31","Vancouver",20,97,114,9,0,240,444
59033,"Vancouver Quadra/Vancouver Quadra"," 32","Vancouver",27,63,95,5,1,191,324
59033,"Vancouver Quadra/Vancouver Quadra"," 33","Vancouver",15,74,117,7,0,213,336
59033,"Vancouver Quadra/Vancouver Quadra"," 34","Vancouver",23,47,79,6,0,155,370
59033,"Vancouver Quadra/Vancouver Quadra"," 35","Vancouver",16,54,61,16,0,147,282
59033,"Vancouver Quadra/Vancouver Quadra"," 36","Vancouver",35,72,107,10,0,224,388
59033,"Vancouver Quadra/Vancouver Quadra"," 37","Vancouver",52,49,82,14,0,197,372
59033,"Vancouver Quadra/Vancouver Quadra"," 38","Vancouver",83,69,71,16,1,240,380
59033,"Vancouver Quadra/Vancouver Quadra"," 39","Vancouver",32,49,84,12,0,177,361
59033,"Vancouver Quadra/Vancouver Quadra"," 40","Vancouver",44,57,96,16,1,214,359
59033,"Vancouver Quadra/Vancouver Quadra"," 41","Vancouver",35,62,96,12,0,205,403
59033,"Vancouver Quadra/Vancouver Quadra"," 42","Vancouver",45,52,120,29,0,246,444
59033,"Vancouver Quadra/Vancouver Quadra"," 43","Vancouver",45,56,121,18,2,242,454
59033,"Vancouver Quadra/Vancouver Quadra"," 44","Vancouver",57,50,110,18,1,236,467
59033,"Vancouver Quadra/Vancouver Quadra"," 45","Vancouver",33,45,112,19,0,209,434
59033,"Vancouver Quadra/Vancouver Quadra"," 46","Vancouver",61,42,81,18,1,203,383
59033,"Vancouver Quadra/Vancouver Quadra"," 47","Vancouver",49,46,105,6,0,206,392
59033,"Vancouver Quadra/Vancouver Quadra"," 48","Vancouver",42,47,102,13,0,204,344
59033,"Vancouver Quadra/Vancouver Quadra"," 49","Vancouver",37,49,131,13,1,231,352
59033,"Vancouver Quadra/Vancouver Quadra"," 50","Vancouver",43,37,106,15,1,202,337
59033,"Vancouver Quadra/Vancouver Quadra"," 51","Vancouver",46,53,95,22,0,216,379
59033,"Vancouver Quadra/Vancouver Quadra"," 52","Vancouver",38,37,82,17,0,174,310
59033,"Vancouver Quadra/Vancouver Quadra"," 53","Vancouver",31,34,89,20,0,174,300
59033,"Vancouver Quadra/Vancouver Quadra"," 54","Vancouver",49,67,98,24,1,239,397
59033,"Vancouver Quadra/Vancouver Quadra"," 55","Vancouver",55,30,120,28,1,234,409
59033,"Vancouver Quadra/Vancouver Quadra"," 56","Vancouver",35,34,97,20,1,187,349
59033,"Vancouver Quadra/Vancouver Quadra"," 57A","Vancouver",34,25,69,15,0,143,306
59033,"Vancouver Quadra/Vancouver Quadra"," 57B","Vancouver",28,24,61,20,0,133,262
59033,"Vancouver Quadra/Vancouver Quadra"," 58","Vancouver",36,61,58,15,0,170,314
59033,"Vancouver Quadra/Vancouver Quadra"," 59","Vancouver",38,60,120,22,0,240,423
59033,"Vancouver Quadra/Vancouver Quadra"," 60","Vancouver",32,87,89,14,2,224,424
59033,"Vancouver Quadra/Vancouver Quadra"," 61","Vancouver",37,45,85,19,1,187,373
59033,"Vancouver Quadra/Vancouver Quadra"," 62","Vancouver",40,40,71,23,4,178,401
59033,"Vancouver Quadra/Vancouver Quadra"," 63","Vancouver",39,23,72,17,1,152,353
59033,"Vancouver Quadra/Vancouver Quadra"," 64","Vancouver",54,69,126,16,0,265,487
59033,"Vancouver Quadra/Vancouver Quadra"," 65","Vancouver",45,41,113,17,1,217,413
59033,"Vancouver Quadra/Vancouver Quadra"," 66","Vancouver",49,50,88,22,0,209,382
59033,"Vancouver Quadra/Vancouver Quadra"," 67","Vancouver",44,45,78,13,0,180,341
59033,"Vancouver Quadra/Vancouver Quadra"," 68","Vancouver",47,65,71,21,1,205,358
59033,"Vancouver Quadra/Vancouver Quadra"," 69","Vancouver",62,52,101,22,0,237,454
59033,"Vancouver Quadra/Vancouver Quadra"," 70","Vancouver",46,47,76,20,1,190,378
59033,"Vancouver Quadra/Vancouver Quadra"," 71","Vancouver",66,26,81,20,1,194,371
59033,"Vancouver Quadra/Vancouver Quadra"," 72","Vancouver",48,36,94,16,0,194,391
59033,"Vancouver Quadra/Vancouver Quadra"," 73","Vancouver",64,46,91,21,0,222,443
59033,"Vancouver Quadra/Vancouver Quadra"," 74","Vancouver",58,31,82,28,1,200,345
59033,"Vancouver Quadra/Vancouver Quadra"," 75","Vancouver",47,40,94,13,1,195,369
59033,"Vancouver Quadra/Vancouver Quadra"," 76","Vancouver",39,49,108,21,0,217,415
59033,"Vancouver Quadra/Vancouver Quadra"," 77","Vancouver",46,37,59,12,0,154,274
59033,"Vancouver Quadra/Vancouver Quadra"," 78","Vancouver",62,33,88,16,1,200,416
59033,"Vancouver Quadra/Vancouver Quadra"," 79","Vancouver",52,41,111,29,1,234,413
59033,"Vancouver Quadra/Vancouver Quadra"," 80","Vancouver",55,51,97,33,1,237,404
