Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Richard Barrett,Farah Kalbouneh,Paul Simas,Paul Szabo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Mississauga South/Mississauga-Sud"," 1","Mississauga",114,1,25,6,80,1,227,343
35050,"Mississauga South/Mississauga-Sud"," 2","Mississauga",101,1,27,5,76,1,211,337
35050,"Mississauga South/Mississauga-Sud"," 3","Mississauga",94,0,21,3,71,0,189,371
35050,"Mississauga South/Mississauga-Sud"," 4","Mississauga",65,1,21,5,57,2,151,255
35050,"Mississauga South/Mississauga-Sud"," 5","Mississauga",68,1,14,3,52,0,138,257
35050,"Mississauga South/Mississauga-Sud"," 6","Mississauga",122,1,24,17,90,1,255,473
35050,"Mississauga South/Mississauga-Sud"," 7","Mississauga",113,2,33,9,107,3,267,474
35050,"Mississauga South/Mississauga-Sud"," 8","Mississauga",108,0,32,18,86,2,246,441
35050,"Mississauga South/Mississauga-Sud"," 9","Mississauga",117,0,32,19,93,1,262,402
35050,"Mississauga South/Mississauga-Sud"," 10","Mississauga",108,1,14,4,58,1,186,308
35050,"Mississauga South/Mississauga-Sud"," 11","Mississauga",108,1,18,4,47,1,179,309
35050,"Mississauga South/Mississauga-Sud"," 12","Mississauga",88,1,12,5,64,0,170,283
35050,"Mississauga South/Mississauga-Sud"," 13","Mississauga",135,3,34,15,96,0,283,461
35050,"Mississauga South/Mississauga-Sud"," 14","Mississauga",92,1,30,12,71,0,206,386
35050,"Mississauga South/Mississauga-Sud"," 15","Mississauga",Merged with No. 16/Fusionné avec le nº 16,,,,,,,49
35050,"Mississauga South/Mississauga-Sud"," 16","Mississauga",73,1,24,4,54,1,157,292
35050,"Mississauga South/Mississauga-Sud"," 17","Mississauga",111,0,36,3,65,1,216,450
35050,"Mississauga South/Mississauga-Sud"," 18","Mississauga",93,1,34,5,73,0,206,411
35050,"Mississauga South/Mississauga-Sud"," 19","Mississauga",87,1,23,7,54,4,176,364
35050,"Mississauga South/Mississauga-Sud"," 20","Mississauga",109,2,37,7,51,0,206,487
35050,"Mississauga South/Mississauga-Sud"," 21A","Mississauga",32,0,28,2,23,1,86,221
35050,"Mississauga South/Mississauga-Sud"," 21B","Mississauga",47,0,24,3,16,1,91,294
35050,"Mississauga South/Mississauga-Sud"," 22","Mississauga",21,0,11,1,12,0,45,140
35050,"Mississauga South/Mississauga-Sud"," 23","Mississauga",61,0,28,4,38,4,135,316
35050,"Mississauga South/Mississauga-Sud"," 24","Mississauga",124,1,31,6,74,1,237,399
35050,"Mississauga South/Mississauga-Sud"," 25","Mississauga",130,0,32,6,78,2,248,382
35050,"Mississauga South/Mississauga-Sud"," 26","Mississauga",114,0,56,8,103,1,282,470
35050,"Mississauga South/Mississauga-Sud"," 27","Mississauga",129,3,40,8,65,0,245,456
35050,"Mississauga South/Mississauga-Sud"," 28","Mississauga",111,4,33,14,62,0,224,431
35050,"Mississauga South/Mississauga-Sud"," 29","Mississauga",17,0,15,0,5,0,37,137
35050,"Mississauga South/Mississauga-Sud"," 30","Mississauga",92,0,42,7,76,0,217,401
35050,"Mississauga South/Mississauga-Sud"," 31","Mississauga",77,1,34,3,67,2,184,394
35050,"Mississauga South/Mississauga-Sud"," 32","Mississauga",102,1,45,13,88,2,251,489
35050,"Mississauga South/Mississauga-Sud"," 33","Mississauga",98,2,39,9,62,0,210,453
35050,"Mississauga South/Mississauga-Sud"," 34","Mississauga",138,0,35,5,53,1,232,477
35050,"Mississauga South/Mississauga-Sud"," 35","Mississauga",72,1,18,6,73,0,170,383
35050,"Mississauga South/Mississauga-Sud"," 36","Mississauga",108,2,33,6,62,2,213,367
35050,"Mississauga South/Mississauga-Sud"," 37","Mississauga",109,2,24,9,62,1,207,389
35050,"Mississauga South/Mississauga-Sud"," 38","Mississauga",104,1,41,5,86,0,237,491
35050,"Mississauga South/Mississauga-Sud"," 39A","Mississauga",104,3,34,6,60,2,209,444
35050,"Mississauga South/Mississauga-Sud"," 39B","Mississauga",104,1,31,5,66,1,208,487
35050,"Mississauga South/Mississauga-Sud"," 40","Mississauga",99,0,34,5,45,1,184,374
35050,"Mississauga South/Mississauga-Sud"," 41","Mississauga",74,0,43,8,45,0,170,394
35050,"Mississauga South/Mississauga-Sud"," 42","Mississauga",66,0,31,5,33,1,136,320
35050,"Mississauga South/Mississauga-Sud"," 43","Mississauga",81,0,32,7,74,0,194,525
35050,"Mississauga South/Mississauga-Sud"," 44","Mississauga",72,0,35,11,51,1,170,415
35050,"Mississauga South/Mississauga-Sud"," 45","Mississauga",65,0,32,5,38,4,144,484
35050,"Mississauga South/Mississauga-Sud"," 46","Mississauga",59,2,37,6,26,0,130,356
35050,"Mississauga South/Mississauga-Sud"," 47","Mississauga",73,0,25,4,30,0,132,354
35050,"Mississauga South/Mississauga-Sud"," 48","Mississauga",48,0,23,7,30,0,108,314
35050,"Mississauga South/Mississauga-Sud"," 49","Mississauga",74,2,42,14,67,0,199,479
35050,"Mississauga South/Mississauga-Sud"," 50","Mississauga",48,1,23,2,53,0,127,312
35050,"Mississauga South/Mississauga-Sud"," 51","Mississauga",67,0,25,9,78,2,181,303
