Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Cormier,Claude Gravelle,Christine Guillot-Proulx,Lynne Reynolds,Steve Rutchinski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Nickel Belt/Nickel Belt"," 1","Foleyet",10,39,4,32,0,0,85,211
35056,"Nickel Belt/Nickel Belt"," 2","The Cache",Merged with No. 1/Fusionné avec le nº 1,,,,,,,54
35056,"Nickel Belt/Nickel Belt"," 3","Mattagami 71",1,49,0,5,0,0,55,86
35056,"Nickel Belt/Nickel Belt"," 4","Gogama",14,37,3,18,0,0,72,148
35056,"Nickel Belt/Nickel Belt"," 5","Gogama",21,51,3,20,0,0,95,223
35056,"Nickel Belt/Nickel Belt"," 5-1","Shining Tree",0,4,0,8,0,0,12,21
35056,"Nickel Belt/Nickel Belt"," 6","Ramsey",1,9,1,6,1,0,18,25
35056,"Nickel Belt/Nickel Belt"," 6-1","Westree",1,37,1,16,0,0,55,76
35056,"Nickel Belt/Nickel Belt"," 7","Cartier",22,98,13,57,0,0,190,308
35056,"Nickel Belt/Nickel Belt"," 8","Onaping Falls",6,81,1,28,0,0,116,249
35056,"Nickel Belt/Nickel Belt"," 9","Onaping Falls",11,133,8,50,1,0,203,362
35056,"Nickel Belt/Nickel Belt"," 10","Onaping Falls",7,97,1,22,0,2,129,263
35056,"Nickel Belt/Nickel Belt"," 11","Onaping Falls",3,65,0,41,0,0,109,215
35056,"Nickel Belt/Nickel Belt"," 12","Onaping Falls",7,98,3,66,0,0,174,323
35056,"Nickel Belt/Nickel Belt"," 13","Onaping Falls",9,109,9,52,0,0,179,298
35056,"Nickel Belt/Nickel Belt"," 14","Onaping Falls",12,82,5,47,1,0,147,290
35056,"Nickel Belt/Nickel Belt"," 15","Onaping Falls",7,105,9,50,0,0,171,321
