Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Elgersma,Anne Faulkner,Diane Finley,Ian Nichols,Bob Speller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 1","Delhi",8,4,145,28,38,2,225,361
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 2","Delhi",1,14,135,40,42,4,236,409
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 3","Delhi",0,13,113,48,83,4,261,401
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 4","Delhi",1,11,97,24,77,1,211,525
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 5","Delhi",1,8,69,22,51,2,153,454
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 6","Delhi",1,12,97,40,63,0,213,465
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 7","Delhi",0,4,82,44,61,1,192,373
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 8","Delhi",1,8,66,23,41,0,139,371
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 9","Delhi",1,8,89,27,50,1,176,364
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 10","Delhi",5,8,96,49,75,2,235,500
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 11","Delhi",0,7,57,33,31,1,129,330
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 12","Delhi",0,3,106,31,34,1,175,406
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 13","Delhi",1,2,77,40,71,0,191,340
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 14","Delhi",1,8,69,52,33,0,163,358
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 15","Delhi",2,9,75,52,34,0,172,358
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 16","Delhi",0,10,76,44,27,3,160,410
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 17","Delhi",3,4,101,63,48,2,221,454
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 18","Delhi",0,12,65,38,31,3,149,368
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 19","Delhi",0,12,112,53,56,1,234,477
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 20","Norfolk",0,9,110,27,55,1,202,343
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 21","Norfolk",3,1,114,46,36,1,201,372
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 22","Norfolk",4,13,136,43,27,3,226,429
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 23","Norfolk",2,13,181,39,38,2,275,464
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 24","Norfolk",4,5,138,41,29,0,217,356
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 25","Norfolk",0,5,99,27,28,1,160,302
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 26","Norfolk",2,8,112,37,26,1,186,394
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 27","Norfolk",1,7,88,26,20,2,144,299
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 28","Norfolk",1,9,72,23,9,1,115,281
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 29","Norfolk",3,2,86,20,34,1,146,329
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 30","Norfolk",0,4,93,23,30,2,152,308
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 31","Norfolk",2,6,134,41,58,0,241,433
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 32","Norfolk",0,7,103,28,29,0,167,346
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 33","Norfolk",0,5,103,22,22,1,153,289
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 34","Norfolk",0,6,109,24,18,1,158,302
35028,"Haldimand--Norfolk/Haldimand--Norfolk"," 35","Norfolk",0,3,58,15,17,2,95,298
