Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Ackad,Francis Scarpaleggia,Larry Smith,Éric Taillefer,Bruno Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 1","Pierrefonds",68,19,36,14,6,2,145,274
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 1-1A","Pierrefonds",62,49,35,6,5,0,157,329
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 1-1B","Pierrefonds",41,66,46,7,2,2,164,380
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 2A","Pierrefonds",46,21,26,11,8,0,112,281
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 2B","Pierrefonds",65,62,54,12,2,0,195,341
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 3","Pierrefonds",57,47,34,17,7,6,168,314
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 3-1","Pierrefonds",80,66,63,6,10,0,225,420
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 3-2","Pierrefonds",80,61,53,2,5,0,201,426
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 4","Pierrefonds",96,38,38,9,7,2,190,488
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 5","Pierrefonds",73,44,31,27,9,1,185,358
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 6","Pierrefonds",71,24,30,22,9,2,158,343
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 7","Pierrefonds",62,44,54,11,11,0,182,357
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 7-1","Pierrefonds",56,39,28,7,4,2,136,262
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 8","Pierrefonds",35,18,17,4,1,1,76,207
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 9","Pierrefonds",60,31,52,5,7,1,156,312
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 10","Pierrefonds",72,46,39,6,13,2,178,362
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 11","Pierrefonds",87,42,64,15,15,0,223,443
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 12","Pierrefonds",63,35,33,2,5,1,139,377
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 13","Pierrefonds",68,62,50,7,6,2,195,410
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 14A","Pierrefonds",63,51,51,0,8,1,174,312
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 14B","Pierrefonds",56,34,37,4,3,3,137,229
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 15","Pierrefonds",49,21,43,11,7,1,132,375
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 16","Pierrefonds",86,59,56,11,7,1,220,450
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 16-1","Pierrefonds",71,49,34,11,7,2,174,345
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 17","Pierrefonds",97,95,73,12,12,0,289,548
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 18","Pierrefonds",52,62,70,2,8,1,195,319
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 19","Pierrefonds",92,89,63,9,9,1,263,429
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 19-1","Pierrefonds",65,53,40,1,4,1,164,334
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 20","Pierrefonds",48,56,48,5,6,0,163,325
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 20-1","Pierrefonds",52,71,50,17,9,0,199,341
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 21","Pierrefonds",68,39,52,8,7,2,176,339
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 21-1","Pierrefonds",85,42,31,5,1,0,164,324
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 22","Pierrefonds",91,74,42,9,12,1,229,497
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 23","Sainte-Geneviève",76,40,45,19,9,1,190,474
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 24","Sainte-Geneviève",66,24,31,15,4,0,140,467
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 25","Sainte-Geneviève",61,27,20,23,7,2,140,405
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 26","Sainte-Geneviève",68,45,30,26,7,3,179,528
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 27","Pierrefonds",99,56,40,11,3,0,209,409
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 28","Pierrefonds",87,70,54,11,15,2,239,377
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 29","Pierrefonds",68,27,42,7,8,4,156,320
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 30","Pierrefonds",81,59,48,10,9,3,210,427
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 31","Pierrefonds",89,77,60,13,9,2,250,548
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 32","Pierrefonds",71,56,40,12,7,1,187,555
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 33","Pierrefonds",94,69,54,9,9,0,235,453
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 34","Pierrefonds",51,49,44,10,3,1,158,274
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 35","Pierrefonds",87,85,66,11,9,2,260,425
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 36","Pierrefonds",93,73,68,11,2,2,249,442
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 37","Pierrefonds",104,68,61,11,9,3,256,381
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 38","Pierrefonds",99,67,70,14,7,1,258,426
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 39","Pierrefonds",85,69,65,9,3,0,231,432
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 40","Kirkland",82,93,82,9,13,1,280,517
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 41","Kirkland",68,102,95,9,11,0,285,542
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 42","Kirkland",74,90,83,2,10,1,260,461
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 43","Kirkland",49,95,76,6,9,0,235,506
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 43-1","Kirkland",34,46,41,1,5,1,128,244
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 44","Kirkland",66,79,75,4,8,1,233,382
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 44-1","Kirkland",39,62,75,0,6,0,182,352
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 45","Kirkland",91,96,71,2,1,0,261,534
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 46","Pointe-Claire",93,73,42,3,10,3,224,455
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 47","Pointe-Claire",83,73,84,2,6,2,250,462
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 48","Pointe-Claire",39,58,32,0,1,0,130,308
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 49","Pointe-Claire",Merged with No. 49-1B/Fusionné avec le nº 49-1B,,,,,,,24
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 49-1A","Pointe-Claire",38,80,57,1,10,0,186,357
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 49-1B","Pointe-Claire",56,53,54,2,8,0,173,291
24027,"Lac-Saint-Louis/Lac-Saint-Louis"," 50","Kirkland",49,47,57,0,4,0,157,308
