Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louis Bérubé,Jean-Claude JC D'Amours,Widler Jules,Lynn Morrison,Bernard Valcourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,Madawaska--Restigouche/Madawaska--Restigouche,1,Dalhousie,1,43,41,2,20,0,107,251
13005,Madawaska--Restigouche/Madawaska--Restigouche,2,Dalhousie,4,26,34,4,24,3,95,250
13005,Madawaska--Restigouche/Madawaska--Restigouche,3,Dalhousie,1,47,36,6,62,0,152,332
13005,Madawaska--Restigouche/Madawaska--Restigouche,4,Dalhousie,5,31,49,5,37,2,129,259
13005,Madawaska--Restigouche/Madawaska--Restigouche,5,Dalhousie,1,21,43,4,29,0,98,249
13005,Madawaska--Restigouche/Madawaska--Restigouche,6,Dalhousie,3,33,22,5,26,0,89,184
13005,Madawaska--Restigouche/Madawaska--Restigouche,7,Dalhousie,4,47,47,2,25,3,128,303
13005,Madawaska--Restigouche/Madawaska--Restigouche,8,Dalhousie,1,30,43,2,33,1,110,278
13005,Madawaska--Restigouche/Madawaska--Restigouche,9,Dalhousie,1,27,42,2,40,0,112,233
13005,Madawaska--Restigouche/Madawaska--Restigouche,10,Dalhousie,0,22,21,3,35,1,82,185
13005,Madawaska--Restigouche/Madawaska--Restigouche, 11A,Dalhousie,5,58,47,2,57,1,170,429
13005,Madawaska--Restigouche/Madawaska--Restigouche, 11B,Mobile poll/Bureau itinérant,Merged with No. 500/Fusionné avec le nº 500,,,,,,,24
13005,Madawaska--Restigouche/Madawaska--Restigouche, 11-1,Eel River 3,1,11,40,2,14,2,70,182
13005,Madawaska--Restigouche/Madawaska--Restigouche,12,McLeods,6,65,53,3,53,2,182,290
13005,Madawaska--Restigouche/Madawaska--Restigouche,13,Dalhousie Junction,3,49,70,12,66,3,203,345
13005,Madawaska--Restigouche/Madawaska--Restigouche,14,Point La Nim,1,30,37,8,54,0,130,257
13005,Madawaska--Restigouche/Madawaska--Restigouche,15,Dundee,10,77,79,9,65,7,247,397
13005,Madawaska--Restigouche/Madawaska--Restigouche,16,Dundee,8,76,53,6,31,3,177,267
13005,Madawaska--Restigouche/Madawaska--Restigouche,17,Eel River Crossing,11,55,30,2,22,4,124,263
13005,Madawaska--Restigouche/Madawaska--Restigouche,18,Eel River Crossing,6,74,41,5,46,2,174,285
13005,Madawaska--Restigouche/Madawaska--Restigouche,19,Eel River Crossing,9,72,40,1,45,2,169,304
13005,Madawaska--Restigouche/Madawaska--Restigouche,20,Eel River Crossing,4,43,24,3,24,3,101,188
13005,Madawaska--Restigouche/Madawaska--Restigouche,21,Charlo,2,60,64,2,63,1,192,324
13005,Madawaska--Restigouche/Madawaska--Restigouche,22,Charlo,1,61,38,2,54,1,157,254
13005,Madawaska--Restigouche/Madawaska--Restigouche,23,Charlo,4,55,54,6,60,1,180,302
13005,Madawaska--Restigouche/Madawaska--Restigouche,24,Charlo,3,57,55,5,59,6,185,246
13005,Madawaska--Restigouche/Madawaska--Restigouche, 25A,Campbellton,2,40,76,2,61,1,182,327
13005,Madawaska--Restigouche/Madawaska--Restigouche, 25B,Mobile poll/Bureau itinérant,Merged with No. 501/Fusionné avec le nº 501,,,,,,,12
13005,Madawaska--Restigouche/Madawaska--Restigouche,26,Campbellton,1,44,54,3,52,3,157,282
13005,Madawaska--Restigouche/Madawaska--Restigouche,27,Campbellton,2,40,50,5,59,1,157,287
13005,Madawaska--Restigouche/Madawaska--Restigouche,28,Campbellton,2,43,41,3,55,2,146,330
13005,Madawaska--Restigouche/Madawaska--Restigouche,29,Campbellton,0,51,51,6,52,3,163,327
13005,Madawaska--Restigouche/Madawaska--Restigouche, 30A,Campbellton,1,41,49,1,53,2,147,292
13005,Madawaska--Restigouche/Madawaska--Restigouche, 30B,Mobile poll/Bureau itinérant,Merged with No. 501/Fusionné avec le nº 501,,,,,,,26
13005,Madawaska--Restigouche/Madawaska--Restigouche,31,Campbellton,3,39,44,2,35,0,123,272
13005,Madawaska--Restigouche/Madawaska--Restigouche, 32A,Campbellton,1,31,21,1,19,3,76,218
13005,Madawaska--Restigouche/Madawaska--Restigouche, 32B,Mobile poll/Bureau itinérant,Merged with No. 502/Fusionné avec le nº 502,,,,,,,9
13005,Madawaska--Restigouche/Madawaska--Restigouche, 32C,Mobile poll/Bureau itinérant,Merged with No. 502/Fusionné avec le nº 502,,,,,,,2
13005,Madawaska--Restigouche/Madawaska--Restigouche,33,Campbellton,4,27,22,0,41,3,97,205
13005,Madawaska--Restigouche/Madawaska--Restigouche, 34A,Campbellton,6,51,50,5,53,2,167,330
13005,Madawaska--Restigouche/Madawaska--Restigouche, 34B,Mobile poll/Bureau itinérant,Merged with No. 502/Fusionné avec le nº 502,,,,,,,40
13005,Madawaska--Restigouche/Madawaska--Restigouche,35,Campbellton,1,55,38,4,73,4,175,332
13005,Madawaska--Restigouche/Madawaska--Restigouche,36,Campbellton,5,65,72,8,90,1,241,437
13005,Madawaska--Restigouche/Madawaska--Restigouche,37,Campbellton,4,26,25,6,26,4,91,321
13005,Madawaska--Restigouche/Madawaska--Restigouche,38,Campbellton,2,29,35,1,40,0,107,234
13005,Madawaska--Restigouche/Madawaska--Restigouche,39,Campbellton,1,44,48,6,58,1,158,281
13005,Madawaska--Restigouche/Madawaska--Restigouche,40,Campbellton,1,36,27,6,27,1,98,240
