Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Anders,Janice Kinch,Shawna Knowles,André Vachon,Anna Lisa Wagner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary West/Calgary-Ouest"," 1","Calgary",273,41,24,2,9,0,349,659
48009,"Calgary West/Calgary-Ouest"," 2","Calgary",107,27,19,0,15,2,170,341
48009,"Calgary West/Calgary-Ouest"," 2-1","Calgary",149,31,21,0,24,0,225,392
48009,"Calgary West/Calgary-Ouest"," 3","Calgary",169,49,42,2,19,3,284,502
48009,"Calgary West/Calgary-Ouest"," 4","Calgary",70,16,17,1,7,0,111,242
48009,"Calgary West/Calgary-Ouest"," 5","Calgary",71,9,14,0,12,0,106,204
48009,"Calgary West/Calgary-Ouest"," 6","Calgary",138,23,24,0,14,1,200,424
48009,"Calgary West/Calgary-Ouest"," 7","Calgary",155,30,41,1,15,0,242,516
48009,"Calgary West/Calgary-Ouest"," 8","Calgary",107,34,20,0,13,1,175,295
48009,"Calgary West/Calgary-Ouest"," 9","Calgary",114,20,15,0,25,2,176,317
48009,"Calgary West/Calgary-Ouest"," 10","Calgary",Void/Supprimé,,,,,,,
48009,"Calgary West/Calgary-Ouest"," 11","Calgary",120,31,31,0,17,2,201,402
48009,"Calgary West/Calgary-Ouest"," 12","Calgary",109,30,22,1,24,0,186,332
48009,"Calgary West/Calgary-Ouest"," 13","Calgary",134,20,23,1,9,2,189,393
48009,"Calgary West/Calgary-Ouest"," 14","Calgary",163,30,43,0,20,4,260,481
48009,"Calgary West/Calgary-Ouest"," 15","Calgary",109,25,16,0,14,0,164,325
48009,"Calgary West/Calgary-Ouest"," 16","Calgary",48,6,20,0,7,1,82,206
48009,"Calgary West/Calgary-Ouest"," 17","Calgary",156,18,15,0,13,1,203,374
48009,"Calgary West/Calgary-Ouest"," 18","Calgary",115,35,15,0,22,1,188,315
48009,"Calgary West/Calgary-Ouest"," 19","Calgary",174,37,14,0,26,1,252,463
48009,"Calgary West/Calgary-Ouest"," 20","Calgary",175,29,12,0,18,0,234,429
48009,"Calgary West/Calgary-Ouest"," 21","Calgary",172,17,14,0,14,2,219,390
48009,"Calgary West/Calgary-Ouest"," 22","Calgary",142,31,14,1,24,1,213,358
48009,"Calgary West/Calgary-Ouest"," 23","Calgary",140,33,8,1,19,0,201,356
48009,"Calgary West/Calgary-Ouest"," 24","Calgary",194,30,19,0,13,1,257,462
48009,"Calgary West/Calgary-Ouest"," 25","Calgary",151,15,14,0,14,0,194,386
48009,"Calgary West/Calgary-Ouest"," 26","Calgary",163,35,15,0,15,0,228,472
48009,"Calgary West/Calgary-Ouest"," 27","Calgary",143,26,29,0,23,1,222,392
48009,"Calgary West/Calgary-Ouest"," 28","Calgary",222,41,27,1,17,0,308,539
48009,"Calgary West/Calgary-Ouest"," 29","Calgary",197,36,12,0,16,0,261,472
48009,"Calgary West/Calgary-Ouest"," 30","Calgary",223,55,30,0,29,5,342,543
48009,"Calgary West/Calgary-Ouest"," 31","Calgary",155,41,28,1,11,2,238,423
48009,"Calgary West/Calgary-Ouest"," 32","Calgary",151,41,15,1,22,5,235,421
48009,"Calgary West/Calgary-Ouest"," 33","Calgary",194,56,23,2,35,0,310,533
48009,"Calgary West/Calgary-Ouest"," 34","Calgary",143,79,34,1,25,4,286,509
48009,"Calgary West/Calgary-Ouest"," 35","Calgary",85,33,15,1,12,0,146,285
48009,"Calgary West/Calgary-Ouest"," 36","Calgary",174,43,25,0,29,7,278,501
48009,"Calgary West/Calgary-Ouest"," 37","Calgary",186,62,30,2,31,0,311,542
48009,"Calgary West/Calgary-Ouest"," 38","Calgary",120,32,26,1,23,2,204,346
48009,"Calgary West/Calgary-Ouest"," 39","Calgary",179,33,16,0,22,1,251,454
48009,"Calgary West/Calgary-Ouest"," 40","Calgary",108,29,7,0,8,0,152,257
48009,"Calgary West/Calgary-Ouest"," 41","Calgary",158,40,21,0,34,1,254,487
48009,"Calgary West/Calgary-Ouest"," 42","Calgary",176,46,31,0,26,1,280,522
48009,"Calgary West/Calgary-Ouest"," 43","Calgary",159,43,27,0,14,0,243,406
48009,"Calgary West/Calgary-Ouest"," 44","Calgary",165,49,26,2,21,2,265,449
48009,"Calgary West/Calgary-Ouest"," 45","Calgary",151,26,19,0,26,0,222,353
48009,"Calgary West/Calgary-Ouest"," 46","Calgary",129,47,40,2,34,0,252,456
