Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martha Hall Findlay,Chungsen Leung,Mehdi Mollahasani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Willowdale/Willowdale"," 1","North York",33,20,22,0,75,233
35100,"Willowdale/Willowdale"," 2","North York",100,94,41,0,235,437
35100,"Willowdale/Willowdale"," 3","North York",84,110,34,2,230,464
35100,"Willowdale/Willowdale"," 4","North York",105,89,20,3,217,424
35100,"Willowdale/Willowdale"," 5","North York",74,94,54,2,224,423
35100,"Willowdale/Willowdale"," 6","North York",107,94,29,0,230,479
35100,"Willowdale/Willowdale"," 7","North York",74,90,24,0,188,367
35100,"Willowdale/Willowdale"," 8","North York",94,110,16,0,220,442
35100,"Willowdale/Willowdale"," 9","North York",133,84,25,0,242,440
35100,"Willowdale/Willowdale"," 10","North York",81,117,39,1,238,490
35100,"Willowdale/Willowdale"," 11","North York",97,104,66,1,268,525
35100,"Willowdale/Willowdale"," 12","North York",73,90,41,0,204,545
35100,"Willowdale/Willowdale"," 13","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 14","North York",51,77,47,0,175,427
35100,"Willowdale/Willowdale"," 15","North York",45,38,42,1,126,278
35100,"Willowdale/Willowdale"," 16","North York",96,85,50,0,231,423
35100,"Willowdale/Willowdale"," 17","North York",67,59,38,2,166,329
35100,"Willowdale/Willowdale"," 18","North York",81,84,20,0,185,375
35100,"Willowdale/Willowdale"," 19","North York",72,124,24,0,220,386
35100,"Willowdale/Willowdale"," 20","North York",81,125,25,1,232,367
35100,"Willowdale/Willowdale"," 21","North York",88,88,44,1,221,416
35100,"Willowdale/Willowdale"," 22","North York",71,133,20,0,224,482
35100,"Willowdale/Willowdale"," 23","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 24","North York",58,70,42,0,170,367
35100,"Willowdale/Willowdale"," 25","North York",77,117,50,2,246,477
35100,"Willowdale/Willowdale"," 26","North York",68,95,33,2,198,352
35100,"Willowdale/Willowdale"," 27A","North York",72,104,12,2,190,347
35100,"Willowdale/Willowdale"," 27B","North York",19,3,4,0,26,50
35100,"Willowdale/Willowdale"," 28A","North York",52,88,15,0,155,374
35100,"Willowdale/Willowdale"," 28B","North York",25,13,26,0,64,144
35100,"Willowdale/Willowdale"," 28C","North York",38,30,8,0,76,187
35100,"Willowdale/Willowdale"," 29","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 30","North York",56,66,30,0,152,357
35100,"Willowdale/Willowdale"," 31","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 32","North York",54,91,63,2,210,443
35100,"Willowdale/Willowdale"," 33","North York",99,67,26,3,195,395
35100,"Willowdale/Willowdale"," 34","North York",130,126,48,0,304,586
35100,"Willowdale/Willowdale"," 35","North York",77,69,41,0,187,382
35100,"Willowdale/Willowdale"," 36","North York",67,97,21,0,185,429
35100,"Willowdale/Willowdale"," 37","North York",89,90,32,5,216,465
35100,"Willowdale/Willowdale"," 38","North York",79,77,32,3,191,404
35100,"Willowdale/Willowdale"," 39","North York",57,105,47,1,210,475
35100,"Willowdale/Willowdale"," 40","North York",95,101,32,1,229,415
35100,"Willowdale/Willowdale"," 41","North York",73,117,61,0,251,535
35100,"Willowdale/Willowdale"," 42","North York",98,78,57,1,234,480
35100,"Willowdale/Willowdale"," 43","North York",95,107,48,5,255,478
35100,"Willowdale/Willowdale"," 44","North York",108,114,42,2,266,456
35100,"Willowdale/Willowdale"," 45","North York",91,119,78,2,290,520
35100,"Willowdale/Willowdale"," 46","North York",116,140,35,0,291,513
35100,"Willowdale/Willowdale"," 47","North York",44,55,43,2,144,422
35100,"Willowdale/Willowdale"," 48","North York",73,68,17,0,158,310
35100,"Willowdale/Willowdale"," 49","North York",97,99,35,0,231,456
35100,"Willowdale/Willowdale"," 50","North York",73,66,38,3,180,383
35100,"Willowdale/Willowdale"," 51","North York",96,99,35,2,232,463
35100,"Willowdale/Willowdale"," 52","North York",79,72,36,0,187,447
35100,"Willowdale/Willowdale"," 53","North York",115,78,55,1,249,488
35100,"Willowdale/Willowdale"," 54","North York",70,62,18,1,151,256
35100,"Willowdale/Willowdale"," 55","North York",71,83,47,0,201,365
35100,"Willowdale/Willowdale"," 56","North York",96,87,28,0,211,427
35100,"Willowdale/Willowdale"," 57","North York",82,66,43,2,193,394
35100,"Willowdale/Willowdale"," 58","North York",48,129,15,0,192,328
35100,"Willowdale/Willowdale"," 59","North York",103,110,42,3,258,495
35100,"Willowdale/Willowdale"," 60","North York",133,131,35,0,299,522
35100,"Willowdale/Willowdale"," 61","North York",59,57,21,1,138,277
35100,"Willowdale/Willowdale"," 62","North York",50,48,48,0,146,391
35100,"Willowdale/Willowdale"," 63","North York",75,53,37,0,165,310
35100,"Willowdale/Willowdale"," 64","North York",52,45,39,2,138,335
35100,"Willowdale/Willowdale"," 65","North York",91,62,72,1,226,491
35100,"Willowdale/Willowdale"," 66","North York",68,58,75,2,203,512
35100,"Willowdale/Willowdale"," 67","North York",Void/Supprimé,,,,,
35100,"Willowdale/Willowdale"," 68","North York",90,64,57,0,211,480
35100,"Willowdale/Willowdale"," 69","North York",126,70,29,0,225,407
35100,"Willowdale/Willowdale"," 70","North York",132,100,17,0,249,427
35100,"Willowdale/Willowdale"," 71","North York",99,102,37,0,238,480
35100,"Willowdale/Willowdale"," 72","North York",106,94,22,0,222,418
35100,"Willowdale/Willowdale"," 73","North York",124,112,36,1,273,407
35100,"Willowdale/Willowdale"," 74","North York",102,128,32,2,264,464
35100,"Willowdale/Willowdale"," 75","North York",112,103,35,0,250,442
35100,"Willowdale/Willowdale"," 76","North York",112,110,22,3,247,410
35100,"Willowdale/Willowdale"," 77","North York",89,68,29,1,187,426
35100,"Willowdale/Willowdale"," 78","North York",46,43,47,1,137,376
35100,"Willowdale/Willowdale"," 79","North York",44,49,49,0,142,413
35100,"Willowdale/Willowdale"," 80","North York",104,71,76,0,251,565
35100,"Willowdale/Willowdale"," 81","North York",45,48,29,0,122,388
35100,"Willowdale/Willowdale"," 82","North York",54,67,28,1,150,335
35100,"Willowdale/Willowdale"," 83","North York",58,56,25,2,141,253
35100,"Willowdale/Willowdale"," 84","North York",89,139,35,2,265,612
35100,"Willowdale/Willowdale"," 85","North York",78,84,35,2,199,467
35100,"Willowdale/Willowdale"," 86","North York",91,122,46,1,260,630
35100,"Willowdale/Willowdale"," 87","North York",39,77,38,0,154,372
35100,"Willowdale/Willowdale"," 88","North York",109,99,68,1,277,592
35100,"Willowdale/Willowdale"," 89","North York",66,35,52,0,153,397
35100,"Willowdale/Willowdale"," 90","North York",62,69,31,0,162,351
35100,"Willowdale/Willowdale"," 91","North York",57,102,15,0,174,302
35100,"Willowdale/Willowdale"," 92","North York",61,61,30,0,152,360
35100,"Willowdale/Willowdale"," 93","North York",77,54,26,0,157,363
