Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Mani Fallon,Ravi S. Gill,Samuel Frank Hammond,Jinny Sims,Liz Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Newton--North Delta/Newton--Delta-Nord"," 1","Delta",29,83,2,2,79,10,2,207,355
59016,"Newton--North Delta/Newton--Delta-Nord"," 2","Delta",31,98,1,1,89,13,0,233,386
59016,"Newton--North Delta/Newton--Delta-Nord"," 3","Delta",32,152,0,0,79,10,0,273,425
59016,"Newton--North Delta/Newton--Delta-Nord"," 4","Delta",35,116,0,1,87,7,0,246,420
59016,"Newton--North Delta/Newton--Delta-Nord"," 5","Delta",27,81,0,0,78,13,0,199,355
59016,"Newton--North Delta/Newton--Delta-Nord"," 6","Delta",44,98,1,0,102,13,1,259,435
59016,"Newton--North Delta/Newton--Delta-Nord"," 7","Delta",47,90,1,2,94,5,2,241,403
59016,"Newton--North Delta/Newton--Delta-Nord"," 8","Delta",57,55,2,1,82,13,1,211,451
59016,"Newton--North Delta/Newton--Delta-Nord"," 9","Delta",62,68,1,3,79,6,2,221,399
59016,"Newton--North Delta/Newton--Delta-Nord"," 10","Delta",26,108,0,1,112,9,0,256,469
59016,"Newton--North Delta/Newton--Delta-Nord"," 11","Delta",35,72,0,1,87,11,0,206,392
59016,"Newton--North Delta/Newton--Delta-Nord"," 12","Delta",50,73,0,0,75,11,1,210,421
59016,"Newton--North Delta/Newton--Delta-Nord"," 13","Delta",43,76,0,2,68,2,1,192,360
59016,"Newton--North Delta/Newton--Delta-Nord"," 14A","Delta",22,57,0,1,74,4,1,159,274
59016,"Newton--North Delta/Newton--Delta-Nord"," 14B","Delta",25,42,0,0,71,6,0,144,278
59016,"Newton--North Delta/Newton--Delta-Nord"," 15","Delta",40,47,0,0,61,3,0,151,341
