Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Frank Chilelli,Bal Gosal,Gurbax S. Malhi,John R.A. Moulton,Jagmeet Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 1","Brampton",4,139,54,7,40,2,246,435
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 2","Brampton",2,107,72,9,41,5,236,459
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 3A","Brampton",4,65,87,10,133,4,303,572
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 3B","Brampton",3,55,98,6,134,3,299,636
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 3C","Brampton",1,47,87,4,116,1,256,540
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 4A","Brampton",1,57,67,6,85,2,218,474
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 4B","Brampton",1,59,65,1,94,2,222,487
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5A","Brampton",1,30,32,3,78,0,144,363
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5B","Brampton",2,40,36,0,66,1,145,395
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 6","Brampton",1,33,57,5,42,3,141,322
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7","Brampton",0,31,25,1,66,2,125,313
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 8","Brampton",2,41,63,5,69,1,181,492
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 9","Brampton",0,23,53,6,74,2,158,287
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 10","Brampton",0,42,52,1,105,2,202,525
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11","Brampton",1,58,48,3,137,3,250,638
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12","Brampton",1,38,49,1,96,2,187,475
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 13","Brampton",0,46,54,1,85,0,186,572
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 14","Brampton",1,22,34,5,64,0,126,384
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 15","Brampton",0,46,57,1,134,2,240,489
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 16","Brampton",0,35,23,1,54,0,113,281
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 17","Brampton",1,23,33,2,56,1,116,377
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 18A","Brampton",6,73,63,4,79,1,226,468
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 18B","Brampton",1,54,54,2,97,0,208,534
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 19","Brampton",1,41,48,3,58,2,153,389
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 20","Brampton",1,31,39,1,63,0,135,377
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 21","Brampton",1,29,45,2,52,1,130,314
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 22A","Brampton",0,71,36,3,57,1,168,316
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 22B","Brampton",1,45,20,6,43,0,115,355
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 23","Brampton",0,25,33,2,56,0,116,338
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 24","Brampton",1,59,71,1,109,2,243,609
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 25","Brampton",0,55,56,1,82,1,195,519
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 26A","Brampton",2,147,57,11,64,0,281,485
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 26B","Brampton",0,8,14,0,0,0,22,151
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 27","Brampton",1,70,86,3,109,1,270,640
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 28","Brampton",3,59,59,10,56,0,187,474
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 29","Brampton",0,41,77,7,120,1,246,521
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 30","Brampton",3,48,56,1,106,4,218,542
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 31","Brampton",3,57,55,2,50,0,167,368
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 32","Brampton",0,27,62,2,81,0,172,357
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 33","Brampton",0,80,85,5,121,1,292,642
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 34","Brampton",1,54,53,5,86,2,201,480
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 35A","Brampton",1,36,40,0,76,1,154,366
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 35B","Brampton",2,45,55,4,79,0,185,424
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 36","Brampton",2,111,46,4,32,1,196,485
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 37","Brampton",0,75,38,3,82,2,200,441
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 38","Brampton",4,122,62,4,12,1,205,405
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 39","Brampton",3,98,49,3,48,1,202,415
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 40","Brampton",2,65,45,4,60,0,176,392
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 41","Brampton",3,48,43,8,66,1,169,381
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 42","Brampton",2,75,39,4,45,1,166,340
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 43","Brampton",1,75,42,8,46,1,173,414
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 44","Brampton",4,46,41,3,50,1,145,342
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 45","Brampton",1,79,70,2,68,0,220,529
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 46","Brampton",0,59,45,3,79,0,186,416
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 47","Brampton",1,51,72,3,97,4,228,524
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 48","Brampton",0,59,27,2,43,1,132,373
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 49","Brampton",0,62,50,4,63,0,179,508
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 50A","Brampton",0,38,41,3,49,1,132,335
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 50B","Brampton",2,38,42,1,50,4,137,361
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 51","Brampton",2,66,97,6,90,3,264,595
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 52","Brampton",0,41,46,2,66,0,155,363
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 53","Brampton",1,44,50,5,49,0,149,375
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 54","Brampton",1,64,50,1,80,0,196,445
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 55","Brampton",0,31,34,0,45,1,111,265
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 56","Brampton",2,25,27,1,43,1,99,263
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 57","Brampton",0,27,30,2,48,0,107,316
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 58","Brampton",1,12,17,1,46,0,77,293
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 59","Brampton",1,33,53,6,85,1,179,467
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 60","Brampton",0,42,42,1,69,3,157,392
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 61","Brampton",0,37,36,0,56,2,131,302
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 62","Brampton",0,38,33,3,29,0,103,364
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 63","Brampton",1,66,70,3,94,1,235,462
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 64","Brampton",0,67,64,2,73,2,208,432
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 65","Brampton",0,109,85,8,97,1,300,594
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 66","Brampton",0,71,31,2,45,0,149,307
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 67","Brampton",0,59,51,3,73,1,187,414
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 68","Brampton",1,75,61,1,90,1,229,542
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 69","Brampton",1,65,46,3,66,0,181,526
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 70","Brampton",2,36,72,2,75,26,213,523
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 71","Brampton",1,28,45,2,91,2,169,401
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 72","Brampton",0,40,51,0,101,0,192,455
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 73","Brampton",0,48,69,3,98,1,219,495
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 74","Brampton",1,93,63,8,70,2,237,543
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 75","Brampton",0,58,42,1,71,1,173,326
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 76","Brampton",1,43,38,0,140,3,225,503
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 77","Brampton",0,61,55,2,92,1,211,516
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 78","Brampton",2,40,75,3,77,0,197,571
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 79A","Brampton",0,33,56,6,54,2,151,357
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 79B","Brampton",1,22,50,0,49,0,122,313
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 80","Brampton",0,36,32,1,36,1,106,306
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 81","Brampton",1,38,56,8,116,2,221,450
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 82","Brampton",0,34,49,2,75,2,162,329
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 83","Brampton",0,34,67,5,81,0,187,489
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 84","Brampton",0,27,46,3,60,1,137,336
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 85","Brampton",3,15,25,2,36,0,81,287
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 86","Brampton",1,55,59,6,87,1,209,494
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 87","Brampton",5,51,58,6,80,0,200,482
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 88","Brampton",4,39,29,5,38,1,116,333
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 89","Brampton",1,47,55,5,76,3,187,457
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 90","Brampton",0,54,64,6,68,2,194,417
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 91","Brampton",1,76,79,11,82,5,254,564
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 92","Brampton",1,53,66,0,73,1,194,581
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 93","Brampton",1,46,70,4,81,0,202,490
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 94","Brampton",0,34,49,2,80,0,165,420
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 95","Brampton",4,47,44,5,69,1,170,461
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 96A","Brampton",0,14,50,2,61,1,128,321
