Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Balack,Marlene Gallyot,Rana Sarkar,George B. Singh,Rathika Sitsabaiesan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 1","Scarborough",4,76,26,3,45,0,154,364
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 2","Scarborough",1,94,56,2,51,2,206,412
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 3","Scarborough",1,87,61,7,59,1,216,484
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 4","Scarborough",0,98,72,2,70,0,242,533
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 5","Scarborough",4,96,73,2,71,0,246,575
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 6","Scarborough",0,86,49,4,61,2,202,432
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 7","Scarborough",0,69,47,2,56,0,174,447
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 8","Scarborough",3,94,67,5,65,0,234,483
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 9","Scarborough",1,87,47,4,55,1,195,474
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 10","Scarborough",1,68,68,4,57,4,202,414
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 11","Scarborough",1,49,61,0,47,0,158,388
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 12","Scarborough",3,85,52,4,68,1,213,501
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 12-1","Scarborough",8,68,31,3,29,1,140,210
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 13","Scarborough",2,80,56,4,55,0,197,413
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 14","Scarborough",2,77,86,3,85,2,255,464
35083,"Scarborough--Rouge River/Scarborough--Rouge River"," 15","Scarborough",3,64,53,2,52,0,174,446
