Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Arsenault,Mike Farlow,Tim Lobzun,Dave MacKenzie,John Markus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Oxford/Oxford"," 63","Woodstock",50,13,20,144,1,3,231,408
35067,"Oxford/Oxford"," 64","Woodstock",48,11,21,146,4,1,231,378
35067,"Oxford/Oxford"," 64-1","Woodstock",Void/Supprimé,,,,,,,
35067,"Oxford/Oxford"," 65","Woodstock",43,10,16,86,1,0,156,269
35067,"Oxford/Oxford"," 66","Woodstock",62,2,19,119,3,5,210,343
35067,"Oxford/Oxford"," 66-1","Woodstock",32,0,7,46,2,0,87,154
35067,"Oxford/Oxford"," 67","Woodstock",70,8,10,56,2,1,147,392
35067,"Oxford/Oxford"," 68","Woodstock",51,5,18,114,1,1,190,335
35067,"Oxford/Oxford"," 69","Woodstock",52,5,16,153,4,0,230,408
35067,"Oxford/Oxford"," 70","Woodstock",52,11,13,59,1,0,136,349
35067,"Oxford/Oxford"," 71","Woodstock",41,6,11,59,3,1,121,249
35067,"Oxford/Oxford"," 71-1","Woodstock",55,6,1,50,0,0,112,280
35067,"Oxford/Oxford"," 72","Woodstock",77,9,19,85,0,0,190,380
35067,"Oxford/Oxford"," 73","Woodstock",38,2,6,51,0,0,97,302
35067,"Oxford/Oxford"," 74","Woodstock",45,9,11,48,0,0,113,307
35067,"Oxford/Oxford"," 75","Woodstock",71,15,21,55,1,3,166,428
35067,"Oxford/Oxford"," 76","Woodstock",60,11,22,66,1,3,163,350
35067,"Oxford/Oxford"," 77","Woodstock",64,13,25,130,1,0,233,421
35067,"Oxford/Oxford"," 78","Woodstock",82,18,31,86,1,0,218,412
35067,"Oxford/Oxford"," 79","Woodstock",57,0,10,92,5,0,164,276
35067,"Oxford/Oxford"," 80","Woodstock",69,6,11,59,1,0,146,392
35067,"Oxford/Oxford"," 81","Woodstock",45,4,10,64,0,4,127,319
35067,"Oxford/Oxford"," 82","Woodstock",63,5,16,104,2,2,192,347
35067,"Oxford/Oxford"," 83","Woodstock",48,10,16,122,4,0,200,366
35067,"Oxford/Oxford"," 84","Woodstock",56,9,17,157,3,0,242,396
35067,"Oxford/Oxford"," 85","Woodstock",62,6,17,100,3,0,188,407
35067,"Oxford/Oxford"," 86","Woodstock",46,7,16,110,3,0,182,351
35067,"Oxford/Oxford"," 87","Woodstock",62,5,21,98,4,3,193,413
35067,"Oxford/Oxford"," 88","Woodstock",43,6,38,114,3,0,204,371
35067,"Oxford/Oxford"," 89","Woodstock",54,2,9,86,1,0,152,365
35067,"Oxford/Oxford"," 90","Woodstock",59,8,10,58,2,0,137,310
35067,"Oxford/Oxford"," 91","Woodstock",50,6,11,66,3,1,137,293
35067,"Oxford/Oxford"," 92","Woodstock",73,5,7,70,1,0,156,320
35067,"Oxford/Oxford"," 93","Woodstock",58,8,17,103,0,0,186,331
35067,"Oxford/Oxford"," 94","Woodstock",59,11,18,93,0,0,181,427
35067,"Oxford/Oxford"," 95","Woodstock",61,5,16,91,2,0,175,375
35067,"Oxford/Oxford"," 95-1","Woodstock",44,7,13,88,1,0,153,278
35067,"Oxford/Oxford"," 95-2","Woodstock",59,10,10,86,1,0,166,292
35067,"Oxford/Oxford"," 95-3","Woodstock",24,4,20,76,1,2,127,237
