Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Myron Jespersen,James Lunney,Zenaida Maartman,Renée Amber Miller,Jesse Schroeder,Frank Wagner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 1","Hot Springs Cove",0,1,2,19,0,0,0,0,22,43
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 1-1","Meares Island",2,1,5,10,4,0,0,0,22,38
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 1-2","Ahousat",0,1,9,68,5,0,0,0,83,278
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 2","Tofino",0,19,45,139,12,2,1,0,218,389
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 2-1","Tofino",0,23,63,105,13,2,0,0,206,351
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 2-2","Tofino",2,30,47,153,15,2,0,0,249,300
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 3","Tofino",2,11,39,106,11,3,0,0,172,373
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 4","Ucluelet",0,20,36,79,3,3,1,0,142,306
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 5","Port Albion",Void/Supprimé,,,,,,,,,
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 6","Ucluelet",1,25,33,68,11,1,0,0,139,274
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 7","Ucluelet",2,25,61,120,10,5,0,0,223,457
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 8","Ucluelet",0,19,62,105,4,0,0,0,190,344
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 8-1","Ucluelet",0,14,45,76,9,0,0,0,144,254
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 9","Sproat Lake",0,8,51,58,3,2,0,0,122,235
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 10","Beaver Creek",1,12,80,76,8,3,0,0,180,382
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 11","Sproat Lake",0,5,53,39,7,0,0,0,104,174
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 12","Sproat Lake",0,17,106,103,5,1,0,0,232,370
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 13","Sproat Lake",0,15,120,68,15,0,0,0,218,353
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 14","Beaver Creek",1,26,96,73,6,2,1,1,206,335
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 15","Sproat Lake",0,10,47,145,9,1,1,0,213,448
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 16","Beaver Creek",0,24,91,86,7,0,0,0,208,340
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 17","Port Alberni",0,23,76,113,4,2,0,1,219,371
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 18","Beaver Creek",0,27,95,100,13,2,0,0,237,390
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 19","Port Alberni",0,19,74,92,9,1,1,2,198,405
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 20","Cherry Creek",2,7,63,108,12,2,0,1,195,369
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 20-1","Cherry Creek",0,4,31,52,4,2,1,1,95,167
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 21","Cherry Creek",2,17,103,136,12,1,0,0,271,461
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 22","Cherry Creek",1,7,91,111,14,0,0,0,224,355
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 23","Cherry Creek",0,9,48,65,3,1,0,0,126,243
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 24","Cherry Creek",0,19,85,99,5,2,0,1,211,369
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 25","Bamfield",0,9,26,75,5,2,0,0,117,231
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 25-1","Kildonan",0,0,7,4,3,0,0,0,14,22
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 26","Port Alberni",0,8,70,76,11,0,0,0,165,328
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 27","Port Alberni",1,11,54,91,10,0,1,0,168,324
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 28","Port Alberni",0,23,70,148,9,2,1,2,255,479
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 29","Port Alberni",0,12,34,63,3,2,0,1,115,237
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 29-1","Port Alberni",0,10,24,65,4,0,0,0,103,227
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 30","Port Alberni",1,18,97,105,15,3,0,0,239,439
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 31","Port Alberni",0,13,64,124,7,2,0,0,210,408
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 32","Port Alberni",1,16,66,89,10,0,0,0,182,271
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 32-1","Port Alberni",1,6,52,51,5,0,0,0,115,199
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 33","Port Alberni",1,9,133,97,10,1,0,0,251,436
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 34","Port Alberni",0,16,43,100,14,0,2,0,175,390
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 35","Port Alberni",1,12,103,98,15,1,0,0,230,388
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 36","Port Alberni",0,16,87,104,4,2,1,1,215,398
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 37","Port Alberni",0,9,35,69,6,0,0,0,119,320
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 38","Port Alberni",1,6,46,68,5,0,0,1,127,260
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 38-1","Port Alberni",0,10,72,77,8,0,0,1,168,300
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 39","Port Alberni",0,12,64,83,3,0,0,0,162,359
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 40","Port Alberni",0,18,48,88,9,1,0,0,164,323
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 41","Port Alberni",0,12,66,107,7,0,1,2,195,414
