Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bakhos,Zaki Ghavitian,Mohamedali Jetha,Karine Joizil,Brent Neil,François Pilon,Polyvios Tsakanikas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Laval--Les Îles/Laval--Les Îles"," 23","Laval",0,19,65,23,6,144,1,1,259,479
24033,"Laval--Les Îles/Laval--Les Îles"," 24","Laval",0,15,44,12,4,109,0,4,188,390
24033,"Laval--Les Îles/Laval--Les Îles"," 25","Laval",2,24,42,19,3,137,0,5,232,380
24033,"Laval--Les Îles/Laval--Les Îles"," 26A","Laval",1,4,20,18,3,55,0,4,105,174
24033,"Laval--Les Îles/Laval--Les Îles"," 26B","Laval",2,26,49,57,2,104,0,5,245,381
24033,"Laval--Les Îles/Laval--Les Îles"," 27","Laval",0,26,55,29,7,190,0,2,309,507
24033,"Laval--Les Îles/Laval--Les Îles"," 28","Laval",1,25,52,37,10,136,1,8,270,516
24033,"Laval--Les Îles/Laval--Les Îles"," 29","Laval",0,16,34,25,0,118,0,0,193,382
24033,"Laval--Les Îles/Laval--Les Îles"," 29-1","Laval",1,16,35,29,0,114,0,0,195,298
24033,"Laval--Les Îles/Laval--Les Îles"," 30","Laval",1,33,52,37,4,139,0,3,269,444
24033,"Laval--Les Îles/Laval--Les Îles"," 31","Laval",1,28,43,23,7,114,1,2,219,440
24033,"Laval--Les Îles/Laval--Les Îles"," 32","Laval",1,24,42,26,3,138,1,2,237,374
24033,"Laval--Les Îles/Laval--Les Îles"," 32-1A","Laval",0,24,17,34,7,106,0,1,189,346
24033,"Laval--Les Îles/Laval--Les Îles"," 32-1B","Laval",1,26,24,31,3,95,0,0,180,309
24033,"Laval--Les Îles/Laval--Les Îles"," 33","Laval",1,28,38,13,6,104,0,0,190,371
24033,"Laval--Les Îles/Laval--Les Îles"," 34","Laval",2,29,39,21,5,144,0,6,246,417
