Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Manuel Couto,Susan Galvao,Gary Goodyear,Jacques Malette,Bryan May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Cambridge/Cambridge"," 1","Cambridge",0,52,155,14,19,0,240,452
35011,"Cambridge/Cambridge"," 2","Cambridge",0,40,163,10,44,1,258,506
35011,"Cambridge/Cambridge"," 3","Cambridge",Void/Supprimé,,,,,,,
35011,"Cambridge/Cambridge"," 4A","Cambridge",0,79,138,5,32,0,254,510
35011,"Cambridge/Cambridge"," 4B","Cambridge",1,74,126,6,33,1,241,428
35011,"Cambridge/Cambridge"," 4C","Cambridge",0,70,125,7,32,1,235,457
35011,"Cambridge/Cambridge"," 4D","Cambridge",1,74,172,5,41,0,293,517
35011,"Cambridge/Cambridge"," 5","Cambridge",1,43,77,4,15,1,141,269
35011,"Cambridge/Cambridge"," 6","Cambridge",0,77,118,8,23,0,226,408
35011,"Cambridge/Cambridge"," 7","Cambridge",0,38,57,3,6,0,104,208
35011,"Cambridge/Cambridge"," 8","Cambridge",0,87,131,9,34,0,261,513
35011,"Cambridge/Cambridge"," 9","Cambridge",0,59,91,2,4,1,157,336
35011,"Cambridge/Cambridge"," 10","Cambridge",0,58,82,4,14,0,158,322
35011,"Cambridge/Cambridge"," 11","Cambridge",0,52,106,12,24,2,196,412
35011,"Cambridge/Cambridge"," 12","Cambridge",0,80,145,7,44,1,277,524
35011,"Cambridge/Cambridge"," 13","Cambridge",0,46,110,5,15,1,177,359
35011,"Cambridge/Cambridge"," 14","Cambridge",0,40,102,9,30,1,182,424
35011,"Cambridge/Cambridge"," 15","Cambridge",2,51,95,12,31,0,191,404
35011,"Cambridge/Cambridge"," 16","Cambridge",0,39,120,3,17,3,182,430
35011,"Cambridge/Cambridge"," 17","Cambridge",1,63,83,8,12,2,169,338
35011,"Cambridge/Cambridge"," 18","Cambridge",0,62,108,10,29,2,211,343
35011,"Cambridge/Cambridge"," 19","Cambridge",0,49,90,12,37,0,188,356
35011,"Cambridge/Cambridge"," 20","Cambridge",0,34,114,8,27,0,183,366
35011,"Cambridge/Cambridge"," 21","Cambridge",1,52,100,12,22,0,187,392
35011,"Cambridge/Cambridge"," 22","Cambridge",1,43,130,3,25,3,205,420
35011,"Cambridge/Cambridge"," 23","Cambridge",1,59,129,7,19,0,215,479
35011,"Cambridge/Cambridge"," 24","Cambridge",1,48,136,8,32,1,226,468
35011,"Cambridge/Cambridge"," 24-1","Cambridge",1,54,137,3,33,2,230,428
35011,"Cambridge/Cambridge"," 24-2","Cambridge",0,23,77,6,16,0,122,300
35011,"Cambridge/Cambridge"," 25","Cambridge",0,59,107,9,45,0,220,438
35011,"Cambridge/Cambridge"," 26","Cambridge",2,57,103,11,20,0,193,340
35011,"Cambridge/Cambridge"," 27","Cambridge",0,78,116,8,35,1,238,416
35011,"Cambridge/Cambridge"," 28","Cambridge",1,36,144,2,47,1,231,394
35011,"Cambridge/Cambridge"," 29","Cambridge",0,31,109,9,22,0,171,323
35011,"Cambridge/Cambridge"," 30","Cambridge",0,67,118,10,39,0,234,436
35011,"Cambridge/Cambridge"," 31","Cambridge",0,68,46,5,11,1,131,309
35011,"Cambridge/Cambridge"," 32","Cambridge",0,18,42,0,14,0,74,266
35011,"Cambridge/Cambridge"," 33","Cambridge",0,45,69,13,14,0,141,342
35011,"Cambridge/Cambridge"," 34","Cambridge",2,73,93,9,19,1,197,390
35011,"Cambridge/Cambridge"," 35","Cambridge",0,67,91,9,14,0,181,363
35011,"Cambridge/Cambridge"," 36","Cambridge",0,31,128,10,31,1,201,362
35011,"Cambridge/Cambridge"," 37","Cambridge",1,92,121,17,23,1,255,539
35011,"Cambridge/Cambridge"," 38","Cambridge",0,45,55,0,5,1,106,241
35011,"Cambridge/Cambridge"," 39","Cambridge",1,35,48,7,7,1,99,269
35011,"Cambridge/Cambridge"," 40","Cambridge",1,49,62,5,20,0,137,299
35011,"Cambridge/Cambridge"," 41","Cambridge",0,31,66,3,20,1,121,280
35011,"Cambridge/Cambridge"," 42","Cambridge",0,41,69,4,15,0,129,289
35011,"Cambridge/Cambridge"," 43","Cambridge",1,12,37,4,17,0,71,204
35011,"Cambridge/Cambridge"," 44","Cambridge",3,70,124,5,20,1,223,396
35011,"Cambridge/Cambridge"," 45","Cambridge",1,72,75,6,30,0,184,339
35011,"Cambridge/Cambridge"," 46","Cambridge",0,92,90,11,30,2,225,485
35011,"Cambridge/Cambridge"," 47","Cambridge",0,54,92,1,21,1,169,339
35011,"Cambridge/Cambridge"," 48","Cambridge",0,68,112,8,24,0,212,461
35011,"Cambridge/Cambridge"," 49","Cambridge",1,75,122,11,24,0,233,440
35011,"Cambridge/Cambridge"," 50","Cambridge",3,67,78,5,14,1,168,355
35011,"Cambridge/Cambridge"," 51","Cambridge",0,76,104,7,18,0,205,372
35011,"Cambridge/Cambridge"," 52","Cambridge",0,59,88,9,16,0,172,397
35011,"Cambridge/Cambridge"," 53","Cambridge",1,56,98,4,29,0,188,371
35011,"Cambridge/Cambridge"," 54","Cambridge",1,51,84,6,21,1,164,402
35011,"Cambridge/Cambridge"," 54-1","Cambridge",2,36,86,7,15,0,146,246
35011,"Cambridge/Cambridge"," 55","Cambridge",1,76,134,14,36,1,262,442
35011,"Cambridge/Cambridge"," 56","Cambridge",1,76,104,7,30,2,220,428
35011,"Cambridge/Cambridge"," 57","Cambridge",1,68,84,12,23,1,189,395
35011,"Cambridge/Cambridge"," 58","Cambridge",2,95,106,7,31,0,241,486
35011,"Cambridge/Cambridge"," 59","Cambridge",0,23,47,3,3,0,76,226
35011,"Cambridge/Cambridge"," 60","Cambridge",0,84,48,4,8,1,145,406
35011,"Cambridge/Cambridge"," 61","Cambridge",0,50,64,6,14,0,134,334
35011,"Cambridge/Cambridge"," 62","Cambridge",1,39,88,2,15,0,145,345
35011,"Cambridge/Cambridge"," 63","Cambridge",1,61,90,9,14,2,177,388
35011,"Cambridge/Cambridge"," 64","Cambridge",0,60,107,9,24,0,200,381
35011,"Cambridge/Cambridge"," 65","Cambridge",0,62,149,5,29,3,248,370
35011,"Cambridge/Cambridge"," 66","Cambridge",1,36,121,4,46,0,208,313
35011,"Cambridge/Cambridge"," 66-1","Cambridge",0,33,30,1,11,0,75,212
35011,"Cambridge/Cambridge"," 67","Cambridge",1,67,100,11,29,2,210,479
35011,"Cambridge/Cambridge"," 68","Cambridge",1,65,84,3,14,1,168,321
35011,"Cambridge/Cambridge"," 69","Cambridge",2,65,97,12,23,0,199,382
35011,"Cambridge/Cambridge"," 70","Cambridge",0,70,105,4,22,0,201,338
35011,"Cambridge/Cambridge"," 71","Cambridge",1,67,84,10,16,1,179,295
35011,"Cambridge/Cambridge"," 72","Cambridge",0,66,99,3,28,1,197,328
35011,"Cambridge/Cambridge"," 73","Cambridge",1,80,119,8,26,0,234,431
35011,"Cambridge/Cambridge"," 74","Cambridge",1,80,113,10,52,1,257,484
35011,"Cambridge/Cambridge"," 75","Cambridge",0,38,88,1,36,0,163,402
35011,"Cambridge/Cambridge"," 76A","Cambridge",0,30,90,1,24,0,145,319
35011,"Cambridge/Cambridge"," 76B","Cambridge",0,38,78,6,29,0,151,307
35011,"Cambridge/Cambridge"," 76-1","Cambridge",0,40,53,2,17,0,112,296
35011,"Cambridge/Cambridge"," 77A","Cambridge",0,44,67,2,30,3,146,317
35011,"Cambridge/Cambridge"," 77B","Cambridge",0,40,86,3,36,1,166,345
35011,"Cambridge/Cambridge"," 77-1","Cambridge",0,21,71,2,21,0,115,290
35011,"Cambridge/Cambridge"," 78","Cambridge",0,67,90,7,27,0,191,428
35011,"Cambridge/Cambridge"," 79","Cambridge",0,37,88,11,7,1,144,293
35011,"Cambridge/Cambridge"," 80","Cambridge",0,53,78,7,25,1,164,310
35011,"Cambridge/Cambridge"," 81","Cambridge",0,43,61,3,8,3,118,254
35011,"Cambridge/Cambridge"," 82","Cambridge",0,50,75,5,27,0,157,326
35011,"Cambridge/Cambridge"," 83","Cambridge",0,18,43,6,7,0,74,237
35011,"Cambridge/Cambridge"," 84","Cambridge",0,58,61,4,17,1,141,358
35011,"Cambridge/Cambridge"," 85","Cambridge",0,47,90,5,28,1,171,449
35011,"Cambridge/Cambridge"," 86","Cambridge",1,55,59,8,16,1,140,338
