Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Davidson,Christopher Desormeaux-Malm,Tim Fugard,Tim van Bodegom,Brian White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Sarnia--Lambton/Sarnia--Lambton"," 1","Sarnia",80,1,43,1,51,0,176,319
35078,"Sarnia--Lambton/Sarnia--Lambton"," 1-1","Sarnia",123,1,46,4,60,1,235,426
35078,"Sarnia--Lambton/Sarnia--Lambton"," 2","Sarnia",128,1,54,7,61,0,251,407
35078,"Sarnia--Lambton/Sarnia--Lambton"," 3","Sarnia",157,0,53,9,66,1,286,456
35078,"Sarnia--Lambton/Sarnia--Lambton"," 4","Sarnia",120,1,58,3,55,1,238,381
35078,"Sarnia--Lambton/Sarnia--Lambton"," 5","Sarnia",141,0,58,0,47,0,246,409
35078,"Sarnia--Lambton/Sarnia--Lambton"," 6","Sarnia",138,2,40,11,70,2,263,425
35078,"Sarnia--Lambton/Sarnia--Lambton"," 7","Sarnia",114,4,32,3,70,2,225,411
35078,"Sarnia--Lambton/Sarnia--Lambton"," 8","Sarnia",117,0,42,12,72,4,247,409
35078,"Sarnia--Lambton/Sarnia--Lambton"," 9","Sarnia",110,2,42,7,66,0,227,355
35078,"Sarnia--Lambton/Sarnia--Lambton"," 10","Sarnia",128,3,32,3,85,0,251,391
35078,"Sarnia--Lambton/Sarnia--Lambton"," 11","Sarnia",111,1,25,11,88,0,236,378
35078,"Sarnia--Lambton/Sarnia--Lambton"," 12","Sarnia",78,0,46,9,76,3,212,353
35078,"Sarnia--Lambton/Sarnia--Lambton"," 13","Sarnia",131,5,33,5,65,1,240,387
35078,"Sarnia--Lambton/Sarnia--Lambton"," 14","Sarnia",101,1,31,1,51,0,185,313
35078,"Sarnia--Lambton/Sarnia--Lambton"," 15","Sarnia",110,1,26,7,96,0,240,385
