Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rona Ambrose,Chris Austin,Catherine Chaulk-Stokes,Joshua Lund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 1","Beach Corner",242,10,30,15,1,298,427
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 2","Beach Corner",316,14,49,13,0,392,612
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 3","Beach Corner",Merged with No. 4B/Fusionné avec le nº 4B,,,,,,134
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 4A","Beach Corner",165,7,31,10,0,213,336
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 4B","Beach Corner",174,10,21,20,1,226,203
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 5","Beach Corner",170,14,30,5,1,220,355
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 6","Beach Corner",147,11,10,5,0,173,265
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 7","Stony Plain",159,11,22,8,1,201,387
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 7-1","Parkland County",99,9,11,3,0,122,185
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 8","Stony Plain",157,7,23,5,1,193,347
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 9","Spruce Grove",103,7,14,7,0,131,212
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 10","Stony Plain",211,9,26,7,2,255,499
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 10-1","Stony Plain",Void/Supprimé,,,,,,
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 11","Stony Plain",48,8,14,3,0,73,151
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 12A","Stony Plain",134,14,18,6,0,172,400
