Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marjolaine Boutin-Sweet,Marianne Breton Fontaine,Audrey Castonguay,Christine Dandenault,Yaneisy Delgado Dihigo,Daniel Paillé,Hugo Samson Veillette,Gilbert Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Hochelaga/Hochelaga"," 1","Montréal",109,0,38,0,5,38,0,64,0,254,497
24021,"Hochelaga/Hochelaga"," 2","Montréal",58,0,24,1,1,45,1,32,3,165,340
24021,"Hochelaga/Hochelaga"," 3","Montréal",95,0,30,0,3,39,0,29,3,199,447
24021,"Hochelaga/Hochelaga"," 4","Montréal",83,0,26,1,1,23,0,24,7,165,314
24021,"Hochelaga/Hochelaga"," 5","Montréal",103,1,25,0,2,50,1,35,4,221,399
24021,"Hochelaga/Hochelaga"," 6","Montréal",151,2,27,2,4,36,0,38,5,265,489
24021,"Hochelaga/Hochelaga"," 7","Montréal",97,1,28,0,6,43,0,55,2,232,453
24021,"Hochelaga/Hochelaga"," 8","Montréal",79,1,51,0,5,27,1,49,2,215,381
24021,"Hochelaga/Hochelaga"," 9","Montréal",97,2,26,0,2,26,3,51,1,208,407
24021,"Hochelaga/Hochelaga"," 10","Montréal",107,1,22,1,2,38,2,39,5,217,393
24021,"Hochelaga/Hochelaga"," 11","Montréal",83,1,37,0,2,37,2,44,0,206,378
24021,"Hochelaga/Hochelaga"," 12","Montréal",81,2,19,1,3,52,0,45,0,203,374
24021,"Hochelaga/Hochelaga"," 13","Montréal",109,2,46,0,5,73,1,64,6,306,390
24021,"Hochelaga/Hochelaga"," 14","Montréal",59,0,24,2,3,16,0,61,4,169,324
24021,"Hochelaga/Hochelaga"," 15","Montréal",47,0,23,0,1,24,0,27,2,124,234
24021,"Hochelaga/Hochelaga"," 16","Montréal",77,0,11,0,3,45,1,20,0,157,362
24021,"Hochelaga/Hochelaga"," 17","Montréal",87,1,16,0,2,37,2,28,5,178,362
24021,"Hochelaga/Hochelaga"," 18","Montréal",113,2,21,0,2,50,1,25,2,216,367
24021,"Hochelaga/Hochelaga"," 19","Montréal",72,2,21,0,1,41,1,30,1,169,322
24021,"Hochelaga/Hochelaga"," 20","Montréal",108,0,32,1,0,48,0,43,4,236,453
24021,"Hochelaga/Hochelaga"," 21","Montréal",100,1,16,0,2,55,1,25,3,203,454
24021,"Hochelaga/Hochelaga"," 22","Montréal",Void/Supprimé,,,,,,,,,,
24021,"Hochelaga/Hochelaga"," 23","Montréal",90,0,9,0,2,31,0,19,0,151,273
24021,"Hochelaga/Hochelaga"," 24","Montréal",111,0,22,0,3,35,0,37,1,209,455
24021,"Hochelaga/Hochelaga"," 25","Montréal",97,0,11,2,1,40,0,33,2,186,411
24021,"Hochelaga/Hochelaga"," 26","Montréal",108,0,20,2,3,58,1,31,5,228,436
24021,"Hochelaga/Hochelaga"," 27","Montréal",87,0,22,0,2,50,1,25,0,187,310
24021,"Hochelaga/Hochelaga"," 28","Montréal",107,1,20,0,2,57,0,24,0,211,374
24021,"Hochelaga/Hochelaga"," 29","Montréal",85,1,18,0,0,46,0,18,1,169,312
24021,"Hochelaga/Hochelaga"," 30","Montréal",98,2,17,1,1,41,3,13,3,179,394
24021,"Hochelaga/Hochelaga"," 31","Montréal",82,0,17,0,0,48,1,24,3,175,342
24021,"Hochelaga/Hochelaga"," 32","Montréal",92,1,30,1,2,63,0,30,4,223,447
24021,"Hochelaga/Hochelaga"," 33","Montréal",90,0,5,0,5,48,2,14,2,166,384
24021,"Hochelaga/Hochelaga"," 34","Montréal",107,0,14,0,4,42,1,16,5,189,358
24021,"Hochelaga/Hochelaga"," 35","Montréal",64,0,7,0,0,49,0,19,1,140,311
24021,"Hochelaga/Hochelaga"," 36","Montréal",79,0,12,1,4,62,1,23,4,186,404
24021,"Hochelaga/Hochelaga"," 37","Montréal",92,1,17,2,4,61,2,23,2,204,485
24021,"Hochelaga/Hochelaga"," 38","Montréal",131,2,21,0,4,91,2,29,3,283,497
24021,"Hochelaga/Hochelaga"," 39","Montréal",114,0,21,1,1,45,0,32,5,219,471
24021,"Hochelaga/Hochelaga"," 40","Montréal",Void/Supprimé,,,,,,,,,,
24021,"Hochelaga/Hochelaga"," 41","Montréal",102,1,17,0,2,65,1,33,3,224,469
24021,"Hochelaga/Hochelaga"," 42","Montréal",116,2,17,0,2,64,0,22,0,223,464
24021,"Hochelaga/Hochelaga"," 43","Montréal",126,1,12,1,3,62,0,29,2,236,441
24021,"Hochelaga/Hochelaga"," 44","Montréal",87,0,12,0,1,65,1,26,4,196,391
24021,"Hochelaga/Hochelaga"," 45","Montréal",77,0,17,1,5,56,1,17,1,175,351
24021,"Hochelaga/Hochelaga"," 46","Montréal",123,0,14,2,5,51,1,18,2,216,448
24021,"Hochelaga/Hochelaga"," 47","Montréal",91,0,15,1,2,66,0,27,2,204,422
24021,"Hochelaga/Hochelaga"," 48","Montréal",91,0,13,0,3,49,2,23,2,183,399
24021,"Hochelaga/Hochelaga"," 49","Montréal",117,2,18,0,3,105,2,31,3,281,435
24021,"Hochelaga/Hochelaga"," 50","Montréal",150,1,17,1,3,89,1,28,0,290,516
24021,"Hochelaga/Hochelaga"," 51","Montréal",97,0,19,0,2,70,2,20,4,214,422
24021,"Hochelaga/Hochelaga"," 52","Montréal",120,0,15,0,4,71,0,22,5,237,370
24021,"Hochelaga/Hochelaga"," 53","Montréal",131,0,5,0,2,72,1,23,6,240,407
