Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cecil Clarke,Mark Eyking,Kathy MacLeod,Chris Milburn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 1","St. Margaret Village",52,66,23,4,0,145,353
12010,"Sydney--Victoria/Sydney--Victoria"," 2","Pleasant Bay",24,48,18,5,0,95,149
12010,"Sydney--Victoria/Sydney--Victoria"," 3","Cape North",97,89,26,7,0,219,428
12010,"Sydney--Victoria/Sydney--Victoria"," 4","White Point",38,35,5,5,1,84,144
12010,"Sydney--Victoria/Sydney--Victoria"," 5","Neils Harbour",84,68,13,6,0,171,255
12010,"Sydney--Victoria/Sydney--Victoria"," 6","Ingonish",106,131,52,8,1,298,490
12010,"Sydney--Victoria/Sydney--Victoria"," 7","Ingonish Beach",73,124,34,12,2,245,358
12010,"Sydney--Victoria/Sydney--Victoria"," 8","Little River",56,84,22,8,2,172,347
12010,"Sydney--Victoria/Sydney--Victoria"," 9","Englishtown",12,76,13,3,0,104,151
12010,"Sydney--Victoria/Sydney--Victoria"," 10","South Haven",51,65,15,4,0,135,205
12010,"Sydney--Victoria/Sydney--Victoria"," 11","Baddeck",72,97,23,10,1,203,425
12010,"Sydney--Victoria/Sydney--Victoria"," 12","Middle River",82,112,27,14,0,235,349
12010,"Sydney--Victoria/Sydney--Victoria"," 13","Wagmatcook 1",15,59,28,0,1,103,306
12010,"Sydney--Victoria/Sydney--Victoria"," 14","Little Narrows",34,66,11,9,2,122,150
12010,"Sydney--Victoria/Sydney--Victoria"," 15","Baddeck",45,53,20,6,0,124,205
12010,"Sydney--Victoria/Sydney--Victoria"," 16","Baddeck",55,66,11,7,0,139,250
12010,"Sydney--Victoria/Sydney--Victoria"," 17","Baddeck",84,68,13,6,1,172,214
12010,"Sydney--Victoria/Sydney--Victoria"," 18","Baddeck",43,66,5,5,0,119,239
12010,"Sydney--Victoria/Sydney--Victoria"," 19","Iona",70,89,13,5,0,177,269
12010,"Sydney--Victoria/Sydney--Victoria"," 20","Point Aconi",58,57,15,7,2,139,267
12010,"Sydney--Victoria/Sydney--Victoria"," 21","Big Bras d'Or",107,136,34,7,0,284,410
12010,"Sydney--Victoria/Sydney--Victoria"," 22","Boularderie",77,83,19,9,2,190,285
12010,"Sydney--Victoria/Sydney--Victoria"," 23","Millville Boularderie",87,120,30,7,5,249,423
12010,"Sydney--Victoria/Sydney--Victoria"," 24","New Dominion",62,59,23,1,1,146,259
12010,"Sydney--Victoria/Sydney--Victoria"," 25","Hillside Boularderie",104,83,35,7,1,230,416
12010,"Sydney--Victoria/Sydney--Victoria"," 26","Alder Point",90,49,38,2,0,179,329
12010,"Sydney--Victoria/Sydney--Victoria"," 27","Little Bras d'Or South Side",106,38,35,2,1,182,358
12010,"Sydney--Victoria/Sydney--Victoria"," 28","Mill Creek",76,62,18,9,2,167,275
12010,"Sydney--Victoria/Sydney--Victoria"," 29","Florence",65,23,25,0,0,113,269
12010,"Sydney--Victoria/Sydney--Victoria"," 30","Florence",47,24,17,2,0,90,234
12010,"Sydney--Victoria/Sydney--Victoria"," 31","Florence",62,60,30,3,1,156,328
12010,"Sydney--Victoria/Sydney--Victoria"," 32","Bras d'Or",81,38,36,1,2,158,250
12010,"Sydney--Victoria/Sydney--Victoria"," 33","Florence",112,79,33,1,1,226,413
12010,"Sydney--Victoria/Sydney--Victoria"," 34","Bras d'Or",88,73,23,0,3,187,321
12010,"Sydney--Victoria/Sydney--Victoria"," 34-1","Cape Breton",90,71,19,4,1,185,286
12010,"Sydney--Victoria/Sydney--Victoria"," 35","Gannon Road",91,44,27,2,1,165,373
12010,"Sydney--Victoria/Sydney--Victoria"," 36","Gannon Road",58,47,29,2,1,137,291
12010,"Sydney--Victoria/Sydney--Victoria"," 37","Georges River",129,57,26,5,3,220,329
12010,"Sydney--Victoria/Sydney--Victoria"," 38","Scotch Lake",65,54,9,0,1,129,212
