Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilles Bisson,Luc Desnoyers,Denis Joannette,Lucie Leblanc,Laurin Liu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 1","Boisbriand",5,46,19,11,86,4,171,359
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 2","Boisbriand",3,55,11,16,96,2,183,335
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3","Boisbriand",6,35,8,6,79,2,136,386
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4","Boisbriand",4,52,26,8,89,4,183,362
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 5","Boisbriand",5,55,11,24,97,3,195,401
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 6","Boisbriand",7,63,18,18,91,6,203,387
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7","Boisbriand",6,73,20,26,106,6,237,410
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7-1","Boisbriand",6,48,7,8,63,3,135,364
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 8","Boisbriand",0,66,23,17,107,3,216,357
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 9","Boisbriand",7,58,14,12,70,5,166,356
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 10","Boisbriand",7,62,20,16,124,6,235,403
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 11","Boisbriand",7,57,27,12,136,5,244,376
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 12","Boisbriand",13,49,30,18,154,5,269,379
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13","Boisbriand",8,60,22,21,134,4,249,392
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13-1","Boisbriand",5,73,20,18,147,4,267,364
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14","Boisbriand",6,71,17,19,109,6,228,383
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 15","Boisbriand",3,67,8,15,153,3,249,378
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16","Boisbriand",5,75,26,11,145,6,268,423
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16-1","Boisbriand",5,32,15,22,120,1,195,332
