Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Waseem Ahmed,Jaymini Bhikha,Pierre Chénier,Peter Fonseca,Wladyslaw Lizon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 1","Mississauga",36,8,0,68,110,1,223,454
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 2","Mississauga",18,6,1,64,110,0,199,328
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 3","Mississauga",40,4,2,92,115,0,253,459
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 4","Mississauga",49,1,0,17,25,0,92,276
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 5","Mississauga",47,4,5,71,79,3,209,540
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 6","Mississauga",12,1,1,35,29,0,78,236
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 7","Mississauga",42,2,0,96,81,1,222,509
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 8","Mississauga",25,6,0,90,106,2,229,433
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 9","Mississauga",48,8,2,56,89,1,204,430
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 10","Mississauga",34,0,1,16,36,1,88,258
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 11","Mississauga",59,0,1,53,37,0,150,415
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 11-1","Mississauga",34,2,2,38,26,0,102,281
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 12","Mississauga",23,0,2,32,23,2,82,227
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 13","Mississauga",44,4,1,63,57,0,169,447
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 14","Mississauga",54,2,2,91,57,0,206,513
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 15","Mississauga",48,4,0,46,35,0,133,357
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 16","Mississauga",38,1,2,31,51,3,126,369
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 17","Mississauga",24,5,0,34,74,0,137,275
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 18","Mississauga",29,4,1,30,87,3,154,324
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 19","Mississauga",27,6,1,93,79,2,208,368
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 20","Mississauga",32,2,1,66,72,3,176,359
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 21","Mississauga",9,5,3,74,74,2,167,279
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 22","Mississauga",40,4,2,111,114,1,272,490
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 23","Mississauga",52,3,5,86,140,3,289,419
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 24","Mississauga",30,2,4,115,107,2,260,459
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 25","Mississauga",Void/Supprimé,,,,,,,
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 26","Mississauga",32,2,1,55,73,0,163,408
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 27","Mississauga",51,3,1,56,72,1,184,384
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 27-1","Mississauga",20,3,2,73,74,5,177,304
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 28","Mississauga",18,1,2,38,40,0,99,306
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 28-1","Mississauga",21,3,1,31,33,4,93,273
