Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gord Brown,Matthew Gabriel,Marjory Loveys,Mary Slade,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35041,"Leeds--Grenville/Leeds--Grenville"," 1","Rideau Lakes",151,52,45,17,0,265,429
35041,"Leeds--Grenville/Leeds--Grenville"," 2","Westport",112,26,50,11,2,201,304
35041,"Leeds--Grenville/Leeds--Grenville"," 3","Westport",116,14,41,4,0,175,267
35041,"Leeds--Grenville/Leeds--Grenville"," 4","Rideau Lakes",75,31,32,9,0,147,243
35041,"Leeds--Grenville/Leeds--Grenville"," 4-1","Rideau Lakes",110,32,36,8,1,187,267
35041,"Leeds--Grenville/Leeds--Grenville"," 5","Rideau Lakes",107,52,33,13,0,205,334
35041,"Leeds--Grenville/Leeds--Grenville"," 6","Rideau Lakes",105,45,32,5,0,187,334
35041,"Leeds--Grenville/Leeds--Grenville"," 7","Rideau Lakes",116,61,38,8,0,223,430
35041,"Leeds--Grenville/Leeds--Grenville"," 8","Rideau Lakes",56,26,19,6,1,108,221
35041,"Leeds--Grenville/Leeds--Grenville"," 9","Rideau Lakes",116,76,48,17,0,257,524
35041,"Leeds--Grenville/Leeds--Grenville"," 10","Rideau Lakes",183,50,46,13,1,293,475
35041,"Leeds--Grenville/Leeds--Grenville"," 11","Rideau Lakes",176,31,29,17,0,253,495
35041,"Leeds--Grenville/Leeds--Grenville"," 12","Rideau Lakes",120,50,27,11,0,208,379
35041,"Leeds--Grenville/Leeds--Grenville"," 13","Rideau Lakes",157,56,30,15,0,258,470
35041,"Leeds--Grenville/Leeds--Grenville"," 14","Rideau Lakes",111,35,18,9,0,173,317
35041,"Leeds--Grenville/Leeds--Grenville"," 15","Rideau Lakes",159,52,33,14,0,258,450
35041,"Leeds--Grenville/Leeds--Grenville"," 16","Rideau Lakes",189,56,30,6,0,281,484
35041,"Leeds--Grenville/Leeds--Grenville"," 17","Rideau Lakes",155,52,26,7,1,241,448
35041,"Leeds--Grenville/Leeds--Grenville"," 18","Rideau Lakes",75,21,16,4,0,116,231
35041,"Leeds--Grenville/Leeds--Grenville"," 19","Rideau Lakes",101,30,40,9,0,180,329
35041,"Leeds--Grenville/Leeds--Grenville"," 20","Rideau Lakes",175,25,17,7,2,226,388
35041,"Leeds--Grenville/Leeds--Grenville"," 21","Rideau Lakes",164,32,21,4,3,224,392
35041,"Leeds--Grenville/Leeds--Grenville"," 22","Rideau Lakes",101,41,12,7,0,161,355
35041,"Leeds--Grenville/Leeds--Grenville"," 23","Leeds and the Thousand Islands",129,59,51,16,1,256,466
