Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Alexander,Mike Harilaid,Mark Holland,Bob Kesic,Jim Koppens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax--Pickering/Ajax--Pickering"," 1","Pickering",107,5,54,1,17,0,184,301
35001,"Ajax--Pickering/Ajax--Pickering"," 2","Pickering",165,16,107,0,29,1,318,475
35001,"Ajax--Pickering/Ajax--Pickering"," 3","Pickering",182,20,97,0,27,2,328,502
35001,"Ajax--Pickering/Ajax--Pickering"," 4","Pickering",65,2,55,2,18,4,146,273
35001,"Ajax--Pickering/Ajax--Pickering"," 5","Pickering",121,6,70,0,28,3,228,387
35001,"Ajax--Pickering/Ajax--Pickering"," 6","Pickering",134,8,105,0,18,0,265,451
35001,"Ajax--Pickering/Ajax--Pickering"," 7","Pickering",Void/Supprimé,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 8","Pickering",44,6,72,0,13,0,135,228
35001,"Ajax--Pickering/Ajax--Pickering"," 9","Pickering",116,9,72,0,25,0,222,397
35001,"Ajax--Pickering/Ajax--Pickering"," 9-1A","Pickering",55,3,63,0,32,1,154,311
35001,"Ajax--Pickering/Ajax--Pickering"," 9-1B","Pickering",38,5,69,0,21,0,133,306
35001,"Ajax--Pickering/Ajax--Pickering"," 10","Pickering",47,10,32,0,26,0,115,292
35001,"Ajax--Pickering/Ajax--Pickering"," 11","Pickering",84,0,66,0,31,0,181,380
35001,"Ajax--Pickering/Ajax--Pickering"," 12","Pickering",63,2,68,0,35,0,168,373
35001,"Ajax--Pickering/Ajax--Pickering"," 13","Pickering",192,15,74,0,23,0,304,489
35001,"Ajax--Pickering/Ajax--Pickering"," 14","Pickering",145,6,97,0,24,0,272,475
35001,"Ajax--Pickering/Ajax--Pickering"," 15","Pickering",129,9,103,0,18,0,259,467
35001,"Ajax--Pickering/Ajax--Pickering"," 16","Pickering",122,6,109,1,29,0,267,517
35001,"Ajax--Pickering/Ajax--Pickering"," 17","Pickering",125,8,97,0,33,2,265,452
35001,"Ajax--Pickering/Ajax--Pickering"," 18","Pickering",136,11,102,2,25,0,276,439
35001,"Ajax--Pickering/Ajax--Pickering"," 19","Pickering",140,7,85,0,37,0,269,457
35001,"Ajax--Pickering/Ajax--Pickering"," 20","Pickering",144,6,86,0,13,0,249,379
35001,"Ajax--Pickering/Ajax--Pickering"," 21","Pickering",111,8,89,0,30,2,240,457
35001,"Ajax--Pickering/Ajax--Pickering"," 22","Pickering",104,10,98,0,39,3,254,481
35001,"Ajax--Pickering/Ajax--Pickering"," 23A","Pickering",52,1,68,1,22,0,144,257
35001,"Ajax--Pickering/Ajax--Pickering"," 23B","Pickering",44,3,76,0,28,0,151,264
35001,"Ajax--Pickering/Ajax--Pickering"," 23-1","Pickering",95,6,102,2,44,1,250,490
35001,"Ajax--Pickering/Ajax--Pickering"," 24A","Pickering",37,5,51,0,27,0,120,268
35001,"Ajax--Pickering/Ajax--Pickering"," 24B","Pickering",48,3,61,0,15,0,127,270
35001,"Ajax--Pickering/Ajax--Pickering"," 25A","Pickering",97,1,71,0,37,0,206,342
35001,"Ajax--Pickering/Ajax--Pickering"," 25B","Pickering",82,4,56,0,32,3,177,289
35001,"Ajax--Pickering/Ajax--Pickering"," 26","Pickering",86,7,112,2,61,0,268,496
35001,"Ajax--Pickering/Ajax--Pickering"," 27","Pickering",78,8,103,0,35,0,224,509
35001,"Ajax--Pickering/Ajax--Pickering"," 28","Pickering",87,11,93,0,41,0,232,424
35001,"Ajax--Pickering/Ajax--Pickering"," 29","Pickering",60,4,95,0,42,0,201,417
35001,"Ajax--Pickering/Ajax--Pickering"," 30","Pickering",75,3,97,0,30,3,208,427
35001,"Ajax--Pickering/Ajax--Pickering"," 31A","Pickering",51,5,82,0,8,0,146,245
35001,"Ajax--Pickering/Ajax--Pickering"," 31B","Pickering",48,2,67,0,14,0,131,270
35001,"Ajax--Pickering/Ajax--Pickering"," 32A","Pickering",30,10,51,1,38,1,131,263
35001,"Ajax--Pickering/Ajax--Pickering"," 32B","Pickering",63,6,67,0,19,0,155,272
35001,"Ajax--Pickering/Ajax--Pickering"," 33","Pickering",58,2,42,1,19,0,122,480
35001,"Ajax--Pickering/Ajax--Pickering"," 33-1A","Pickering",55,3,52,0,29,1,140,285
35001,"Ajax--Pickering/Ajax--Pickering"," 33-1B","Pickering",69,0,76,0,21,0,166,308
35001,"Ajax--Pickering/Ajax--Pickering"," 34","Pickering",58,4,114,0,38,0,214,519
35001,"Ajax--Pickering/Ajax--Pickering"," 35","Pickering",63,5,79,0,44,3,194,519
35001,"Ajax--Pickering/Ajax--Pickering"," 36","Pickering",58,4,46,2,39,2,151,431
35001,"Ajax--Pickering/Ajax--Pickering"," 37","Pickering",56,6,80,0,37,0,179,424
35001,"Ajax--Pickering/Ajax--Pickering"," 37-1A","Pickering",62,6,75,0,42,0,185,431
35001,"Ajax--Pickering/Ajax--Pickering"," 37-1B","Pickering",42,5,29,1,16,0,93,129
35001,"Ajax--Pickering/Ajax--Pickering"," 38","Pickering",108,7,66,0,38,1,220,409
35001,"Ajax--Pickering/Ajax--Pickering"," 39","Pickering",68,7,89,0,39,1,204,433
35001,"Ajax--Pickering/Ajax--Pickering"," 40","Pickering",51,4,28,0,22,0,105,301
35001,"Ajax--Pickering/Ajax--Pickering"," 41","Pickering",92,6,69,0,29,1,197,305
35001,"Ajax--Pickering/Ajax--Pickering"," 42","Pickering",Void/Supprimé,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 43","Pickering",Void/Supprimé,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 44","Pickering",Void/Supprimé,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 45","Ajax",51,4,57,0,27,0,139,409
35001,"Ajax--Pickering/Ajax--Pickering"," 45-1A","Ajax",33,5,82,0,24,1,145,305
35001,"Ajax--Pickering/Ajax--Pickering"," 45-1B","Ajax",52,3,45,0,29,0,129,312
35001,"Ajax--Pickering/Ajax--Pickering"," 45-2A","Ajax",56,0,76,1,21,4,158,338
35001,"Ajax--Pickering/Ajax--Pickering"," 45-2B","Ajax",58,3,84,0,22,2,169,329
35001,"Ajax--Pickering/Ajax--Pickering"," 45-3A","Ajax",28,4,61,0,25,2,120,262
35001,"Ajax--Pickering/Ajax--Pickering"," 45-3B","Ajax",52,2,44,0,21,0,119,271
35001,"Ajax--Pickering/Ajax--Pickering"," 45-4A","Ajax",33,1,70,0,18,1,123,269
35001,"Ajax--Pickering/Ajax--Pickering"," 45-4B","Ajax",27,2,62,0,21,0,112,273
35001,"Ajax--Pickering/Ajax--Pickering"," 45-5A","Ajax",39,2,69,0,25,0,135,271
35001,"Ajax--Pickering/Ajax--Pickering"," 45-5B","Ajax",42,1,60,1,31,0,135,280
35001,"Ajax--Pickering/Ajax--Pickering"," 46","Ajax",65,4,110,1,30,0,210,479
35001,"Ajax--Pickering/Ajax--Pickering"," 46-1A","Ajax",63,1,65,0,42,0,171,410
35001,"Ajax--Pickering/Ajax--Pickering"," 46-1B","Ajax",53,5,81,1,39,0,179,391
35001,"Ajax--Pickering/Ajax--Pickering"," 46-2A","Ajax",54,4,66,0,29,1,154,285
35001,"Ajax--Pickering/Ajax--Pickering"," 46-2B","Ajax",64,3,65,0,29,0,161,317
35001,"Ajax--Pickering/Ajax--Pickering"," 46-3","Ajax",79,9,107,0,33,3,231,471
35001,"Ajax--Pickering/Ajax--Pickering"," 46-4A","Ajax",48,9,84,0,40,1,182,353
35001,"Ajax--Pickering/Ajax--Pickering"," 46-4B","Ajax",58,6,88,1,34,0,187,389
35001,"Ajax--Pickering/Ajax--Pickering"," 46-5A","Ajax",46,2,59,0,29,0,136,313
35001,"Ajax--Pickering/Ajax--Pickering"," 46-5B","Ajax",37,0,77,0,31,1,146,332
