Political affiliation/Appartenance politique,N.L. Percentage of Valid Votes/Pourcentage des votes valides T.-N.-L.,P.E.I. Percentage of Valid Votes/Pourcentage des votes valides Î.-P.-É.,N.S. Percentage of Valid Votes/Pourcentage des votes valides N.-É.,N.B. Percentage of Valid Votes/Pourcentage des votes valides N.-B.,Que. Percentage of Valid Votes/Pourcentage des votes valides Qc,Ont. Percentage of Valid Votes/Pourcentage des votes valides Ont.,Man. Percentage of Valid Votes/Pourcentage des votes valides Man.,Sask. Percentage of Valid Votes/Pourcentage des votes valides Sask.,Alta. Percentage of Valid Votes/Pourcentage des votes valides Alb.,B.C. Percentage of Valid Votes/Pourcentage des votes valides C.-B.,Y.T. Percentage of Valid Votes/Pourcentage des votes valides Yn,N.W.T. Percentage of Valid Votes/Pourcentage des votes valides T.N.-O.,Nun. Percentage of Valid Votes/Pourcentage des votes valides Nt,Total
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",0,0,0,0,0,0,0,0,0,0,0,.6,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,23.4,0,0,0,0,0,0,0,0,6.1
"Canadian Action Party/Parti action canadienne",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,.1,.1,.1,0,.2,.3,0,.2,.1,0,0,0,.1
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,0,0,.1,0,0,0,0,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",28.3,41.2,36.7,43.8,16.5,44.4,53.5,56.3,66.8,45.6,33.8,32.1,49.9,39.6
"First Peoples National Party of Canada/First Peoples National Party of Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Party of Canada/Le Parti Vert du Canada",.9,2.4,3.9,3.2,2.1,3.8,3.6,2.6,5.2,7.7,18.9,3.1,2,3.9
"Liberal Party of Canada/Parti libéral du Canada",37.9,41,28.9,22.6,14.2,25.3,16.6,8.5,9.3,13.4,32.9,18.4,28.7,18.9
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,0,.1,0,0,0,.1,0,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,0,0,.1,.1,0,0,.1,.1,0,0,0,.1
"New Democratic Party/Nouveau Parti démocratique",32.6,15.4,30.3,29.8,42.9,25.6,25.8,32.3,16.8,32.5,14.4,45.8,19.4,30.6
"Pirate Party of Canada/Parti Pirate du Canada",0,0,0,0,0,0,0,0,0,.1,0,0,0,0
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,0,0,0,.1,0,0,.1,0,0,0,0,0
"Rhinoceros Party/Parti Rhinocéros",0,0,0,0,.1,0,0,0,0,0,0,0,0,0
"United Party of Canada/Parti Uni du Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Western Block Party/Western Block Party",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Independent/Indépendant",.3,0,0,.5,.6,.2,.1,.2,1.3,.2,0,0,0,.4
"No Affiliation/Aucune appartenance",0,0,0,0,0,.2,0,0,0,0,0,0,0,.1
