Political affiliation/Appartenance politique,0-9.9,10-19.9,20-29.9,30-39.9,40 or more/40 et plus,Total
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",7,0,0,0,0,7
"Bloc Québécois/Bloc Québécois",10,15,28,22,0,75
"Canadian Action Party/Parti action canadienne",12,0,0,0,0,12
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",46,0,0,0,0,46
"Communist Party of Canada/Parti communiste du Canada",20,0,0,0,0,20
"Conservative Party of Canada/Parti conservateur du Canada",23,39,32,52,161,307
"First Peoples National Party of Canada/First Peoples National Party of Canada",1,0,0,0,0,1
"Green Party of Canada/Le Parti Vert du Canada",297,6,0,0,1,304
"Liberal Party of Canada/Parti libéral du Canada",91,98,42,55,22,308
"Libertarian Party of Canada/Parti Libertarien du Canada",23,0,0,0,0,23
"Marijuana Party/Parti Marijuana",5,0,0,0,0,5
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",70,0,0,0,0,70
"New Democratic Party/Nouveau Parti démocratique",2,90,75,48,93,308
"Pirate Party of Canada/Parti Pirate du Canada",10,0,0,0,0,10
"Progressive Canadian Party/Parti Progressiste Canadien",9,0,0,0,0,9
"Rhinoceros Party/Parti Rhinocéros",14,0,0,0,0,14
"United Party of Canada/Parti Uni du Canada",3,0,0,0,0,3
"Western Block Party/Western Block Party",4,0,0,0,0,4
"Independent/Indépendant",51,2,2,0,0,55
"No Affiliation/Aucune appartenance",5,1,0,0,0,6
