Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christopher Anderson,Blaine Calkins,Robert Johnston,Tim Robson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Wetaskiwin/Wetaskiwin"," 1","Berrymoor",1,166,9,14,0,190,332
48026,"Wetaskiwin/Wetaskiwin"," 2","Lindale",2,156,7,14,0,179,319
48026,"Wetaskiwin/Wetaskiwin"," 3","Genesee",3,118,5,18,0,144,237
48026,"Wetaskiwin/Wetaskiwin"," 4","Buck Creek",6,220,9,18,2,255,417
48026,"Wetaskiwin/Wetaskiwin"," 5","Carnwood Hall",3,114,12,14,0,143,261
48026,"Wetaskiwin/Wetaskiwin"," 6","Alsike",0,112,7,10,0,129,230
48026,"Wetaskiwin/Wetaskiwin"," 7","Warburg",4,168,8,17,1,198,320
48026,"Wetaskiwin/Wetaskiwin"," 8","Warburg",5,235,10,30,0,280,551
48026,"Wetaskiwin/Wetaskiwin"," 9","Breton",2,163,10,22,0,197,329
48026,"Wetaskiwin/Wetaskiwin"," 10","Breton",3,179,10,28,1,221,536
48026,"Wetaskiwin/Wetaskiwin"," 11","Alder Flats",4,216,12,22,0,254,430
48026,"Wetaskiwin/Wetaskiwin"," 12","Buck Lake",2,266,17,16,1,302,506
48026,"Wetaskiwin/Wetaskiwin"," 13","Winfield",1,255,7,26,0,289,504
48026,"Wetaskiwin/Wetaskiwin"," 14","Yeoford",3,119,4,12,0,138,198
48026,"Wetaskiwin/Wetaskiwin"," 15","Winfield",8,145,9,27,0,189,290
48026,"Wetaskiwin/Wetaskiwin"," 16","Mulhurst",0,162,10,19,0,191,289
48026,"Wetaskiwin/Wetaskiwin"," 17","Sunnybrook",4,187,10,19,1,221,363
48026,"Wetaskiwin/Wetaskiwin"," 18","Telfordville",3,142,6,18,0,169,253
48026,"Wetaskiwin/Wetaskiwin"," 19","Calmar",3,196,7,14,0,220,347
48026,"Wetaskiwin/Wetaskiwin"," 20","Thorsby",0,106,3,13,0,122,184
48026,"Wetaskiwin/Wetaskiwin"," 21","Thorsby",7,291,17,45,0,360,825
48026,"Wetaskiwin/Wetaskiwin"," 22","Thorsby",7,163,18,27,1,216,354
