Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Dan McTeague,Andrea Moffat,Kevin Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 1","Pickering",91,99,53,7,0,250,499
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 2","Pickering",62,59,44,4,1,170,427
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 3","Pickering",87,70,62,16,1,236,481
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 4","Pickering",86,35,49,10,1,181,433
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 5","Pickering",82,54,23,12,2,173,388
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 6","Pickering",66,55,65,11,0,197,482
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 7","Pickering",80,51,48,6,2,187,487
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 8","Pickering",15,31,20,3,0,69,268
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 9","Pickering",83,63,38,9,0,193,392
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 10","Pickering",57,45,53,8,2,165,335
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 11","Pickering",63,60,32,16,0,171,375
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 12","Pickering",100,48,32,6,1,187,361
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 13","Pickering",70,49,43,8,0,170,323
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 14","Pickering",151,57,46,9,2,265,449
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 15","Pickering",93,44,50,6,0,193,388
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 16","Pickering",79,64,35,3,0,181,315
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 17","Pickering",149,91,49,18,0,307,479
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 18","Pickering",58,41,24,5,1,129,252
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 19","Pickering",89,78,45,7,1,220,446
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 20","Pickering",107,68,46,13,0,234,399
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 21","Pickering",103,106,52,14,1,276,501
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 22","Pickering",90,66,27,8,2,193,323
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 22-1","Pickering",106,62,37,16,0,221,409
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 23","Pickering",130,65,30,10,0,235,471
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 24","Pickering",120,80,53,14,0,267,470
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 25","Pickering",80,92,35,12,2,221,442
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 26","Pickering",99,81,38,6,0,224,392
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 27","Pickering",105,68,41,6,3,223,463
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 28","Pickering",90,81,31,4,0,206,348
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 29","Pickering",62,72,27,10,0,171,390
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 30","Pickering",100,86,46,11,0,243,495
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 31","Pickering",85,68,39,15,3,210,475
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 32","Pickering",66,48,31,4,2,151,342
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 33","Pickering",76,37,25,6,0,144,306
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 34","Pickering",84,54,36,8,0,182,357
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 35","Pickering",111,46,43,11,1,212,412
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 36","Pickering",85,50,40,11,0,186,339
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 37","Pickering",92,68,29,5,1,195,335
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 38","Pickering",109,70,48,9,0,236,374
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 39","Pickering",82,75,51,16,0,224,361
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 40","Pickering",90,44,17,8,0,159,353
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 41","Pickering",144,105,61,11,3,324,528
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 42","Pickering",107,68,27,6,1,209,346
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 43","Pickering",133,80,36,7,0,256,481
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 44","Pickering",133,105,40,11,0,289,512
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 45","Pickering",110,113,53,8,0,284,485
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 46","Pickering",95,95,39,17,1,247,504
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 47","Pickering",115,105,51,13,1,285,490
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 48","Pickering",86,82,26,4,1,199,337
35072,"Pickering--Scarborough East/Pickering--Scarborough-Est"," 49","Pickering",73,63,32,9,1,178,356
