Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadine Marie Hawkins,John McCallum,Adam Poon,Bob Saroya,Allen Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Markham--Unionville/Markham--Unionville"," 1","Markham",47,61,11,89,2,2,212,456
35045,"Markham--Unionville/Markham--Unionville"," 2","Markham",27,135,12,86,0,1,261,505
35045,"Markham--Unionville/Markham--Unionville"," 3","Markham",26,67,3,49,0,0,145,284
35045,"Markham--Unionville/Markham--Unionville"," 3-1","Markham",32,60,5,85,0,1,183,347
35045,"Markham--Unionville/Markham--Unionville"," 4","Markham",40,102,13,113,0,3,271,572
35045,"Markham--Unionville/Markham--Unionville"," 5","Markham",24,94,5,136,4,0,263,437
35045,"Markham--Unionville/Markham--Unionville"," 6","Markham",38,40,12,80,4,2,176,343
35045,"Markham--Unionville/Markham--Unionville"," 7","Markham",22,62,6,99,0,0,189,306
35045,"Markham--Unionville/Markham--Unionville"," 8","Markham",22,132,8,95,0,0,257,576
35045,"Markham--Unionville/Markham--Unionville"," 9","Markham",19,62,6,64,0,1,152,305
35045,"Markham--Unionville/Markham--Unionville"," 9-1","Markham",15,71,3,52,0,2,143,305
35045,"Markham--Unionville/Markham--Unionville"," 10","Markham",28,90,12,88,0,1,219,463
35045,"Markham--Unionville/Markham--Unionville"," 11","Markham",19,61,5,87,1,1,174,381
35045,"Markham--Unionville/Markham--Unionville"," 11-1","Markham",22,76,2,88,0,1,189,386
35045,"Markham--Unionville/Markham--Unionville"," 12","Markham",18,80,2,59,0,0,159,355
35045,"Markham--Unionville/Markham--Unionville"," 13","Markham",28,75,10,95,3,1,212,527
35045,"Markham--Unionville/Markham--Unionville"," 14","Markham",24,98,2,97,0,0,221,435
35045,"Markham--Unionville/Markham--Unionville"," 15A","Markham",28,54,2,51,1,1,137,293
35045,"Markham--Unionville/Markham--Unionville"," 15B","Markham",15,47,3,52,1,0,118,283
35045,"Markham--Unionville/Markham--Unionville"," 16","Markham",18,71,8,50,0,0,147,310
35045,"Markham--Unionville/Markham--Unionville"," 16-1","Markham",9,40,1,56,0,0,106,281
35045,"Markham--Unionville/Markham--Unionville"," 17","Markham",21,34,11,80,0,0,146,379
35045,"Markham--Unionville/Markham--Unionville"," 18","Markham",15,33,3,38,0,0,89,215
35045,"Markham--Unionville/Markham--Unionville"," 19","Markham",33,91,11,87,3,4,229,525
35045,"Markham--Unionville/Markham--Unionville"," 20","Markham",20,84,6,74,1,0,185,408
35045,"Markham--Unionville/Markham--Unionville"," 21","Markham",26,79,5,75,0,2,187,400
35045,"Markham--Unionville/Markham--Unionville"," 22A","Markham",19,58,2,33,2,0,114,288
35045,"Markham--Unionville/Markham--Unionville"," 22B","Markham",13,53,4,63,0,1,134,334
35045,"Markham--Unionville/Markham--Unionville"," 23","Markham",17,41,7,50,1,1,117,413
35045,"Markham--Unionville/Markham--Unionville"," 23-1","Markham",23,32,5,55,0,4,119,382
35045,"Markham--Unionville/Markham--Unionville"," 23-2","Markham",24,35,7,90,2,2,160,552
35045,"Markham--Unionville/Markham--Unionville"," 24","Markham",9,61,14,42,0,0,126,377
35045,"Markham--Unionville/Markham--Unionville"," 25","Markham",24,59,3,86,0,2,174,465
35045,"Markham--Unionville/Markham--Unionville"," 25-1A","Markham",27,42,4,66,0,0,139,346
35045,"Markham--Unionville/Markham--Unionville"," 25-1B","Markham",22,23,4,44,0,2,95,254
35045,"Markham--Unionville/Markham--Unionville"," 26","Markham",13,76,3,124,0,0,216,400
35045,"Markham--Unionville/Markham--Unionville"," 27","Markham",44,82,15,110,2,1,254,489
35045,"Markham--Unionville/Markham--Unionville"," 28","Markham",20,54,9,98,0,1,182,350
35045,"Markham--Unionville/Markham--Unionville"," 29","Markham",16,87,10,133,0,2,248,366
35045,"Markham--Unionville/Markham--Unionville"," 30","Markham",33,108,17,161,2,1,322,564
35045,"Markham--Unionville/Markham--Unionville"," 31","Markham",28,103,7,132,0,0,270,433
35045,"Markham--Unionville/Markham--Unionville"," 32A","Markham",13,57,5,72,0,0,147,269
35045,"Markham--Unionville/Markham--Unionville"," 32B","Markham",13,43,3,119,0,1,179,318
35045,"Markham--Unionville/Markham--Unionville"," 33","Markham",30,88,14,137,1,3,273,453
35045,"Markham--Unionville/Markham--Unionville"," 34","Markham",13,66,13,142,3,0,237,415
35045,"Markham--Unionville/Markham--Unionville"," 35","Markham",29,75,12,116,1,1,234,382
35045,"Markham--Unionville/Markham--Unionville"," 36","Markham",22,58,15,75,0,0,170,311
35045,"Markham--Unionville/Markham--Unionville"," 37","Markham",39,64,10,102,1,1,217,525
35045,"Markham--Unionville/Markham--Unionville"," 38","Markham",39,65,10,70,1,1,186,345
35045,"Markham--Unionville/Markham--Unionville"," 39","Markham",36,100,8,118,2,1,265,472
35045,"Markham--Unionville/Markham--Unionville"," 40","Markham",24,64,10,90,0,1,189,365
35045,"Markham--Unionville/Markham--Unionville"," 41","Markham",21,42,4,84,1,2,154,206
35045,"Markham--Unionville/Markham--Unionville"," 42","Markham",35,71,13,95,1,0,215,367
35045,"Markham--Unionville/Markham--Unionville"," 43","Markham",25,100,12,91,2,1,231,477
35045,"Markham--Unionville/Markham--Unionville"," 44","Markham",21,76,13,88,2,0,200,429
35045,"Markham--Unionville/Markham--Unionville"," 45","Markham",33,58,10,78,2,3,184,416
35045,"Markham--Unionville/Markham--Unionville"," 45-1","Markham",27,66,7,118,1,0,219,519
35045,"Markham--Unionville/Markham--Unionville"," 46","Markham",42,99,16,88,1,0,246,509
35045,"Markham--Unionville/Markham--Unionville"," 47","Markham",23,58,8,55,0,1,145,293
35045,"Markham--Unionville/Markham--Unionville"," 47-1","Markham",24,50,8,56,0,0,138,324
35045,"Markham--Unionville/Markham--Unionville"," 48","Markham",44,105,8,82,1,0,240,509
35045,"Markham--Unionville/Markham--Unionville"," 49","Markham",34,89,12,61,0,2,198,410
35045,"Markham--Unionville/Markham--Unionville"," 50","Markham",31,66,6,100,0,2,205,417
35045,"Markham--Unionville/Markham--Unionville"," 51A","Markham",10,24,4,32,0,0,70,239
