Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Calandra,Janice Hagan,Trifon Haitas,John Siciliano,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 1","King",108,25,4,3,27,1,168,275
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 2","Schomberg",153,51,11,1,26,1,243,426
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 3A","Schomberg",107,27,2,2,36,0,174,340
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 3B","Schomberg",96,31,5,3,33,0,168,327
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 3-1","Schomberg",79,16,3,1,32,1,132,278
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 4","Schomberg",85,18,6,4,37,0,150,170
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 4-1","Schomberg",109,19,12,3,25,0,168,365
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 5","King",Merged with No. 4/Fusionné avec le nº 4,,,,,,,128
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 5-1","King",93,19,11,2,29,0,154,310
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 6","King",127,39,10,2,24,2,204,392
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 7","King",81,8,8,0,32,0,129,231
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 8","King",113,16,8,4,49,1,191,350
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 8-1","King",49,11,4,1,19,0,84,194
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 9","King",114,20,6,1,18,1,160,301
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 10","King",118,20,7,3,31,0,179,351
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 11","King",136,25,8,2,45,1,217,423
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 12","Nobleton",83,10,5,4,31,0,133,236
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 12-1","Nobleton",119,14,4,3,35,1,176,317
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 13","Nobleton",164,25,6,3,49,2,249,451
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 14","Nobleton",137,18,8,2,44,0,209,429
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 15","Nobleton",130,30,3,5,62,0,230,431
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 16","Nobleton",117,12,6,0,36,1,172,360
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 17","Nobleton",69,34,8,3,44,0,158,282
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 18","King",127,20,13,6,45,0,211,385
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 19","King",158,10,6,5,31,1,211,379
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 20","King",95,29,10,3,35,3,175,300
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 21","King",72,6,4,1,30,0,113,246
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 22","King",110,25,9,2,48,1,195,435
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 23","King",97,23,7,1,50,1,179,413
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 24","King",164,28,2,4,55,0,253,533
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 25","King City",164,20,17,5,73,3,282,497
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 26","King City",67,21,7,4,27,0,126,291
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 27","King City",121,34,14,4,39,0,212,415
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 28","King City",118,17,4,1,53,0,193,363
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 29","King City",113,26,8,1,47,0,195,404
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 30","King City",142,13,3,4,60,2,224,462
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 31","King City",133,23,10,3,67,0,236,442
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 32","King City",116,34,4,3,48,0,205,394
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 33","King City",85,11,5,0,34,3,138,300
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 34","Richmond Hill",64,40,9,1,26,0,140,296
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 35","Richmond Hill",92,21,9,2,29,0,153,308
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 36","Richmond Hill",151,30,7,8,53,1,250,449
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 37","Richmond Hill",136,29,4,9,51,3,232,418
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 37-1","Richmond Hill",130,22,8,1,72,1,234,408
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 38","Richmond Hill",175,35,10,3,66,4,293,497
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 39","Richmond Hill",137,33,9,2,70,0,251,408
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 40","Richmond Hill",152,32,8,4,64,3,263,558
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 41","Richmond Hill",84,25,6,0,51,0,166,297
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 42","Richmond Hill",155,50,6,3,65,2,281,455
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 43A","Richmond Hill",86,27,3,2,38,0,156,365
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 43B","Richmond Hill",89,13,0,3,44,2,151,366
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 44","Richmond Hill",69,25,11,3,25,1,134,287
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 45","Richmond Hill",105,42,11,0,61,0,219,493
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 46","Richmond Hill",99,29,4,5,41,0,178,363
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 47","Richmond Hill",90,35,10,0,39,0,174,369
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 48","Richmond Hill",90,29,4,4,36,0,163,291
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 49","Richmond Hill",95,25,6,3,46,1,176,324
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 49-1","Richmond Hill",94,34,5,2,38,2,175,316
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 50","Richmond Hill",70,48,5,1,43,0,167,366
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 51","Richmond Hill",83,24,13,3,46,2,171,359
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 52","Richmond Hill",63,29,4,1,28,1,126,340
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 52-1","Richmond Hill",118,23,0,4,32,0,177,340
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 53","Richmond Hill",81,17,5,1,28,0,132,346
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 54","Richmond Hill",109,19,4,1,46,2,181,360
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 55","Richmond Hill",Merged with No. 57/Fusionné avec le nº 57,,,,,,,232
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 56","Richmond Hill",90,42,4,1,55,2,194,363
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 57","Richmond Hill",104,45,9,3,53,0,214,234
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 58","Richmond Hill",64,28,2,3,38,3,138,262
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 59","Richmond Hill",159,42,10,1,69,3,284,568
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 60","Richmond Hill",103,41,14,1,43,3,205,463
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 61","Richmond Hill",69,18,10,4,41,2,144,310
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 62","Richmond Hill",116,34,12,4,54,2,222,444
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 63","Richmond Hill",85,33,3,2,35,1,159,355
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 64","Richmond Hill",76,29,5,1,36,0,147,323
35059,"Oak Ridges--Markham/Oak Ridges--Markham"," 65","Richmond Hill",109,64,5,3,72,0,253,540
