Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clive Edwards,Jamie Hoskins,Diane Janzen,Dorothy-Jean O'Donnell,Gwen O'Mahony,Mark Strahl,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 1","Squamish",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 2","Pemberton Meadows",0,16,18,1,33,35,0,103,156
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 3","Whistler",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 4","Whistler",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 5A","Pemberton",0,5,3,0,26,6,0,40,45
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 5B","Pemberton",0,32,34,0,47,44,0,157,289
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 6","Mount Currie 6",0,27,31,2,145,47,0,252,689
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7A","Pemberton",0,33,41,0,105,72,0,251,510
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7B","Pemberton",0,32,34,1,88,76,0,231,481
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7-1","Pemberton",1,58,80,0,155,128,0,422,744
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7-2","Pemberton",0,31,27,0,46,52,0,156,253
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7-3","Pemberton",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 8","D'Arcy",2,27,20,2,78,72,2,203,385
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 9","Gold Bridge",0,8,6,1,23,43,1,82,135
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 10","Lillooet",0,12,9,0,64,50,0,135,285
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 11","Shalalth",0,14,4,2,29,34,0,83,218
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 12","Lillooet",0,14,5,0,77,48,2,146,332
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 13","Lillooet",0,10,8,0,35,85,0,138,274
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 14","Lillooet",0,11,8,0,72,99,2,192,363
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 15","Lillooet",0,11,15,1,75,63,0,165,484
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 16","Lillooet",1,14,16,0,74,122,0,227,489
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 17","Lillooet",0,12,14,0,79,68,0,173,381
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 18","Fountain Valley",0,0,1,0,22,10,0,33,77
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 19","Clinton ",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 20","Cache Creek",0,3,1,0,30,69,0,103,252
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 21","Cache Creek",1,4,8,2,40,79,1,135,277
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 22","Cache Creek",0,1,1,0,18,36,0,56,181
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 22-1","Cache Creek",1,10,11,2,54,163,0,241,447
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 23","Walhachin",0,2,6,0,23,82,0,113,203
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 24","Ashcroft",0,17,15,2,79,117,0,230,402
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 25","Ashcroft",1,9,18,2,47,115,0,192,343
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 26","Ashcroft",0,20,15,0,77,145,0,257,462
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 27","Ashcroft",0,16,17,0,75,138,0,246,448
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 28","Spences Bridge",0,5,9,2,57,45,2,120,228
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 29","Boston Bar",1,4,15,0,78,64,0,162,324
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 30","Lytton",1,27,22,2,175,79,0,306,673
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 31","Lytton",0,12,11,3,64,10,0,100,166
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 32","Skookumchuck",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 33","Chehalis 5",0,10,16,1,88,98,1,214,609
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 34","Harrison Hot Springs",1,13,25,3,48,64,0,154,282
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 34-1","Harrison Hot Springs",1,11,16,0,37,70,0,135,252
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 35","Harrison Hot Springs",0,8,29,1,82,121,1,242,393
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 35-1","Harrison Hot Springs",0,12,23,2,46,86,0,169,279
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 36","Harrison Mills",0,12,19,0,65,132,1,229,476
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 37","Agassiz",0,3,10,1,24,97,0,135,288
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 38","Agassiz",2,15,14,0,60,142,0,233,428
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 39","Agassiz",0,7,19,2,51,125,1,205,399
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 40","Agassiz",0,6,18,0,42,96,0,162,352
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 41","Agassiz",2,9,16,0,46,87,0,160,327
