Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christelle Bogosta,Pierre Jacob,Benoit Lambert,Nolan LeBlanc-Bauerle,Denis Paradis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Brome--Missisquoi/Brome--Missisquoi"," 1","Noyan",45,96,7,32,35,3,218,514
24010,"Brome--Missisquoi/Brome--Missisquoi"," 2","Noyan",33,119,2,50,53,5,262,435
24010,"Brome--Missisquoi/Brome--Missisquoi"," 2-1","Noyan",14,25,1,3,3,1,47,132
24010,"Brome--Missisquoi/Brome--Missisquoi"," 3","Saint-Georges-de-Clarenceville",19,65,5,32,30,3,154,306
24010,"Brome--Missisquoi/Brome--Missisquoi"," 4","Saint-Georges-de-Clarenceville",24,78,6,43,38,1,190,405
24010,"Brome--Missisquoi/Brome--Missisquoi"," 4-1","Saint-Georges-de-Clarenceville",18,29,2,17,7,0,73,145
24010,"Brome--Missisquoi/Brome--Missisquoi"," 5","Venise-en-Québec",44,127,5,52,31,4,263,484
24010,"Brome--Missisquoi/Brome--Missisquoi"," 5-1","Venise-en-Québec",28,48,2,8,19,0,105,191
24010,"Brome--Missisquoi/Brome--Missisquoi"," 6","Venise-en-Québec",42,102,4,32,18,4,202,469
24010,"Brome--Missisquoi/Brome--Missisquoi"," 6-1","Venise-en-Québec",18,29,1,13,21,3,85,191
24010,"Brome--Missisquoi/Brome--Missisquoi"," 7","Henryville",59,136,3,34,26,3,261,543
24010,"Brome--Missisquoi/Brome--Missisquoi"," 8","Henryville",42,121,7,21,41,6,238,415
24010,"Brome--Missisquoi/Brome--Missisquoi"," 9","Henryville",39,66,1,9,23,0,138,252
24010,"Brome--Missisquoi/Brome--Missisquoi"," 10","Saint-Sébastien",38,105,1,32,34,3,213,358
24010,"Brome--Missisquoi/Brome--Missisquoi"," 11","Saint-Sébastien",25,56,3,16,27,2,129,197
24010,"Brome--Missisquoi/Brome--Missisquoi"," 12","Saint-Pierre-de-Véronne-à-Pike-River",56,117,3,30,48,4,258,421
24010,"Brome--Missisquoi/Brome--Missisquoi"," 13","Notre-Dame-de-Stanbridge",32,115,4,29,46,1,227,351
24010,"Brome--Missisquoi/Brome--Missisquoi"," 14","Notre-Dame-de-Stanbridge",26,70,1,17,23,1,138,194
24010,"Brome--Missisquoi/Brome--Missisquoi"," 15","Stanbridge Station",28,77,1,17,30,2,155,203
24010,"Brome--Missisquoi/Brome--Missisquoi"," 16","Saint-Armand",49,110,7,44,67,5,282,529
24010,"Brome--Missisquoi/Brome--Missisquoi"," 17","Saint-Armand",23,52,4,16,23,3,121,232
24010,"Brome--Missisquoi/Brome--Missisquoi"," 18","Saint-Armand",18,78,4,21,57,1,179,306
24010,"Brome--Missisquoi/Brome--Missisquoi"," 19","Sainte-Sabine",55,129,10,34,55,4,287,457
24010,"Brome--Missisquoi/Brome--Missisquoi"," 20","Sainte-Sabine",37,122,6,29,33,2,229,343
24010,"Brome--Missisquoi/Brome--Missisquoi"," 21","Saint-Ignace-de-Stanbridge",32,69,4,15,37,0,157,221
24010,"Brome--Missisquoi/Brome--Missisquoi"," 22","Saint-Ignace-de-Stanbridge",27,91,4,27,27,5,181,274
24010,"Brome--Missisquoi/Brome--Missisquoi"," 23","Bedford",33,78,5,29,33,3,181,308
24010,"Brome--Missisquoi/Brome--Missisquoi"," 24","Bedford",18,54,5,20,26,1,124,280
24010,"Brome--Missisquoi/Brome--Missisquoi"," 25","Bedford",40,97,4,22,39,1,203,384
24010,"Brome--Missisquoi/Brome--Missisquoi"," 26","Bedford",18,50,2,22,36,1,129,288
24010,"Brome--Missisquoi/Brome--Missisquoi"," 27","Bedford",32,86,6,24,41,1,190,382
24010,"Brome--Missisquoi/Brome--Missisquoi"," 28","Bedford",27,71,3,23,56,2,182,378
24010,"Brome--Missisquoi/Brome--Missisquoi"," 29","Bedford",34,94,5,25,39,1,198,327
24010,"Brome--Missisquoi/Brome--Missisquoi"," 30","Bedford",12,62,1,29,37,0,141,273
24010,"Brome--Missisquoi/Brome--Missisquoi"," 31","Stanbridge East",26,120,7,30,45,1,229,342
24010,"Brome--Missisquoi/Brome--Missisquoi"," 32","Stanbridge East",24,92,6,33,61,3,219,346
24010,"Brome--Missisquoi/Brome--Missisquoi"," 33","Dunham",61,121,13,37,61,3,296,475
24010,"Brome--Missisquoi/Brome--Missisquoi"," 34","Dunham",53,122,10,27,26,1,239,474
24010,"Brome--Missisquoi/Brome--Missisquoi"," 34-1","Dunham",6,20,2,7,2,1,38,65
24010,"Brome--Missisquoi/Brome--Missisquoi"," 35","Dunham",39,88,1,13,32,1,174,298
24010,"Brome--Missisquoi/Brome--Missisquoi"," 35-1","Dunham",15,55,7,7,15,0,99,197
24010,"Brome--Missisquoi/Brome--Missisquoi"," 36","Dunham",50,96,4,22,31,1,204,396
24010,"Brome--Missisquoi/Brome--Missisquoi"," 36-1","Dunham",23,61,1,8,13,2,108,233
24010,"Brome--Missisquoi/Brome--Missisquoi"," 37","Dunham",27,41,3,14,29,1,115,229
24010,"Brome--Missisquoi/Brome--Missisquoi"," 37-1","Dunham",56,84,1,21,34,3,199,398
24010,"Brome--Missisquoi/Brome--Missisquoi"," 38","Frelighsburg",63,124,13,35,50,1,286,449
24010,"Brome--Missisquoi/Brome--Missisquoi"," 39","Frelighsburg",68,125,5,15,76,1,290,471
24010,"Brome--Missisquoi/Brome--Missisquoi"," 40","Farnham",45,90,11,20,34,7,207,463
24010,"Brome--Missisquoi/Brome--Missisquoi"," 41","Farnham",73,169,9,27,33,4,315,542
24010,"Brome--Missisquoi/Brome--Missisquoi"," 42","Farnham",52,98,4,14,37,4,209,349
24010,"Brome--Missisquoi/Brome--Missisquoi"," 42-1","Farnham",37,138,3,16,32,4,230,346
24010,"Brome--Missisquoi/Brome--Missisquoi"," 43","Farnham",35,91,5,14,18,3,166,340
24010,"Brome--Missisquoi/Brome--Missisquoi"," 44","Farnham",63,107,3,26,44,2,245,500
24010,"Brome--Missisquoi/Brome--Missisquoi"," 45","Farnham",33,105,5,17,23,3,186,456
24010,"Brome--Missisquoi/Brome--Missisquoi"," 46","Farnham",34,64,2,12,15,3,130,360
24010,"Brome--Missisquoi/Brome--Missisquoi"," 47","Farnham",50,64,5,17,12,5,153,452
24010,"Brome--Missisquoi/Brome--Missisquoi"," 48","Farnham",43,87,2,18,19,7,176,353
24010,"Brome--Missisquoi/Brome--Missisquoi"," 49","Farnham",63,145,4,25,46,3,286,505
24010,"Brome--Missisquoi/Brome--Missisquoi"," 50","Farnham",28,59,0,13,25,1,126,290
24010,"Brome--Missisquoi/Brome--Missisquoi"," 51","Farnham",21,48,2,7,10,3,91,293
24010,"Brome--Missisquoi/Brome--Missisquoi"," 52","Farnham",55,79,4,14,26,2,180,376
