Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Couturier,Claude DeBellefeuille,François Deslandres,Rémi Pelletier,Anne Minh-Thu Quach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 1","Akwesasne (Partie)",0,0,0,0,0,0,0,898
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 2","Dundee",41,34,18,0,89,1,183,288
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 3","Dundee",Void/Supprimé,,,,,,,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 4","Cazaville",34,62,14,3,96,6,215,472
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 5","Cazaville",55,51,16,6,107,4,239,435
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 6","Saint-Anicet",26,84,18,6,130,1,265,422
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 7","Saint-Anicet",34,76,17,3,104,1,235,436
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 8","Saint-Anicet",35,66,36,7,128,1,273,461
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 9","Sainte-Barbe",15,68,15,1,94,1,194,328
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 9-1","Sainte-Barbe",15,80,13,1,72,3,184,313
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 10","Sainte-Barbe",25,122,9,2,145,4,307,498
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 11","Godmanchester",31,18,24,7,67,0,147,306
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 12","Godmanchester",49,56,27,3,116,1,252,465
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 13","Godmanchester",52,26,21,1,65,0,165,345
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 14","Elgin",46,26,17,7,95,0,191,349
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 15","Hinchinbrooke",32,18,17,1,69,0,137,407
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 16","Huntingdon",44,28,24,2,82,2,182,429
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 17","Huntingdon",36,28,15,1,57,1,138,368
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 18","Huntingdon",18,7,15,1,30,5,76,268
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 19","Huntingdon",26,25,6,0,44,1,102,326
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 20","Huntingdon",18,30,17,1,38,1,105,337
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 21","Huntingdon",26,20,10,4,63,1,124,341
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 22","Hinchinbrooke",61,27,28,3,108,2,229,487
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 23","Hinchinbrooke",51,52,10,5,104,3,225,523
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 24","Hinchinbrooke",63,18,21,6,101,0,209,355
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 25","Saint-Stanislas-de-Kostka",37,82,19,7,125,3,273,531
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 26","Saint-Stanislas-de-Kostka",32,83,11,3,77,2,208,438
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 27","Saint-Stanislas-de-Kostka",22,74,19,4,47,2,168,343
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 28","Saint-Louis-de-Gonzague",14,69,6,2,116,2,209,354
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 29","Saint-Louis-de-Gonzague",20,74,21,1,97,3,216,375
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 30","Saint-Louis-de-Gonzague",26,75,17,3,114,3,238,378
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 31","Saint-Étienne-de-Beauharnois",13,72,5,3,88,4,185,305
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 32","Saint-Étienne-de-Beauharnois",13,70,14,4,89,1,191,350
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 33","Salaberry-de-Valleyfield",28,71,19,0,137,3,258,441
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 33-1","Salaberry-de-Valleyfield",15,74,12,3,100,3,207,347
