Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julie Bourgeois,Jean-Serge Brisson,Pierre Lemieux,Sylvie Lemieux,Denis A. Séguin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1A","Cumberland",70,0,84,6,32,0,192,392
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1B","Cumberland",72,1,103,7,40,1,224,383
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-1","Cumberland",74,0,106,7,47,0,234,464
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-2","Ottawa",115,1,136,13,55,1,321,513
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-3","Cumberland",67,0,83,6,39,0,195,356
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-4A","Ottawa",80,0,95,6,32,0,213,401
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-4B","Ottawa",72,0,100,3,38,4,217,385
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-5","Cumberland",45,1,83,2,15,0,146,341
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-6","Cumberland",46,1,83,10,40,2,182,345
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-7","Cumberland",Void/Supprimé,,,,,,,
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 2","Cumberland",86,2,140,7,29,0,264,500
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 3","Cumberland",79,0,137,10,42,0,268,494
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 4","Cumberland",75,0,138,12,53,1,279,546
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 5","Cumberland",82,0,151,10,41,0,284,480
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 5-1","Ottawa",26,0,35,11,15,0,87,146
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 6","Cumberland",94,1,122,8,29,0,254,471
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 7","Cumberland",83,1,174,11,43,0,312,512
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 8","Cumberland",51,3,96,6,32,0,188,300
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 9","Cumberland",91,2,157,10,72,1,333,511
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 10","Cumberland",88,2,211,19,44,2,366,525
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 11","Cumberland",56,0,132,5,33,0,226,350
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 12","Cumberland",88,3,194,11,31,2,329,458
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 13","Cumberland",55,0,133,7,29,3,227,426
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 13-1","Cumberland",21,0,75,4,11,0,111,202
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 14","Cumberland",99,3,129,13,50,2,296,455
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 15","Cumberland",79,1,174,13,36,5,308,544
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 16","Cumberland",26,2,95,5,25,1,154,278
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 16-1","Cumberland",54,1,93,5,46,0,199,378
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 17","Cumberland",34,1,111,7,36,3,192,394
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 18","Cumberland",46,1,133,7,39,2,228,382
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 19","Clarence-Rockland",70,1,91,4,32,0,198,439
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 20A","Clarence-Rockland",30,0,82,7,28,0,147,284
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 20B","Clarence-Rockland",41,0,67,4,37,0,149,293
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 21","Clarence-Rockland",43,1,48,4,17,1,114,234
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 22","Clarence-Rockland",42,1,63,11,28,1,146,247
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 23","Clarence-Rockland",49,1,60,7,15,0,132,240
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 23-1","Clarence-Rockland",51,0,90,5,34,0,180,419
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 24A","Clarence-Rockland",30,0,71,8,26,0,135,289
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 24B","Clarence-Rockland",48,0,65,7,34,1,155,297
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 25","Clarence-Rockland",56,0,74,11,33,0,174,324
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 25-1","Clarence-Rockland",37,0,50,4,25,0,116,324
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 26","Clarence-Rockland",116,0,142,16,70,3,347,532
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 27","Clarence-Rockland",54,1,44,3,36,0,138,263
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 27-1","Clarence-Rockland",65,1,95,9,61,0,231,395
