Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Al Brown,Jason Devine,Scott W. Milton,Deepak Obhrai,Josipa Petrunic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Calgary East/Calgary-Est"," 1","Calgary",20,0,14,128,28,0,190,382
48002,"Calgary East/Calgary-Est"," 2","Calgary",28,2,14,124,31,1,200,441
48002,"Calgary East/Calgary-Est"," 3","Calgary",33,0,8,74,18,0,133,310
48002,"Calgary East/Calgary-Est"," 4","Calgary",26,1,18,173,26,0,244,413
48002,"Calgary East/Calgary-Est"," 5","Calgary",23,0,8,97,8,0,136,297
48002,"Calgary East/Calgary-Est"," 6","Calgary",37,1,14,147,34,1,234,406
48002,"Calgary East/Calgary-Est"," 7","Calgary",24,0,16,136,17,1,194,339
48002,"Calgary East/Calgary-Est"," 8","Calgary",36,2,13,115,13,1,180,366
48002,"Calgary East/Calgary-Est"," 9","Calgary",15,0,1,22,4,1,43,197
48002,"Calgary East/Calgary-Est"," 10","Calgary",27,1,20,112,21,1,182,395
48002,"Calgary East/Calgary-Est"," 11","Calgary",30,1,15,178,23,0,247,390
48002,"Calgary East/Calgary-Est"," 12","Calgary",22,0,11,128,22,1,184,344
48002,"Calgary East/Calgary-Est"," 13","Calgary",19,1,9,61,14,0,104,365
48002,"Calgary East/Calgary-Est"," 14","Calgary",17,1,9,75,8,1,111,372
48002,"Calgary East/Calgary-Est"," 15","Calgary",34,2,7,43,15,0,101,429
48002,"Calgary East/Calgary-Est"," 16","Calgary",25,1,11,103,23,2,165,475
48002,"Calgary East/Calgary-Est"," 17","Calgary",21,0,9,78,10,2,120,326
48002,"Calgary East/Calgary-Est"," 18A","Calgary",16,0,7,32,10,0,65,229
48002,"Calgary East/Calgary-Est"," 18B","Calgary",14,2,11,56,8,1,92,268
48002,"Calgary East/Calgary-Est"," 19","Calgary",11,1,8,66,21,0,107,407
48002,"Calgary East/Calgary-Est"," 20","Calgary",29,2,9,86,11,1,138,315
48002,"Calgary East/Calgary-Est"," 21","Calgary",23,0,11,72,12,1,119,374
48002,"Calgary East/Calgary-Est"," 22","Calgary",15,0,2,48,11,0,76,371
