Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Burrows,Aaron Cameron,Roger Carter,Matthew Kellway,Maria Minna,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Beaches--East York/Beaches--East York"," 1","East York",69,9,0,66,37,0,181,308
35005,"Beaches--East York/Beaches--East York"," 2","East York",104,10,1,59,74,0,248,409
35005,"Beaches--East York/Beaches--East York"," 3","East York",85,10,1,52,75,0,223,368
35005,"Beaches--East York/Beaches--East York"," 4","East York",71,7,1,59,69,1,208,354
35005,"Beaches--East York/Beaches--East York"," 5","East York",66,7,3,73,88,1,238,464
35005,"Beaches--East York/Beaches--East York"," 6","East York",48,6,1,58,29,1,143,320
35005,"Beaches--East York/Beaches--East York"," 7","East York",71,5,0,108,62,0,246,426
35005,"Beaches--East York/Beaches--East York"," 8","East York",47,2,0,57,48,0,154,282
35005,"Beaches--East York/Beaches--East York"," 9","East York",24,3,0,83,135,2,247,451
35005,"Beaches--East York/Beaches--East York"," 10","East York",14,5,0,50,32,0,101,235
35005,"Beaches--East York/Beaches--East York"," 11","East York",13,5,0,57,70,2,147,322
35005,"Beaches--East York/Beaches--East York"," 12","East York",53,6,0,71,66,4,200,348
35005,"Beaches--East York/Beaches--East York"," 13","East York",93,3,0,67,64,0,227,402
35005,"Beaches--East York/Beaches--East York"," 14","East York",86,11,0,71,74,1,243,363
35005,"Beaches--East York/Beaches--East York"," 15","East York",61,9,0,75,48,1,194,360
35005,"Beaches--East York/Beaches--East York"," 16","East York",65,11,0,93,55,1,225,429
35005,"Beaches--East York/Beaches--East York"," 17","East York",101,9,1,99,75,2,287,448
35005,"Beaches--East York/Beaches--East York"," 18","East York",42,4,0,81,65,1,193,321
35005,"Beaches--East York/Beaches--East York"," 19","East York",77,8,1,49,59,2,196,332
35005,"Beaches--East York/Beaches--East York"," 20","East York",76,3,1,80,55,0,215,370
35005,"Beaches--East York/Beaches--East York"," 21","East York",88,12,0,71,85,1,257,414
35005,"Beaches--East York/Beaches--East York"," 22","East York",46,2,0,80,25,0,153,305
35005,"Beaches--East York/Beaches--East York"," 23","East York",65,6,0,67,57,0,195,356
35005,"Beaches--East York/Beaches--East York"," 24","East York",82,11,0,61,49,0,203,350
35005,"Beaches--East York/Beaches--East York"," 25","East York",72,6,0,96,58,0,232,377
35005,"Beaches--East York/Beaches--East York"," 26","East York",32,2,2,121,64,1,222,467
35005,"Beaches--East York/Beaches--East York"," 27","East York",74,5,0,90,32,3,204,460
35005,"Beaches--East York/Beaches--East York"," 28","East York",27,1,0,61,43,1,133,412
35005,"Beaches--East York/Beaches--East York"," 29","East York",44,3,0,83,44,0,174,393
35005,"Beaches--East York/Beaches--East York"," 30","East York",57,9,2,63,50,1,182,340
35005,"Beaches--East York/Beaches--East York"," 31","East York",32,7,0,52,55,0,146,405
35005,"Beaches--East York/Beaches--East York"," 32","East York",32,3,0,55,49,1,140,241
35005,"Beaches--East York/Beaches--East York"," 33","East York",63,8,1,97,45,2,216,370
35005,"Beaches--East York/Beaches--East York"," 34","East York",24,5,0,62,47,3,141,336
35005,"Beaches--East York/Beaches--East York"," 35","East York",74,7,0,88,57,1,227,392
35005,"Beaches--East York/Beaches--East York"," 36","East York",4,0,0,20,53,0,77,189
35005,"Beaches--East York/Beaches--East York"," 37","East York",22,2,0,26,10,0,60,112
35005,"Beaches--East York/Beaches--East York"," 38","East York",36,2,1,74,42,1,156,426
35005,"Beaches--East York/Beaches--East York"," 39","East York",13,0,0,39,35,1,88,203
35005,"Beaches--East York/Beaches--East York"," 40","East York",62,0,0,42,53,1,158,363
35005,"Beaches--East York/Beaches--East York"," 41","East York",34,4,1,70,20,2,131,363
35005,"Beaches--East York/Beaches--East York"," 42","East York",39,3,1,54,49,1,147,260
35005,"Beaches--East York/Beaches--East York"," 43","East York",47,9,1,108,61,1,227,403
35005,"Beaches--East York/Beaches--East York"," 44","East York",51,15,0,95,61,0,222,415
35005,"Beaches--East York/Beaches--East York"," 45","East York",53,9,1,74,58,0,195,413
35005,"Beaches--East York/Beaches--East York"," 46","East York",52,6,0,84,58,2,202,407
35005,"Beaches--East York/Beaches--East York"," 47","East York",64,12,0,107,50,2,235,445
35005,"Beaches--East York/Beaches--East York"," 48","East York",82,5,0,94,65,0,246,414
35005,"Beaches--East York/Beaches--East York"," 49","East York",67,6,2,95,54,0,224,380
35005,"Beaches--East York/Beaches--East York"," 50","East York",64,9,0,73,66,0,212,394
35005,"Beaches--East York/Beaches--East York"," 51","East York",45,7,0,68,51,1,172,349
35005,"Beaches--East York/Beaches--East York"," 52","East York",45,3,0,99,74,0,221,350
35005,"Beaches--East York/Beaches--East York"," 53","East York",36,4,1,116,60,1,218,374
35005,"Beaches--East York/Beaches--East York"," 54","East York",59,8,0,73,48,1,189,303
35005,"Beaches--East York/Beaches--East York"," 55","East York",43,14,0,85,44,0,186,380
35005,"Beaches--East York/Beaches--East York"," 56","East York",40,13,1,136,47,2,239,385
35005,"Beaches--East York/Beaches--East York"," 57","East York",33,11,1,108,58,1,212,402
35005,"Beaches--East York/Beaches--East York"," 58","East York",38,3,0,105,48,0,194,379
35005,"Beaches--East York/Beaches--East York"," 59","East York",41,9,0,98,42,0,190,328
35005,"Beaches--East York/Beaches--East York"," 60","East York",24,7,0,56,40,0,127,280
35005,"Beaches--East York/Beaches--East York"," 61","East York",34,4,1,118,64,0,221,345
35005,"Beaches--East York/Beaches--East York"," 62","East York",51,5,2,93,47,0,198,368
35005,"Beaches--East York/Beaches--East York"," 63","East York",48,10,0,120,55,1,234,404
35005,"Beaches--East York/Beaches--East York"," 64","East York",39,13,1,77,55,0,185,312
35005,"Beaches--East York/Beaches--East York"," 65","East York",50,9,3,127,67,0,256,420
35005,"Beaches--East York/Beaches--East York"," 66","East York",59,9,3,129,60,1,261,435
35005,"Beaches--East York/Beaches--East York"," 67","East York",29,6,0,111,39,0,185,411
35005,"Beaches--East York/Beaches--East York"," 68","East York",41,1,0,56,47,2,147,337
35005,"Beaches--East York/Beaches--East York"," 69","East York",42,4,2,75,31,1,155,314
35005,"Beaches--East York/Beaches--East York"," 70","East York",33,6,1,56,37,0,133,311
35005,"Beaches--East York/Beaches--East York"," 71","East York",36,5,2,131,42,0,216,405
35005,"Beaches--East York/Beaches--East York"," 72","East York",31,8,0,87,43,2,171,376
35005,"Beaches--East York/Beaches--East York"," 73","East York",54,9,0,80,66,2,211,358
35005,"Beaches--East York/Beaches--East York"," 74","East York",42,11,0,111,61,2,227,417
35005,"Beaches--East York/Beaches--East York"," 75","Toronto",52,13,0,145,63,0,273,438
35005,"Beaches--East York/Beaches--East York"," 76","Toronto",48,8,3,92,73,0,224,461
35005,"Beaches--East York/Beaches--East York"," 77","Toronto",41,10,2,109,62,1,225,374
35005,"Beaches--East York/Beaches--East York"," 78","Toronto",23,6,0,60,25,0,114,249
35005,"Beaches--East York/Beaches--East York"," 79","Toronto",39,9,0,83,58,0,189,419
35005,"Beaches--East York/Beaches--East York"," 80","Toronto",31,5,3,75,79,3,196,392
35005,"Beaches--East York/Beaches--East York"," 81","Toronto",20,2,0,66,78,4,170,358
35005,"Beaches--East York/Beaches--East York"," 82","Toronto",34,9,0,107,41,1,192,496
35005,"Beaches--East York/Beaches--East York"," 83","East York",37,10,0,91,41,1,180,363
35005,"Beaches--East York/Beaches--East York"," 84","East York",32,9,0,114,41,1,197,396
35005,"Beaches--East York/Beaches--East York"," 85","East York",59,5,0,153,78,1,296,476
