Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Arseneault,Jean Cloutier,France Gagné,Alexandrine Latendresse,Philippe Mérel,Josée Verner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 1","Québec",4,2,23,73,6,51,4,163,305
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 2","Québec",1,3,45,92,24,100,5,270,513
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 3","Québec",1,6,20,65,10,65,1,168,290
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 4","Québec",0,2,33,87,11,59,2,194,368
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5","Québec",1,1,18,51,9,57,4,141,233
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5-1","Québec",2,3,23,66,13,49,0,156,271
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5-2","Québec",2,2,25,132,25,60,5,251,458
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6","Québec",1,0,27,107,16,75,6,232,384
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6-1","Québec",Void/Supprimé,,,,,,,,
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6-2","Québec",0,2,25,71,11,49,3,161,266
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7","Québec",1,1,38,101,30,110,2,283,467
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7-1","Québec",0,2,22,56,23,73,1,177,330
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7-2","Québec",0,2,21,66,14,47,1,151,246
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 8","Québec",0,7,28,90,11,65,6,207,421
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 9","Québec",1,0,28,75,15,63,0,182,326
24038,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 10","Québec",1,3,38,97,10,82,4,235,441
