Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sonny Day,Jilian Saweczko,Mike Sullivan,Alan Tonks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"York South--Weston/York-Sud--Weston"," 1","North York",4,50,45,41,1,141,293
35105,"York South--Weston/York-Sud--Weston"," 2","North York",11,49,87,59,1,207,383
35105,"York South--Weston/York-Sud--Weston"," 3","North York",8,67,62,79,0,216,365
35105,"York South--Weston/York-Sud--Weston"," 4","North York",14,71,97,84,0,266,444
35105,"York South--Weston/York-Sud--Weston"," 5","York",9,59,115,42,0,225,591
35105,"York South--Weston/York-Sud--Weston"," 6","North York",1,56,74,81,3,215,411
35105,"York South--Weston/York-Sud--Weston"," 7","North York",3,66,69,65,0,203,332
35105,"York South--Weston/York-Sud--Weston"," 8","North York",1,68,87,77,0,233,421
35105,"York South--Weston/York-Sud--Weston"," 9","York",2,19,35,16,3,75,241
35105,"York South--Weston/York-Sud--Weston"," 10","York",1,20,37,20,1,79,255
35105,"York South--Weston/York-Sud--Weston"," 11","York",3,18,52,45,2,120,350
35105,"York South--Weston/York-Sud--Weston"," 12","York",5,44,130,60,1,240,569
35105,"York South--Weston/York-Sud--Weston"," 13","York",8,35,100,60,0,203,417
35105,"York South--Weston/York-Sud--Weston"," 14","York",3,25,71,39,0,138,257
35105,"York South--Weston/York-Sud--Weston"," 15","York",3,38,92,60,1,194,320
35105,"York South--Weston/York-Sud--Weston"," 16","York",5,38,98,36,0,177,338
35105,"York South--Weston/York-Sud--Weston"," 17","York",2,18,133,47,1,201,388
35105,"York South--Weston/York-Sud--Weston"," 18","York",3,36,64,23,0,126,297
35105,"York South--Weston/York-Sud--Weston"," 19","York",5,43,101,53,4,206,394
35105,"York South--Weston/York-Sud--Weston"," 20","York",11,53,83,42,1,190,311
35105,"York South--Weston/York-Sud--Weston"," 21","York",9,36,78,54,0,177,308
35105,"York South--Weston/York-Sud--Weston"," 22","York",0,22,73,40,0,135,411
35105,"York South--Weston/York-Sud--Weston"," 23","York",7,58,113,64,0,242,438
35105,"York South--Weston/York-Sud--Weston"," 24","York",7,45,107,61,0,220,374
35105,"York South--Weston/York-Sud--Weston"," 25","York",1,26,63,47,0,137,480
35105,"York South--Weston/York-Sud--Weston"," 26","York",11,76,111,82,2,282,521
35105,"York South--Weston/York-Sud--Weston"," 27","York",1,21,49,26,2,99,339
35105,"York South--Weston/York-Sud--Weston"," 28","York",3,41,74,51,3,172,376
35105,"York South--Weston/York-Sud--Weston"," 29","North York",10,60,60,93,1,224,394
35105,"York South--Weston/York-Sud--Weston"," 30","North York",14,59,72,63,3,211,360
35105,"York South--Weston/York-Sud--Weston"," 31","North York",1,29,62,57,0,149,302
35105,"York South--Weston/York-Sud--Weston"," 32","North York",5,59,51,89,0,204,377
35105,"York South--Weston/York-Sud--Weston"," 33","North York",5,62,55,85,0,207,344
35105,"York South--Weston/York-Sud--Weston"," 34","North York",1,56,35,90,4,186,306
35105,"York South--Weston/York-Sud--Weston"," 35","North York",0,28,59,24,0,111,290
35105,"York South--Weston/York-Sud--Weston"," 36","North York",3,13,133,59,2,210,433
35105,"York South--Weston/York-Sud--Weston"," 37","North York",2,17,84,79,1,183,395
35105,"York South--Weston/York-Sud--Weston"," 38","North York",3,55,28,67,4,157,256
35105,"York South--Weston/York-Sud--Weston"," 39","North York",3,81,48,77,2,211,350
35105,"York South--Weston/York-Sud--Weston"," 40","North York",2,29,43,70,1,145,362
35105,"York South--Weston/York-Sud--Weston"," 41","North York",0,31,48,50,1,130,305
35105,"York South--Weston/York-Sud--Weston"," 42","North York",4,35,92,54,3,188,358
35105,"York South--Weston/York-Sud--Weston"," 43","North York",4,45,29,48,0,126,235
35105,"York South--Weston/York-Sud--Weston"," 44","York",3,50,72,56,1,182,417
35105,"York South--Weston/York-Sud--Weston"," 44-1","York",4,47,44,66,2,163,343
35105,"York South--Weston/York-Sud--Weston"," 45","North York",2,37,86,65,2,192,423
35105,"York South--Weston/York-Sud--Weston"," 46","North York",9,52,84,84,0,229,424
35105,"York South--Weston/York-Sud--Weston"," 47","North York",3,65,83,74,5,230,394
35105,"York South--Weston/York-Sud--Weston"," 48","North York",4,40,117,65,0,226,679
35105,"York South--Weston/York-Sud--Weston"," 49","North York",2,31,47,46,1,127,304
35105,"York South--Weston/York-Sud--Weston"," 50","North York",2,16,80,48,1,147,415
35105,"York South--Weston/York-Sud--Weston"," 51","North York",1,49,66,51,1,168,345
35105,"York South--Weston/York-Sud--Weston"," 52","North York",7,70,85,58,0,220,400
35105,"York South--Weston/York-Sud--Weston"," 53","North York",2,63,84,62,0,211,478
35105,"York South--Weston/York-Sud--Weston"," 54","North York",2,66,102,70,1,241,540
35105,"York South--Weston/York-Sud--Weston"," 55","North York",4,72,52,75,0,203,357
35105,"York South--Weston/York-Sud--Weston"," 56","North York",5,98,76,97,3,279,485
35105,"York South--Weston/York-Sud--Weston"," 57","North York",3,36,35,44,4,122,217
35105,"York South--Weston/York-Sud--Weston"," 58","North York",6,58,53,55,0,172,355
35105,"York South--Weston/York-Sud--Weston"," 59","North York",1,36,42,58,0,137,371
35105,"York South--Weston/York-Sud--Weston"," 60","North York",6,40,57,81,3,187,338
35105,"York South--Weston/York-Sud--Weston"," 61","North York",2,49,49,97,1,198,329
35105,"York South--Weston/York-Sud--Weston"," 62","North York",4,73,79,88,3,247,440
35105,"York South--Weston/York-Sud--Weston"," 63","North York",4,74,37,107,0,222,349
35105,"York South--Weston/York-Sud--Weston"," 64","North York",3,48,58,52,1,162,403
35105,"York South--Weston/York-Sud--Weston"," 65","North York",7,54,50,100,4,215,356
35105,"York South--Weston/York-Sud--Weston"," 66","North York",5,57,58,69,1,190,369
