Province,Electors/Électeurs 2011,Electors/Électeurs 2008,Electors/Électeurs 2006,Electors/Électeurs 2004,Total Ballots Cast/Total des bulletins déposés 2011,Total Ballots Cast/Total des bulletins déposés 2008,Total Ballots Cast/Total des bulletins déposés 2006,Total Ballots Cast/Total des bulletins déposés 2004,Percentage of Voter Turnout/Pourcentage de la participation électorale 2011,Percentage of Voter Turnout/Pourcentage de la participation électorale 2008,Percentage of Voter Turnout/Pourcentage de la participation électorale 2006,Percentage of Voter Turnout/Pourcentage de la participation électorale 2004
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",414779,410411,403982,405032,218166,195669,228961,199536,52.6,47.7,56.7,49.3
"Prince Edward Island/Île-du-Prince-Édouard",108456,108211,107677,109031,79511,74636,78829,77143,73.3,69,73.2,70.8
"Nova Scotia/Nouvelle-Écosse",733094,727875,750829,706932,454266,438551,479580,440450,62,60.3,63.9,62.3
"New Brunswick/Nouveau-Brunswick",592818,590984,594104,597440,392208,371586,410918,374952,66.2,62.9,69.2,62.8
"Quebec/Québec",6130307,5954763,5852528,5800109,3853120,3671728,3737849,3507100,62.9,61.7,63.9,60.5
"Ontario",9033266,8834987,8536359,8294928,5556608,5177150,5682366,5127387,61.5,58.6,66.6,61.8
"Manitoba",831041,835401,831278,841061,493340,468743,517557,476512,59.4,56.1,62.3,56.7
"Saskatchewan",723814,715291,712427,723922,456501,419600,463788,427960,63.1,58.7,65.1,59.1
"Alberta",2509390,2433695,2322108,2171584,1400674,1274992,1436655,1278932,55.8,52.4,61.9,58.9
"British Columbia/Colombie-Britannique",3109917,2996864,2875950,2750577,1879304,1799892,1832557,1739999,60.4,60.1,63.7,63.3
"Yukon",24341,23281,21493,20345,16124,14721,14206,12578,66.2,63.2,66.1,61.8
"Northwest Territories/Territoires du Nord-Ouest",29020,28787,28792,28619,15655,13733,16186,13546,53.9,47.7,56.2,47.3
"Nunavut",17349,17089,17088,17041,7931,8092,9251,7475,45.7,47.4,54.1,43.9
