Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Martin Cauchon,Élise Daoust,Tommy Gaudet,Rodolphe Husny,Thomas Mulcair,Francois Pilon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Outremont/Outremont"," 69","Outremont",0,37,26,0,21,184,4,1,273,466
24047,"Outremont/Outremont"," 70","Outremont",Void/Supprimé,,,,,,,,,
24047,"Outremont/Outremont"," 71","Outremont",1,65,43,1,20,182,5,1,318,552
24047,"Outremont/Outremont"," 72","Outremont",1,67,24,0,48,142,1,1,284,598
24047,"Outremont/Outremont"," 73","Outremont",0,78,31,0,34,158,4,1,306,537
24047,"Outremont/Outremont"," 74","Outremont",0,74,18,1,25,119,1,1,239,433
24047,"Outremont/Outremont"," 75","Outremont",0,66,41,2,21,136,6,1,273,476
24047,"Outremont/Outremont"," 76","Outremont",0,58,14,0,12,95,6,0,185,397
24047,"Outremont/Outremont"," 77","Outremont",1,92,19,1,18,137,3,2,273,429
24047,"Outremont/Outremont"," 78","Outremont",1,42,19,0,13,92,4,1,172,358
24047,"Outremont/Outremont"," 79","Outremont",0,54,6,0,14,69,3,3,149,271
24047,"Outremont/Outremont"," 80","Montréal",0,68,7,1,59,95,5,1,236,454
24047,"Outremont/Outremont"," 81","Montréal",0,45,9,0,23,60,2,0,139,307
24047,"Outremont/Outremont"," 82","Montréal",1,68,6,3,57,70,4,2,211,496
24047,"Outremont/Outremont"," 83","Montréal",2,65,2,2,87,55,2,4,219,503
24047,"Outremont/Outremont"," 84","Montréal",0,48,11,1,71,94,4,1,230,541
24047,"Outremont/Outremont"," 85","Montréal",0,57,4,1,72,43,0,2,179,531
24047,"Outremont/Outremont"," 86","Montréal",1,24,8,0,33,66,1,0,133,287
24047,"Outremont/Outremont"," 87","Montréal",0,56,5,0,72,75,2,1,211,445
24047,"Outremont/Outremont"," 88","Montréal",0,45,7,0,42,79,4,2,179,425
24047,"Outremont/Outremont"," 89","Montréal",0,45,8,1,22,50,4,0,130,306
24047,"Outremont/Outremont"," 90","Montréal",0,61,9,0,42,70,1,2,185,463
24047,"Outremont/Outremont"," 91","Montréal",3,69,17,0,29,100,0,0,218,451
24047,"Outremont/Outremont"," 92","Outremont",0,56,11,0,13,97,2,1,180,322
24047,"Outremont/Outremont"," 93","Montréal",1,20,14,1,1,70,6,0,113,228
24047,"Outremont/Outremont"," 94","Montréal",1,34,21,1,4,105,6,1,173,351
24047,"Outremont/Outremont"," 95","Montréal",0,32,32,0,4,142,3,1,214,525
24047,"Outremont/Outremont"," 96","Outremont",0,64,23,0,9,116,4,0,216,408
24047,"Outremont/Outremont"," 97","Montréal",Void/Supprimé,,,,,,,,,
24047,"Outremont/Outremont"," 98","Montréal",0,11,5,0,10,78,0,1,105,221
24047,"Outremont/Outremont"," 99","Montréal",1,33,12,1,30,86,5,0,168,356
24047,"Outremont/Outremont"," 100","Montréal",0,49,7,0,38,71,3,1,169,376
24047,"Outremont/Outremont"," 101","Montréal",0,52,1,2,30,108,3,2,198,500
24047,"Outremont/Outremont"," 102","Montréal",1,45,9,0,24,97,4,1,181,400
24047,"Outremont/Outremont"," 103","Montréal",2,63,12,0,20,105,8,3,213,506
24047,"Outremont/Outremont"," 104","Montréal",0,45,11,2,15,112,6,3,194,498
24047,"Outremont/Outremont"," 105","Montréal",4,80,2,0,48,80,6,6,226,503
24047,"Outremont/Outremont"," 106","Montréal",0,48,7,1,17,73,1,1,148,317
24047,"Outremont/Outremont"," 107","Montréal",2,77,11,0,26,82,3,4,205,455
24047,"Outremont/Outremont"," 108","Montréal",0,54,8,2,30,117,7,1,219,515
24047,"Outremont/Outremont"," 109","Montréal",2,100,7,0,30,85,4,3,231,454
24047,"Outremont/Outremont"," 110","Montréal",0,75,6,1,44,104,2,10,242,534
24047,"Outremont/Outremont"," 111","Montréal",1,30,16,1,8,116,5,4,181,465
24047,"Outremont/Outremont"," 112","Montréal",2,34,11,0,29,66,3,1,146,335
24047,"Outremont/Outremont"," 113","Montréal",1,27,17,1,10,78,5,3,142,287
24047,"Outremont/Outremont"," 114","Montréal",0,49,25,1,7,122,0,3,207,391
24047,"Outremont/Outremont"," 115","Montréal",0,24,29,0,11,121,3,0,188,377
24047,"Outremont/Outremont"," 116","Montréal",Void/Supprimé,,,,,,,,,
24047,"Outremont/Outremont"," 117","Montréal",0,15,13,0,5,69,4,1,107,258
24047,"Outremont/Outremont"," 118","Montréal",0,25,9,0,18,117,5,1,175,411
24047,"Outremont/Outremont"," 119","Montréal",1,28,7,0,19,70,6,3,134,316
24047,"Outremont/Outremont"," 120","Montréal",0,48,9,1,17,111,0,3,189,422
24047,"Outremont/Outremont"," 121","Montréal",1,50,12,2,21,114,2,3,205,465
24047,"Outremont/Outremont"," 122","Montréal",1,40,7,1,19,85,3,5,161,405
24047,"Outremont/Outremont"," 123","Montréal",0,42,15,0,18,82,2,2,161,446
24047,"Outremont/Outremont"," 124","Montréal",0,38,9,0,19,94,4,1,165,438
24047,"Outremont/Outremont"," 125","Montréal",0,35,4,10,0,48,5,2,104,255
24047,"Outremont/Outremont"," 126","Montréal",1,43,17,0,7,128,2,2,200,432
24047,"Outremont/Outremont"," 127","Montréal",1,66,27,1,37,145,8,2,287,593
24047,"Outremont/Outremont"," 128","Montréal",2,32,8,0,21,83,1,1,148,328
24047,"Outremont/Outremont"," 129","Montréal",1,54,20,2,14,147,4,1,243,422
24047,"Outremont/Outremont"," 130","Montréal",0,30,6,2,15,111,1,1,166,344
24047,"Outremont/Outremont"," 131","Montréal",2,72,5,1,20,109,3,0,212,487
24047,"Outremont/Outremont"," 132","Montréal",2,51,27,1,21,100,4,2,208,417
24047,"Outremont/Outremont"," 133","Montréal",0,25,9,0,7,70,5,1,117,312
24047,"Outremont/Outremont"," 134","Montréal",0,32,31,2,5,116,1,1,188,351
24047,"Outremont/Outremont"," 135","Montréal",1,14,14,0,5,77,2,0,113,271
24047,"Outremont/Outremont"," 136","Montréal",0,26,10,0,10,56,1,0,103,310
24047,"Outremont/Outremont"," 137","Montréal",0,25,12,0,10,58,0,1,106,302
24047,"Outremont/Outremont"," 138","Montréal",0,63,11,0,34,177,7,2,294,669
24047,"Outremont/Outremont"," 139","Montréal",Void/Supprimé,,,,,,,,,
24047,"Outremont/Outremont"," 140","Montréal",0,57,9,0,53,117,6,0,242,453
24047,"Outremont/Outremont"," 141","Montréal",0,40,3,0,44,35,3,0,125,273
24047,"Outremont/Outremont"," 142","Montréal",0,21,5,0,10,65,5,1,107,249
24047,"Outremont/Outremont"," 143","Montréal",1,37,10,0,33,102,4,2,189,456
24047,"Outremont/Outremont"," 144","Montréal",Void/Supprimé,,,,,,,,,
24047,"Outremont/Outremont"," 145","Montréal",0,36,14,0,20,127,4,0,201,408
24047,"Outremont/Outremont"," 146","Montréal",0,41,13,0,19,94,3,2,172,324
24047,"Outremont/Outremont"," 147","Montréal",2,31,17,0,23,111,5,0,189,411
24047,"Outremont/Outremont"," 148","Montréal",0,42,7,0,29,65,2,2,147,290
24047,"Outremont/Outremont"," 149","Montréal",0,52,9,0,23,56,4,0,144,259
24047,"Outremont/Outremont"," 150","Montréal",0,54,18,0,39,89,4,1,205,406
24047,"Outremont/Outremont"," 151","Montréal",1,59,31,0,27,139,7,2,266,565
24047,"Outremont/Outremont"," 152","Montréal",1,12,5,0,23,64,4,1,110,335
24047,"Outremont/Outremont"," 153","Montréal",0,44,14,0,21,155,6,1,241,508
24047,"Outremont/Outremont"," 154","Montréal",2,62,15,2,47,63,6,3,200,444
24047,"Outremont/Outremont"," 155","Montréal",0,32,4,0,14,98,4,0,152,370
24047,"Outremont/Outremont"," 156","Montréal",0,25,3,0,11,83,3,3,128,298
24047,"Outremont/Outremont"," 400","Outremont",0,89,26,1,11,99,2,4,232,334
24047,"Outremont/Outremont"," 401","Outremont",0,56,21,0,13,46,0,2,138,168
24047,"Outremont/Outremont"," 402","Montréal",1,21,4,0,2,10,0,1,39,48
24047,"Outremont/Outremont"," 500A","Mobile poll/Bureau itinérant",0,10,0,1,0,4,0,0,15,104
24047,"Outremont/Outremont"," 500B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,39
24047,"Outremont/Outremont"," 501","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,105
24047,"Outremont/Outremont"," 502","Mobile poll/Bureau itinérant",3,62,9,3,24,35,6,5,147,171
24047,"Outremont/Outremont"," 600","Montréal--Outremont",1,84,51,2,25,338,12,3,516,
24047,"Outremont/Outremont"," 601","Montréal--Outremont",5,100,51,1,22,425,17,2,623,
24047,"Outremont/Outremont"," 602","Montréal--Outremont",2,126,45,3,26,230,15,1,448,
24047,"Outremont/Outremont"," 603","Montréal--Outremont",0,147,82,1,19,317,4,2,572,
24047,"Outremont/Outremont"," 604","Montréal--Outremont",0,205,89,1,49,394,9,1,748,
24047,"Outremont/Outremont"," 605","Montréal--Outremont",1,319,76,0,92,358,11,7,864,
24047,"Outremont/Outremont"," 606","Montréal--Outremont",2,167,37,1,75,223,9,1,515,
24047,"Outremont/Outremont"," 607","Montréal--Outremont",1,84,19,2,36,178,5,6,331,
24047,"Outremont/Outremont"," 608","Montréal--Outremont",1,151,77,1,35,378,5,2,650,
24047,"Outremont/Outremont",,Group 1/Groupe 1,0,18,6,1,10,56,9,7,107,207
24047,"Outremont/Outremont",,Group 2/Groupe 2,4,275,113,4,106,559,30,17,1108,
