Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Dewar,Stan Kutcher,Megan Leslie,George Nikolaou,Tony Seed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Halifax/Halifax"," 1","Halifax",11,29,93,43,0,0,176,255
12004,"Halifax/Halifax"," 2","Halifax",11,62,90,49,1,0,213,409
12004,"Halifax/Halifax"," 2-1","Halifax",6,16,50,19,0,1,92,189
12004,"Halifax/Halifax"," 3","Halifax",9,27,105,27,1,0,169,308
12004,"Halifax/Halifax"," 4","Halifax",5,25,69,23,0,1,123,255
12004,"Halifax/Halifax"," 4-1","Halifax",2,11,87,18,0,2,120,424
12004,"Halifax/Halifax"," 5","Halifax",22,28,134,26,0,0,210,362
12004,"Halifax/Halifax"," 6","Halifax",8,39,124,23,0,1,195,358
12004,"Halifax/Halifax"," 7","Halifax",12,21,96,22,1,0,152,255
12004,"Halifax/Halifax"," 8","Halifax",12,53,80,40,0,0,185,278
12004,"Halifax/Halifax"," 9","Halifax",10,43,85,24,0,1,163,306
12004,"Halifax/Halifax"," 9-1","Halifax",3,30,84,24,2,0,143,246
12004,"Halifax/Halifax"," 10","Halifax",6,46,115,40,0,3,210,293
12004,"Halifax/Halifax"," 11","Halifax",14,34,124,33,2,0,207,337
12004,"Halifax/Halifax"," 12","Halifax",10,39,90,15,0,1,155,309
12004,"Halifax/Halifax"," 13","Halifax",8,22,84,27,1,1,143,314
12004,"Halifax/Halifax"," 14","Halifax",7,38,121,31,0,1,198,347
12004,"Halifax/Halifax"," 15","Halifax",6,41,118,33,0,1,199,322
12004,"Halifax/Halifax"," 16","Halifax",6,27,96,25,0,0,154,251
12004,"Halifax/Halifax"," 16-1","Halifax",5,14,58,14,0,0,91,206
12004,"Halifax/Halifax"," 17","Halifax",13,64,158,36,3,2,276,446
12004,"Halifax/Halifax"," 18","Halifax",3,23,81,17,1,0,125,314
12004,"Halifax/Halifax"," 18-1","Halifax",7,31,48,21,0,0,107,201
12004,"Halifax/Halifax"," 18-2","Halifax",9,41,151,31,0,1,233,325
12004,"Halifax/Halifax"," 19","Halifax",6,27,121,19,2,0,175,348
12004,"Halifax/Halifax"," 20","Halifax",10,24,130,34,0,2,200,437
12004,"Halifax/Halifax"," 21","Halifax",3,19,84,22,0,2,130,290
