Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Duane Filson,Trevor Peterson,Helmi Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 53","Swift Current",159,13,57,5,0,234,373
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 54","Swift Current",93,11,33,7,0,144,292
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 55","Swift Current",89,9,37,5,0,140,245
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 56","Swift Current",95,6,35,6,1,143,301
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 57","Swift Current",167,17,54,2,3,243,412
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 58","Swift Current",186,16,70,10,0,282,436
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 59","Swift Current",Void/Supprimé,,,,,,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 60","Swift Current",100,6,27,8,1,142,334
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 61","Swift Current",123,6,48,4,0,181,345
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 62","Swift Current",125,5,61,9,3,203,403
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 63","Swift Current",59,3,34,1,2,99,233
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 64","Swift Current",122,7,50,6,0,185,336
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 65","Swift Current",131,9,50,4,0,194,318
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 66","Swift Current",140,8,46,3,0,197,316
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 67","Swift Current",143,13,38,4,4,202,358
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 68","Swift Current",191,8,53,11,0,263,448
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 69","Swift Current",124,4,61,4,0,193,355
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 70","Riverhurst",125,4,40,5,0,174,253
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 71","Central Butte",115,2,26,1,0,144,195
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 72","Central Butte",111,4,94,2,1,212,342
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 73","Central Butte",Void/Supprimé,,,,,,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 74","Main Centre",74,4,5,1,0,84,183
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 75","Herbert",112,14,17,1,0,144,233
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 76","Herbert",110,6,30,2,2,150,246
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 77","Herbert",190,21,42,6,1,260,409
